core,isa,manual,note,#,isa_confidence,isa_basis
QingKe V2A,RV32EC,QingKeV2_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V2C,RV32EmC,QingKeV2_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V3A,RV32IMAC,QingKeV3_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V3B,RV32I[M]C[B],QingKeV3_Processor_Manual.PDF,M and B extensions are optional in silicon; each chip's datasheet states the implemented combination,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V3C,RV32IMCB,QingKeV3_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V3F,RV32IMAFCB,QingKeV3_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V3V,RV32IMACB+Zve64x_zvbb,QingKeV3_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V4A,RV32IMAC,QingKeV4_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V4B,RV32IMAC,QingKeV4_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V4C,RV32IMAC,QingKeV4_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V4F,RV32IMACF,QingKeV4_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V4J,RV32IMAC,QingKeV4_Processor_Manual.PDF,With instruction cache (I-Cache),#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
QingKe V5F,RV32IMABCF,QingKeV5_Processor_Manual.PDF,,#,confirmed,manual:qingke-manual-summary-table:zh+en (verified 2026-08-18); V2/V3/V4/V5 all carry the vendor-specific XW extension in addition
