series,family,core,isa,flash_bytes,sram_bytes,gpio_count,temperature,packages,part_number_count,datasheets,product_url_zh,product_url_en,#,core_confidence,isa_confidence,flash_bytes_confidence,sram_bytes_confidence,gpio_count_confidence,temperature_confidence,core_basis,isa_basis
CH32H415,CH32H417,QingKe V5F + QingKe V3F,RV32IMABCF + RV32IMAFCB,983040,917504,54,-40..85C,QFN60X6,1,CH32H417DS0.PDF,https://www.wch.cn/products/CH32H415.html,https://www.wch-ic.com/products/CH32H415.html,#,reference,reference,confirmed,confirmed,confirmed,partial,manual:ds(H417DS0)-intro:zh+en states dual-core for CH32H417 only; H415 shares the datasheet and ITCM layout but has no statement of its own,inferred from the same dual-core structure as H417 (the core itself is reference)
CH32H416,CH32H417,QingKe V5F + QingKe V3F,RV32IMABCF + RV32IMAFCB,491520,917504,48,-40..85C,QFN60X6,1,CH32H417DS0.PDF,https://www.wch.cn/products/CH32H416.html,https://www.wch-ic.com/products/CH32H416.html,#,reference,reference,confirmed,confirmed,confirmed,partial,manual:ds(H417DS0)-intro:zh+en states dual-core for CH32H417 only; H416 shares the datasheet and ITCM layout but has no statement of its own,inferred from the same dual-core structure as H417 (the core itself is reference)
CH32H417,CH32H417,QingKe V5F + QingKe V3F,RV32IMABCF + RV32IMAFCB,983040,917504,,-40..85C,"QFN128,QFN68,QFN88",3,CH32H417DS0.PDF,https://www.wch.cn/products/CH32H417.html,https://www.wch-ic.com/products/CH32H417.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(H417DS0)-intro+features:zh+en (dual-core structure: QingKe RISC-V5F and RISC-V3F),manual:qingke-v5-manual:zh+en (V5F=RV32IMABCF)+manual:qingke-v3-manual:zh+en (V3 summary table) (V3F=RV32IMAFCB); dual-core
CH32L103,CH32L103,QingKe V4C,RV32IMAC,65536,20480,,,"LQFP48,QFN20,QFN32,QSOP28,TSSOP20",6,CH32L103DS0.PDF,https://www.wch.cn/products/CH32L103.html,https://www.wch-ic.com/products/CH32L103.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,varies-by-package,manual:ds(L103DS0)-features:zh+en,manual:ds-features:zh+en+manual:qingke-v4-manual:zh+en (V4 summary table); V4C=RV32IMAC
CH32M007,CH32V006,QingKe V2C,RV32EmC,63488,8192,,,"QFN26C3,QFN32,QSOP24,QSOP28",4,CH32V007DS0.PDF,https://www.wch.cn/products/CH32M007.html,https://www.wch-ic.com/products/CH32M007.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,varies-by-package,manual:ds(V007DS0)-features:zh (M007 shares the V007 datasheet),manual:ds-features:zh+en
CH32M030,CH32M030,QingKe V3B,RV32IMCB,65536,12288,,-40..105C,"LQFP48,QFN32,QFN48,QFN48X7_A,QSOP28",5,CH32M030DS0.PDF,https://www.wch.cn/products/CH32M030.html,https://www.wch-ic.com/products/CH32M030.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(M030DS0)-features:zh+en,manual:ds-features:zh+en+manual:qingke-v3-manual:zh+en (V3 summary table); V3B=RV32I[M]C[B]
CH32M103,CH32L103,QingKe V4C,RV32IMAC,65536,20480,18,-40..85C,QSOP28,1,CH32L103DS0.PDF,https://www.wch.cn/products/CH32M103.html,https://www.wch-ic.com/products/CH32M103.html,#,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,manual:ds(L103DS0)-features:zh (M103 shares the L103 datasheet),manual:ds-features:zh+en+manual:qingke-v4-manual:zh+en (V4 summary table); V4C=RV32IMAC
CH32V002,CH32V006,QingKe V2C,RV32EmC,16384,4096,,-40..85C,"QFN12,QFN20,SOP16,SOP8,TSSOP20",5,CH32V002DS0.PDF,https://www.wch.cn/products/CH32V002.html,https://www.wch-ic.com/products/CH32V002.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(V002DS0)-features:zh,manual:ds-features:zh+en
CH32V003,CH32V003,QingKe V2A,RV32EC,16384,2048,,-40..85C,"QFN20,SOP16,SOP8,TSSOP20",4,CH32V003DS0.PDF,https://www.wch.cn/products/CH32V003.html,https://www.wch-ic.com/products/CH32V003.html,#,confirmed,confirmed,confirmed,confirmed,varies-by-package,partial,manual:ds(V003DS0)-features:zh+en,manual:ds-features:zh+en
CH32V004,CH32V006,QingKe V2C,RV32EmC,32768,6144,18,,"QFN20L,TSSOP20",2,CH32V004DS0.PDF,https://www.wch.cn/products/CH32V004.html,https://www.wch-ic.com/products/CH32V004.html,#,confirmed,confirmed,confirmed,confirmed,confirmed,missing,manual:ds(V004DS0)-features:zh,manual:ds-features:zh+en
