family,repository,commit,committed_at,dirty,#,confidence,basis
CH32H417,ch32-riscv-ug/CH32H417,f81d22f84fab6f55f63bb3ca7898fc6208494dc5,2026-09-01T18:17:46+00:00,,#,confirmed,git(CH32H417)
CH32L103,ch32-riscv-ug/CH32L103,8a46892235e7d61be07564b942f828df5460248d,2026-09-01T18:24:39+00:00,,#,confirmed,git(CH32L103)
CH32M030,ch32-riscv-ug/CH32M030,8c02eb46c1f212527f85d0a04f0e54fe3b324e77,2026-09-01T18:25:49+00:00,,#,confirmed,git(CH32M030)
CH32V003,ch32-riscv-ug/CH32V003,f2086840f6b17a33871e7c5949b6831a65914e17,2026-09-01T18:25:19+00:00,,#,confirmed,git(CH32V003)
CH32V006,ch32-riscv-ug/CH32V006,87eddd6aabfcd4c2cdb289e83d32d1a5fd08d1a6,2026-09-01T18:22:20+00:00,,#,confirmed,git(CH32V006)
CH32V103,ch32-riscv-ug/CH32V103,ad4db071463f5ab947e5aacdae0d72504288b4b0,2026-09-01T18:24:26+00:00,,#,confirmed,git(CH32V103)
CH32V205,ch32-riscv-ug/CH32V205,d91d6a62ece4ff2cba51404f03aa197096ca2c05,2026-09-01T18:24:41+00:00,,#,confirmed,git(CH32V205)
CH32V20x,ch32-riscv-ug/CH32V20x,b11cda0a8d912b855cc8f758af1cb1a81ff625ac,2026-09-01T18:26:48+00:00,,#,confirmed,git(CH32V20x)
CH32V307,ch32-riscv-ug/CH32V307,e3dea4d801423400478fdfbb24401b44ea376da0,2026-09-01T18:17:34+00:00,,#,confirmed,git(CH32V307)
CH32V407,ch32-riscv-ug/CH32V407,71aaa9754b59975eb159ee08236ba8eb05885ea1,2026-09-03T18:34:21+00:00,,#,confirmed,git(CH32V407)
CH32X035,ch32-riscv-ug/CH32X035,dab219dd35d608c28086c0793f0c74062062a937,2026-09-01T18:24:46+00:00,,#,confirmed,git(CH32X035)
CH32X315,ch32-riscv-ug/CH32X315,550ecc045468dd686913a66efd253f3d660f6da1,2026-09-01T18:26:28+00:00,,#,confirmed,git(CH32X315)
