kind,edition,os,arch,version,file,size_bytes,released,download_api,#,confidence,basis
toolchain,,linux,x64,2.4.0,MRS_Toolchain_Linux_X64_V240.tar.xz,411269512,2026-03-07,https://api.mounriver.com/mountriver/api/version/fetchRecentOpenOcdUrl?resourceId=2030114123741700098,#,confirmed,api(fetchRecentOpenOcd)+head(size=411269512)
toolchain,,macos,arm64,2.4.0,MRS_Toolchain_MAC_V240.zip,1014339257,2026-03-07,https://api.mounriver.com/mountriver/api/version/fetchRecentOpenOcdUrl?resourceId=2030113438769913858,#,confirmed,api(fetchRecentOpenOcd)+head(size=1014339257)
ide,mrs1,linux,x64,1.1.0,MRS_IDE_Linux_x64_V1.10.tar.xz,427702128,2021-09-07,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=1435225252645871617,#,confirmed,"api(fetchRecent:swType=1,osType=LINUX)+head(size=427702128)"
ide,mrs1,windows,,1.9.2,MounRiver_Studio_Setup_V192.zip,433981254,2024-08-14,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=1823552948062416898,#,confirmed,"api(fetchRecent:swType=1,osType=WINDOWS)+head(size=433981254)"
ide,mrs2,linux,x64,2.5.0,MounRiverStudio_Linux_X64_V2.5.0.deb,687945508,2026-06-30,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=2071888197337526273,#,confirmed,"api(fetchRecent:swType=2,osType=LINUX)+head(size=687945508)"
ide,mrs2,linux,x64,2.5.0,MounRiverStudio_Linux_X64_V2.5.0.tar.xz,669264336,2026-06-30,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=2071903155399995393,#,confirmed,api(fetchRecent2:osType=LINUX)+head(size=669264336)
ide,mrs2,macos,arm64,2.5.0,MounRiver_Studio_MacOS_ARM64_V2.5.0.tar.gz,1434575083,2026-06-30,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=2071922455275941890,#,confirmed,"api(fetchRecent:swType=2,osType=MAC)+head(size=1434575083)"
ide,mrs2,windows,,2.5.0,MounRiver_Studio_Setup_V2.5.0.zip,535517629,2026-06-30,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=2071891610158804994,#,confirmed,"api(fetchRecent:swType=2,osType=WINDOWS)+head(size=535517629)"
ide-community,community,linux,x64,1.9.0,MounRiver_Studio_Community_Linux_x64_V190.tar.xz,680468916,2024-11-14,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=1856993554671398914,#,confirmed,api(fetchRecentCommunity:osType=LINUX)+head(size=680468916)
ide-community,community,linux,x86,1.9.0,MounRiver_Studio_Community_Linux_x86_V190.tar.xz,803259516,2024-11-14,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=1856994565133758465,#,confirmed,api(fetchRecentCommunity:osType=LINUX)+head(size=803259516)
ide-community,community,windows,x86,1.9.0,MounRiver_Studio_Community_Win_V180.zip,506413259,2024-11-14,https://api.mounriver.com/mountriver/api/version/getDownloadUrl?resourceId=1821089050281398274,#,confirmed,api(fetchRecentCommunity:osType=WINDOWS)+head(size=506413259)
components,sigmastar,windows,,9,SigmaStar_windows_20221202.zip,7948631,2022-12-02,https://api.mounriver.com/mountriver/api/version/fetchRecentComponentsUrl?resourceId=1598511224224522241,#,confirmed,api(fetchRecentComponents)+head(size=7948631)
components,wch,windows,,50,WCH_windows_20260806093258.zip,105473395,2026-08-06,https://api.mounriver.com/mountriver/api/version/fetchRecentComponentsUrl?resourceId=2085177293589753857,#,confirmed,api(fetchRecentComponents)+head(size=105473395)
components,xuzhikai,windows,,30,Xuzhikai_windows_20241217105554.zip,204043,2024-12-17,https://api.mounriver.com/mountriver/api/version/fetchRecentComponentsUrl?resourceId=1868852594305204225,#,confirmed,api(fetchRecentComponents)+head(size=204043)
components,zhangpc,windows,,31,ZhangPC_windows_20241224202612.zip,47450871,2024-12-17,https://api.mounriver.com/mountriver/api/version/fetchRecentComponentsUrl?resourceId=1868981696584548353,#,confirmed,api(fetchRecentComponents)+head(size=47450871)
