id,series,condition,match,description,source_zh,source_en
v30x-sdio-d0d1-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 1, or 6th-to-last digit != 0",SDIO_?D0,"SDIO_D0 and SDIO_D1 are mapped to PC8 and PC9 by default. For matching lots (except CH32V305GBU6), the default mapping automatically changes to PB14 and PB15 when bit[14]ETHMACEN=1 and bit[10]SDIOEN=1 in register RCC_AHBPCENR.","CH32V20x_30xDS0.PDF p.34,48","CH32V20x_30xDS0.PDF p.41,55"
v30x-dvp-d5-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 1, or 6th-to-last digit != 0",DVP_?D5,"DVP_D5 is mapped to PB6 by default. For matching lots, the default mapping automatically changes to PB3 when bit[13]DVPEN=1 and bit[11]USBHSEN=1 in register RCC_AHBPCENR and bit[2]RB_UC_RST_SIE=0 in R8_USB_CTRL.","CH32V20x_30xDS0.PDF p.35,48","CH32V20x_30xDS0.PDF p.41,55"
v30x-fsmc-nadv-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 1, or 6th-to-last digit != 0",FSMC_?NADV,"FSMC_NADV is mapped to PB7 by default. For matching lots, the default mapping automatically changes to PD2 when bit[8]FSMCEN=1 and bit[11]USBHSEN=1 in register RCC_AHBPCENR and bit[2]RB_UC_RST_SIE=0 in R8_USB_CTRL.","CH32V20x_30xDS0.PDF p.35,48","CH32V20x_30xDS0.PDF p.41,55"
v30x-i2s3-sd-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 2, or 6th-to-last digit != 0",I2S3_?SD,"I2S3_SD is mapped to PB5 by default. For matching lots, the default mapping automatically changes to PA9 if 10M Ethernet and I2S3 are used at the same time.","CH32V20x_30xDS0.PDF p.35,48","CH32V20x_30xDS0.PDF p.41,55"
v30x-i2s3-mck-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 2, or 6th-to-last digit != 0",I2S3_?MCK,"I2S3_MCK is mapped to PC7 by default. For matching lots, the default mapping automatically changes to PA8 if 10M Ethernet and I2S3 are used at the same time.","CH32V20x_30xDS0.PDF p.35,49","CH32V20x_30xDS0.PDF p.41,55"
v30x-spi3-mosi-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number = 2, and 6th-to-last digit = 0",SPI3_?MOSI,"SPI3_MOSI is mapped to PB5 by default. For matching lots, when Ethernet is used the I2S3 default pin functions and the SPI3 default chip-select are unavailable, and the SPI3_MOSI default mapping automatically changes to PA15.","CH32V20x_30xDS0.PDF p.35,49","CH32V20x_30xDS0.PDF p.41,56"
v30x-flash-sram-128k-192k,CH32V303;CH32V305;CH32V307,6th-to-last digit of lot number != 0 (256K FLASH + 64K SRAM products),128K ?FLASH\+192K,"In addition to the user-selectable (192K+128K), (224K+96K), (256K+64K) and (288K+32K) FLASH/SRAM combinations, these lots add a (128K FLASH + 192K SRAM) combination.",CH32V20x_30xDS0.PDF p.5,CH32V20x_30xDS0.PDF p.7
v30x-vio-min-1v2,CH32V303;CH32V305;CH32V307;CH32V317,5th-to-last digit of lot number > 4,CH32V20x_30xDS0.*(大于4的|greater than 4),V_IO supports a minimum supply voltage of 1.2V instead of 1.8V (products without an independent V_IO supply and CH32V305GBU6 excluded).,"CH32V20x_30xDS0.PDF p.13,52","CH32V20x_30xDS0.PDF p.16,60"
h41x-lot5-features,CH32H415;CH32H416;CH32H417,5th digit of lot number = 0,"GPHA(、|, )Ethernet","GPHA, Ethernet, SerDes and CAN functions are not provided.",CH32H417DS0.PDF p.4,CH32H417DS0.PDF p.4
h41x-clock-tree-lot5,CH32H415;CH32H416;CH32H417,5th digit of lot number = 0,CH32H417DS0.*(标蓝|blue-?marked),The blue-marked sections of the clock tree diagram in the datasheet are not applicable (they only apply to chips whose 5th lot-number digit is greater than 0).,CH32H417DS0.PDF p.9,CH32H417DS0.PDF p.10
l103-standby-pulldown,CH32L103,5th-to-last digit of lot number = 1 (CH32L103K8U/F8U6),CH32L103DS0.*5\.1k?Ω,CH32L103K8U and CH32L103F8U6 have a built-in 5.1kΩ pull-down resistor that is forced on in standby mode; standby current increases by about 5uA and the pull-down configuration note in the datasheet is not needed.,CH32L103DS0.PDF p.38,CH32L103DS0.PDF p.45
v205-can-usbpd,CH32V205,5th digit of lot number = 0,CH32V205DS0.*(CAN、USBPD|CAN and USBPD),"CAN and USBPD functions are not provided (applies to the products listed in CH32V205DS0, including CH32V203CCT6).",CH32V205DS0.PDF p.2,CH32V205DS0.PDF p.3
v203rb-clock-tree-lot5,CH32V203,5th-to-last digit of lot number = 0 (CH32V203RB),CH32V203DS0.*(蓝色虚线|blue dotted),The blue-dashed sections of the clock tree (Figure 2-4) are not applicable to these CH32V203RB lots (they only apply when the 5th-to-last lot digit is greater than 0).,CH32V203DS0.PDF p.8,CH32V203DS0.PDF p.12
v203rb-hse-32m,CH32V203,CH32V203RB (all lots),CH32V203DS0.*(（HSE）为32M|\(HSE\) is 32M),CH32V203RB uses a 32MHz external crystal or clock (HSE); no load capacitors are needed with an external crystal as they are built in.,CH32V203DS0.PDF p.8,CH32V203DS0.PDF p.12
v407-nonzero-wait-rvv,CH32V407;CH32V467,5th-to-last digit of lot number > 0,CH32V407DS0.*(RVV|non-zero waiting),The non-zero-wait flash area additionally supports RVV instructions and 64-bit DMA access.,CH32V407DS0.PDF p.7,CH32V407DS0.PDF p.9
v467-stop-ldo18,CH32V467,5th-to-last digit of lot number = 0,LDO18,"In stop mode with the voltage regulator in low-power mode, bit LDO18_EN in register PWR_CTLR must be configured to 0.",CH32V407DS0.PDF p.48,CH32V407DS0.PDF p.55
v467-current-delta,CH32V467,all lots,CH32V407DS0.*(增加90uA|by 90uA),Current consumption is higher than the CH32V407 values in the datasheet tables: about +2~22mA in operating mode and +90uA in stop mode.,CH32V407DS0.PDF p.48,CH32V407DS0.PDF p.55
v467-psram-lot,CH32V467,5th-to-last digit of lot number != 0,CH32V407DS0.*(超过200MHz|exceeding 200MHz),"PSRAM supports clocks above 200MHz, variable and instruction access, and byte write; in stop mode (voltage regulator in low-power mode) PSRAM data is retained.",CH32V407DS0.PDF p.70,CH32V407DS0.PDF p.80
x035-adc-ch-i2c-unavailable,CH32X033;CH32X035,5th-to-last digit of lot number = 0,CH32X035DS0.*(通道3|[Cc]hannel 3|I2C功能不适用|I2C function is not available),"ADC channels 3, 7, 11 and 15, and the I2C function, are not available.","CH32X035DS0.PDF p.8,9,19,22","CH32X035DS0.PDF p.10,20,24"
x035-pc10-pc17-bonded,CH32X033;CH32X035,except CH32X035F8U6 and CH32X035D8U6,CH32X035DS0.*PC10,The PC10/PC17 and PC11/PC16 pin pairs are internally bonded together; both IOs of a pair must not be configured as outputs at the same time.,CH32X035DS0.PDF p.19,CH32X035DS0.PDF p.20
x315-clock-tree-lot5,CH32X305;CH32X315,5th digit of lot number = 0,CH32X315DS0.*(标蓝|blue marked|blue-marked),The blue-marked sections of the clock tree diagram in the datasheet are not applicable (they only apply to chips whose 5th lot-number digit is greater than 0).,CH32X315DS0.PDF p.6,CH32X315DS0.PDF p.8
