series,symbol,parameter,condition,min,max,unit,#,confidence,basis,datasheet
CH32H415;CH32H416;CH32H417,I_IO,Sink current on arbitrary I/O and control pins,,,25,mA,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_IO,Source current on arbitrary I/O and control pins,,,-25,mA,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_VDD33,Total current of all V_DD33/V_DD33A main supply pins,,,400,mA,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_VIO,Total current of all V_DDIO/V_IO18 supply pins,,,200,mA,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,I_VSS,Total current of all V_SS common ground pins,,,600,mA,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,T_A,Ambient temperature during operation,,-40,85,℃,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,T_S,Ambient temperature during storage,,-40,125,℃,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD12A,USB 3.0 module power supply voltage,,-0.3,1.5,V,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DD33,External mains supply voltage (including V_DD33A and V_DD33),,-0.3,4.0,V,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DDIO,Power supply voltage of some conventional I/O pins,,-0.3,4.0,V,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,V_DDK,Power supply decoupling terminal of core circuit,,-0.3,1.5,V,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
