family,config,source,condition,domains,hpre,ppre1,ppre2,pll,flash_latency,flash_sck_div,outside_rcc,#,confidence,basis,evt_copies
CH32H417,SetSYSCLK_295M_CoreCLK_HSE,HSE,,SYSCLK=295000000,1,,,RCC_PLL_SRC_DIV5;RCC_PLLSRC_HSE,,2,,#,reference,evt(system_ch32*.c),1/390
CH32H417,SetSYSCLK_295M_CoreCLK_HSI,HSI,,SYSCLK=295000000,1,,,RCC_PLL_SRC_DIV5;RCC_PLLSRC_HSI,,2,,#,reference,evt(system_ch32*.c),1/390
CH32H417,SetSYSCLK_400M_CoreCLK_V5F_400M_V3F_100M_HSE,HSE,,SYSCLK=400000000;CoreCLK[V5F]=400000000;CoreCLK[V3F]=100000000,1,,,RCC_PLL_SRC_DIV1;RCC_PLLSRC_HSE,,2,,#,reference,evt(system_ch32*.c),199/390
CH32H417,SetSYSCLK_400M_CoreCLK_V5F_400M_V3F_100M_HSI,HSI,,SYSCLK=400000000;CoreCLK[V5F]=400000000;CoreCLK[V3F]=100000000,1,,,RCC_PLL_SRC_DIV1;RCC_PLLSRC_HSI,,2,,#,reference,evt(system_ch32*.c),200/390
CH32H417,SetSYSCLK_480M_CoreCLK_V5F_240M_V3F_120M_HSE,HSE,,SYSCLK=480000000;CoreCLK[V5F]=240000000;CoreCLK[V3F]=120000000,2,,,,,2,,#,reference,evt(system_ch32*.c),200/390
CH32H417,SetSYSCLK_480M_CoreCLK_V5F_240M_V3F_120M_HSI,HSI,,SYSCLK=480000000;CoreCLK[V5F]=240000000;CoreCLK[V3F]=120000000,2,,,,,2,,#,reference,evt(system_ch32*.c),200/390
CH32H417,SetSYSCLK_480M_CoreCLK_V5F_480M_V3F_120M_HSE,HSE,,SYSCLK=480000000;CoreCLK[V5F]=480000000;CoreCLK[V3F]=120000000,1,,,,,2,,#,reference,evt(system_ch32*.c),200/390
CH32H417,SetSYSCLK_480M_CoreCLK_V5F_480M_V3F_120M_HSI,HSI,,SYSCLK=480000000;CoreCLK[V5F]=480000000;CoreCLK[V3F]=120000000,1,,,,,2,,#,reference,evt(system_ch32*.c),200/390
CH32H417,SetSYSCLK_600M_CoreCLK_V5F_300M_V3F_150M_HSE,HSE,,SYSCLK=600000000;CoreCLK[V5F]=300000000;CoreCLK[V3F]=150000000,2,,,RCC_PLL_SRC_DIV1;RCC_PLLSRC_HSE,,2,,#,reference,evt(system_ch32*.c),1/390
CH32L103,SetSysClockTo48_HSE,HSE,,SYSCLK=48000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL6,1,,,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockTo48_HSI,HSI,,SYSCLK=48000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL6,1,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockTo56_HSE,HSE,,SYSCLK=56000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL7,1,,,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockTo56_HSI,HSI,,SYSCLK=56000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL7,1,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockTo72_HSE,HSE,,SYSCLK=72000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL9,2,,,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockTo72_HSI,HSI,,SYSCLK=72000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL9,2,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockTo96_HSE,HSE,,SYSCLK=96000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL12,2,,,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockTo96_HSI,HSI,,SYSCLK=96000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL12,2,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockToHSE,HSE,,,1,1,1,,0,,,#,reference,evt(system_ch32*.c),117/117
CH32L103,SetSysClockToHSI_LP,HSI,,,1,1,1,,,,,#,reference,evt(system_ch32*.c),117/117
CH32M030,SetSysClockTo24_HSE,HSE,,SYSCLK=24000000,6,,,RCC_PLLSRC_HSE,1,,,#,reference,evt(system_ch32*.c),97/97
CH32M030,SetSysClockTo24_HSI,HSI,,SYSCLK=24000000,6,,,RCC_PLLSRC_HSI,1,,,#,reference,evt(system_ch32*.c),97/97
CH32M030,SetSysClockTo48_HSE,HSE,,SYSCLK=48000000,3,,,RCC_PLLSRC_HSE,2,,,#,reference,evt(system_ch32*.c),97/97
CH32M030,SetSysClockTo48_HSI,HSI,,SYSCLK=48000000,3,,,RCC_PLLSRC_HSI,2,,,#,reference,evt(system_ch32*.c),97/97
CH32M030,SetSysClockTo72_HSE,HSE,,SYSCLK=72000000,2,,,RCC_PLLSRC_HSE,3,,,#,reference,evt(system_ch32*.c),97/97
CH32M030,SetSysClockTo72_HSI,HSI,,SYSCLK=72000000,2,,,RCC_PLLSRC_HSI,3,,,#,reference,evt(system_ch32*.c),97/97
CH32M030,SetSysClockToHSE,HSE,,,1,,,,0,,,#,reference,evt(system_ch32*.c),97/97
CH32V003,SetSysClockTo_24MHZ_HSI,HSI,,SYSCLK=24000000,1,,,,0,,,#,reference,evt(system_ch32*.c),62/62
CH32V003,SetSysClockTo_24MHz_HSE,HSE,,SYSCLK=24000000,1,,,,0,,,#,reference,evt(system_ch32*.c),62/62
CH32V003,SetSysClockTo_48MHZ_HSI,HSI,,SYSCLK=48000000,1,,,RCC_PLLSRC_HSI_Mul2,1,,,#,reference,evt(system_ch32*.c),62/62
CH32V003,SetSysClockTo_48MHz_HSE,HSE,,SYSCLK=48000000,1,,,RCC_PLLSRC_HSE_Mul2,1,,,#,reference,evt(system_ch32*.c),62/62
CH32V003,SetSysClockTo_8MHz_HSE,HSE,,SYSCLK=8000000,3,,,,0,,,#,reference,evt(system_ch32*.c),62/62
CH32V003,SetSysClockTo_8MHz_HSI,HSI,,SYSCLK=8000000,3,,,,0,,,#,reference,evt(system_ch32*.c),62/62
CH32V006,SetSysClockTo_24MHZ_HSI,HSI,,SYSCLK=24000000,1,,,,1,,,#,reference,evt(system_ch32*.c),73/73
CH32V006,SetSysClockTo_24MHz_HSE,HSE,,SYSCLK=24000000,1,,,,1,,,#,reference,evt(system_ch32*.c),73/73
CH32V006,SetSysClockTo_48MHZ_HSI,HSI,,SYSCLK=48000000,1,,,RCC_PLLSRC_HSI_Mul2,2,,,#,reference,evt(system_ch32*.c),73/73
CH32V006,SetSysClockTo_48MHz_HSE,HSE,,SYSCLK=48000000,1,,,RCC_PLLSRC_HSE_Mul2,2,,,#,reference,evt(system_ch32*.c),73/73
CH32V006,SetSysClockTo_8MHz_HSE,HSE,,SYSCLK=8000000,3,,,,0,,,#,reference,evt(system_ch32*.c),73/73
CH32V006,SetSysClockTo_8MHz_HSI,HSI,,SYSCLK=8000000,3,,,,0,,,#,reference,evt(system_ch32*.c),73/73
CH32V103,SetSysClockTo24,,else,SYSCLK=24000000,1,1,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL6,0,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),1/87
CH32V103,SetSysClockTo24,,if (PLL_Source == HSI),SYSCLK=24000000,1,1,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL3,0,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),1/87
CH32V103,SetSysClockTo48,,else,SYSCLK=48000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL12,1,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),1/87
CH32V103,SetSysClockTo48,,if (PLL_Source == HSI),SYSCLK=48000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL6,1,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),1/87
CH32V103,SetSysClockTo48_HSE,HSE,,SYSCLK=48000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLMULL6,1,,,#,reference,evt(system_ch32*.c),86/87
CH32V103,SetSysClockTo48_HSI,HSI,,SYSCLK=48000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL6,1,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),86/87
CH32V103,SetSysClockTo56_HSE,HSE,,SYSCLK=56000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLMULL7,2,,,#,reference,evt(system_ch32*.c),86/87
CH32V103,SetSysClockTo56_HSI,HSI,,SYSCLK=56000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL7,2,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),86/87
CH32V103,SetSysClockTo72_HSE,HSE,,SYSCLK=72000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLMULL9,2,,,#,reference,evt(system_ch32*.c),86/87
CH32V103,SetSysClockTo72_HSI,HSI,,SYSCLK=72000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL9,2,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),86/87
CH32V103,SetSysClockToHSE,HSE,,,1,1,1,,0,,,#,reference,evt(system_ch32*.c),86/87
CH32V205,SetSysClockTo120_HSE,HSE,,SYSCLK=120000000,1,1,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL15,2,,,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo120_HSI,HSI,,SYSCLK=120000000,1,1,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL15,2,,EXTEN->CTLR0 EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo160_HSE,HSE,,SYSCLK=160000000,1,1,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL20,3,,,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo160_HSI,HSI,,SYSCLK=160000000,1,1,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL20,3,,EXTEN->CTLR0 EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo192_HSE,HSE,,SYSCLK=192000000,1,1,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL24,4,,,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo192_HSI,HSI,,SYSCLK=192000000,1,1,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL24,4,,EXTEN->CTLR0 EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo40_HSE,HSE,,SYSCLK=40000000,1,1,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL5,0,,,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo40_HSI,HSI,,SYSCLK=40000000,1,1,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL5,0,,EXTEN->CTLR0 EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo80_HSE,HSE,,SYSCLK=80000000,1,1,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL10,1,,,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo80_HSI,HSI,,SYSCLK=80000000,1,1,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL10,1,,EXTEN->CTLR0 EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockTo96_HSE,HSE,,SYSCLK=96000000,1,1,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL12,2,,,#,reference,evt(system_ch32*.c),1/137
CH32V205,SetSysClockTo96_HSI,HSI,,SYSCLK=96000000,1,1,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL15,2,,EXTEN->CTLR0 EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),5/137
CH32V205,SetSysClockToHSE,HSE,,,1,1,1,,0,,,#,reference,evt(system_ch32*.c),137/137
CH32V205,SetSysClockToHSI_LP,HSI,,,1,1,1,,0,,,#,reference,evt(system_ch32*.c),137/137
CH32V20x,SetSysClockTo120_HSE,HSE,,SYSCLK=120000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL15,,,,#,reference,evt(system_ch32*.c),171/176
CH32V20x,SetSysClockTo120_HSI,HSI,,SYSCLK=120000000,1,2,1,RCC_PLLSRC_HSI_Div2;RCC_PLLMULL15,,,EXTEN->EXTEN_CTR EXTEN_PLL_HSI_PRE,#,reference,evt(system_ch32*.c),171/176
CH32V20x,SetSysClockTo144,,else,SYSCLK=144000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL18,,,,#,reference,evt(system_ch32*.c),2/176
CH32V20x,SetSysClockTo144,,if defined (CH32V20x_D8W),SYSCLK=144000000,1,2,1,RCC_PLLSRC_HSE;RCC_PLLXTPRE_HSE;RCC_PLLMULL9,,,,#,reference,evt(system_ch32*.c),2/176
