family,peripheral,bus,register,offset,address,bit,mask,macro,#,confidence,basis
CH32H417,TIM2,HB1,HB1PCENR,0x20,0x40021020,0,0x1,RCC_HB1Periph_TIM2,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,TIM3,HB1,HB1PCENR,0x20,0x40021020,1,0x2,RCC_HB1Periph_TIM3,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,TIM4,HB1,HB1PCENR,0x20,0x40021020,2,0x4,RCC_HB1Periph_TIM4,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,TIM5,HB1,HB1PCENR,0x20,0x40021020,3,0x8,RCC_HB1Periph_TIM5,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,TIM6,HB1,HB1PCENR,0x20,0x40021020,4,0x10,RCC_HB1Periph_TIM6,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,TIM7,HB1,HB1PCENR,0x20,0x40021020,5,0x20,RCC_HB1Periph_TIM7,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,USART6,HB1,HB1PCENR,0x20,0x40021020,6,0x40,RCC_HB1Periph_USART6,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,USART7,HB1,HB1PCENR,0x20,0x40021020,7,0x80,RCC_HB1Periph_USART7,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,USART8,HB1,HB1PCENR,0x20,0x40021020,8,0x100,RCC_HB1Periph_USART8,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,LPTIM1,HB1,HB1PCENR,0x20,0x40021020,9,0x200,RCC_HB1Periph_LPTIM1,#,confirmed,evt(ch32h417_rcc.h+ch32h417.h)+rm(CH32H417RM.PDF)
