family,function,step,action,register,address,value,source,condition,#,confidence,basis
CH32H417,SystemInit,0,set,RCC->CTLR,0x40021000,1,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,1,clear,RCC->CFGR0,0x40021004,811335680,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,2,poll,RCC->CFGR0,0x40021004,12,,!= 0x00,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,3,clear,RCC->CFGR0,0x40021004,4290772991,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,4,clear,RCC->PLLCFGR,0x40021008,2147483647,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,5,clear,RCC->CTLR,0x40021000,1789329407,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,6,clear,RCC->CTLR,0x40021000,4294705151,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,7,clear,RCC->PLLCFGR,0x40021008,268419072,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,8,set,RCC->PLLCFGR,0x40021008,4,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,9,write,RCC->INTR,0x4002100c,16711680,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,10,clear,RCC->CFGR2,0x40021030,207618048,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,11,clear,RCC->PLLCFGR2,0x40021034,4293976192,,,#,reference,evt(system_ch32*.c+device-header)
CH32H417,SystemInit,12,set,RCC->PLLCFGR2,0x40021034,524320,,,#,reference,evt(system_ch32*.c+device-header)
CH32L103,SetSysClockToHSI_LP,6,trim,RCC->CTLR,0x1ffff72a,31,HSI_LP_TRIM_BASE,,#,reference,evt(system_ch32*.c+device-header)
CH32L103,SystemInit,0,set,RCC->CTLR,0x40021000,1,,,#,reference,evt(system_ch32*.c+device-header)
CH32L103,SystemInit,1,clear,RCC->CFGR0,0x40021004,150929408,,,#,reference,evt(system_ch32*.c+device-header)
CH32L103,SystemInit,2,clear,RCC->CTLR,0x40021000,4277600251,,,#,reference,evt(system_ch32*.c+device-header)
CH32L103,SystemInit,3,clear,RCC->CTLR,0x40021000,4294705151,,,#,reference,evt(system_ch32*.c+device-header)
CH32L103,SystemInit,4,clear,RCC->CFGR0,0x40021004,4278255615,,,#,reference,evt(system_ch32*.c+device-header)
CH32L103,SystemInit,5,write,RCC->INTR,0x40021008,10420224,,,#,reference,evt(system_ch32*.c+device-header)
CH32M030,SystemInit,0,set,RCC->CTLR,0x40021000,1,,,#,reference,evt(system_ch32*.c+device-header)
CH32M030,SystemInit,1,clear,RCC->CFGR0,0x40021004,4294967292,,,#,reference,evt(system_ch32*.c+device-header)
CH32M030,SystemInit,2,clear,RCC->CFGR0,0x40021004,3909025795,,,#,reference,evt(system_ch32*.c+device-header)
CH32M030,SystemInit,3,clear,RCC->CTLR,0x40021000,4277600255,,,#,reference,evt(system_ch32*.c+device-header)
CH32M030,SystemInit,4,clear,RCC->CTLR,0x40021000,4294705151,,,#,reference,evt(system_ch32*.c+device-header)
CH32M030,SystemInit,5,clear,RCC->CFGR0,0x40021004,4294901759,,,#,reference,evt(system_ch32*.c+device-header)
CH32M030,SystemInit,6,write,RCC->INTR,0x40021008,10420224,,,#,reference,evt(system_ch32*.c+device-header)
CH32M030,SystemInit,7,write,FLASH->ACTLR,0x40022000,0,,,#,reference,evt(system_ch32*.c+device-header)
CH32V003,SetSysClockTo_48MHZ_HSI,7,trim,RCC->CTLR,0x1ffff7d4,31,CFG0_PLL_TRIM,!= 0xFF,#,reference,evt(system_ch32*.c+device-header)
CH32V003,SystemInit,0,set,RCC->CTLR,0x40021000,1,,,#,reference,evt(system_ch32*.c+device-header)
CH32V003,SystemInit,1,clear,RCC->CFGR0,0x40021004,4177461248,,,#,reference,evt(system_ch32*.c+device-header)
CH32V003,SystemInit,2,clear,RCC->CTLR,0x40021000,4277600255,,,#,reference,evt(system_ch32*.c+device-header)
CH32V003,SystemInit,3,clear,RCC->CTLR,0x40021000,4294705151,,,#,reference,evt(system_ch32*.c+device-header)
