family,field,divider,value,#,confidence,basis
CH32H417,ADCPRE,10,10240,#,reference,evt(device-header)
CH32H417,ADCPRE,11,12288,#,reference,evt(device-header)
CH32H417,ADCPRE,12,14336,#,reference,evt(device-header)
CH32H417,ADCPRE,13,16384,#,reference,evt(device-header)
CH32H417,ADCPRE,14,18432,#,reference,evt(device-header)
CH32H417,ADCPRE,15,20480,#,reference,evt(device-header)
CH32H417,ADCPRE,16,22528,#,reference,evt(device-header)
CH32H417,ADCPRE,17,24576,#,reference,evt(device-header)
CH32H417,ADCPRE,18,26624,#,reference,evt(device-header)
CH32H417,ADCPRE,19,28672,#,reference,evt(device-header)
CH32H417,ADCPRE,20,30720,#,reference,evt(device-header)
CH32H417,ADCPRE,21,32768,#,reference,evt(device-header)
CH32H417,ADCPRE,22,34816,#,reference,evt(device-header)
CH32H417,ADCPRE,23,36864,#,reference,evt(device-header)
CH32H417,ADCPRE,24,38912,#,reference,evt(device-header)
CH32H417,ADCPRE,25,40960,#,reference,evt(device-header)
CH32H417,ADCPRE,26,43008,#,reference,evt(device-header)
CH32H417,ADCPRE,27,45056,#,reference,evt(device-header)
CH32H417,ADCPRE,28,47104,#,reference,evt(device-header)
CH32H417,ADCPRE,29,49152,#,reference,evt(device-header)
CH32H417,ADCPRE,30,51200,#,reference,evt(device-header)
CH32H417,ADCPRE,31,53248,#,reference,evt(device-header)
CH32H417,ADCPRE,32,55296,#,reference,evt(device-header)
CH32H417,ADCPRE,33,57344,#,reference,evt(device-header)
CH32H417,ADCPRE,34,59392,#,reference,evt(device-header)
CH32H417,ADCPRE,35,61440,#,reference,evt(device-header)
CH32H417,ADCPRE,36,63488,#,reference,evt(device-header)
CH32H417,ADCPRE,5,0,#,reference,evt(device-header)
CH32H417,ADCPRE,6,2048,#,reference,evt(device-header)
CH32H417,ADCPRE,7,4096,#,reference,evt(device-header)
CH32H417,ADCPRE,8,6144,#,reference,evt(device-header)
CH32H417,ADCPRE,9,8192,#,reference,evt(device-header)
CH32H417,HPRE,1,0,#,reference,evt(device-header)
CH32H417,HPRE,128,208,#,reference,evt(device-header)
CH32H417,HPRE,16,176,#,reference,evt(device-header)
CH32H417,HPRE,2,128,#,reference,evt(device-header)
CH32H417,HPRE,256,224,#,reference,evt(device-header)
CH32H417,HPRE,4,144,#,reference,evt(device-header)
CH32H417,HPRE,512,240,#,reference,evt(device-header)
CH32H417,HPRE,64,192,#,reference,evt(device-header)
CH32H417,HPRE,8,160,#,reference,evt(device-header)
CH32L103,ADCPRE,2,0,#,reference,evt(device-header)
CH32L103,ADCPRE,4,16384,#,reference,evt(device-header)
CH32L103,ADCPRE,6,32768,#,reference,evt(device-header)
CH32L103,ADCPRE,8,49152,#,reference,evt(device-header)
CH32L103,HPRE,1,0,#,reference,evt(device-header)
CH32L103,HPRE,128,208,#,reference,evt(device-header)
CH32L103,HPRE,16,176,#,reference,evt(device-header)
CH32L103,HPRE,2,128,#,reference,evt(device-header)
CH32L103,HPRE,256,224,#,reference,evt(device-header)
CH32L103,HPRE,4,144,#,reference,evt(device-header)
CH32L103,HPRE,512,240,#,reference,evt(device-header)
CH32L103,HPRE,64,192,#,reference,evt(device-header)
CH32L103,HPRE,8,160,#,reference,evt(device-header)
CH32L103,PPRE1,1,0,#,reference,evt(device-header)
CH32L103,PPRE1,16,1792,#,reference,evt(device-header)
CH32L103,PPRE1,2,1024,#,reference,evt(device-header)
CH32L103,PPRE1,4,1280,#,reference,evt(device-header)
CH32L103,PPRE1,8,1536,#,reference,evt(device-header)
CH32L103,PPRE2,1,0,#,reference,evt(device-header)
CH32L103,PPRE2,16,14336,#,reference,evt(device-header)
CH32L103,PPRE2,2,8192,#,reference,evt(device-header)
CH32L103,PPRE2,4,10240,#,reference,evt(device-header)
CH32L103,PPRE2,8,12288,#,reference,evt(device-header)
CH32M030,ADCPRE,2,0,#,reference,evt(device-header)
CH32M030,ADCPRE,4,16384,#,reference,evt(device-header)
CH32M030,ADCPRE,6,32768,#,reference,evt(device-header)
CH32M030,ADCPRE,8,49152,#,reference,evt(device-header)
CH32M030,HPRE,1,0,#,reference,evt(device-header)
CH32M030,HPRE,2,16,#,reference,evt(device-header)
CH32M030,HPRE,3,32,#,reference,evt(device-header)
CH32M030,HPRE,4,48,#,reference,evt(device-header)
CH32M030,HPRE,5,64,#,reference,evt(device-header)
CH32M030,HPRE,6,80,#,reference,evt(device-header)
CH32M030,HPRE,7,96,#,reference,evt(device-header)
CH32V003,ADCPRE,2,0,#,reference,evt(device-header)
CH32V003,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V003,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V003,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V003,HPRE,1,0,#,reference,evt(device-header)
CH32V003,HPRE,128,224,#,reference,evt(device-header)
CH32V003,HPRE,16,176,#,reference,evt(device-header)
CH32V003,HPRE,2,16,#,reference,evt(device-header)
CH32V003,HPRE,256,240,#,reference,evt(device-header)
CH32V003,HPRE,3,32,#,reference,evt(device-header)
CH32V003,HPRE,32,192,#,reference,evt(device-header)
CH32V003,HPRE,4,48,#,reference,evt(device-header)
CH32V003,HPRE,5,64,#,reference,evt(device-header)
CH32V003,HPRE,6,80,#,reference,evt(device-header)
CH32V003,HPRE,64,208,#,reference,evt(device-header)
CH32V003,HPRE,7,96,#,reference,evt(device-header)
CH32V003,HPRE,8,112,#,reference,evt(device-header)
CH32V006,ADCPRE,12,40960,#,reference,evt(device-header)
CH32V006,ADCPRE,128,63488,#,reference,evt(device-header)
CH32V006,ADCPRE,16,57344,#,reference,evt(device-header)
CH32V006,ADCPRE,2,0,#,reference,evt(device-header)
CH32V006,ADCPRE,24,43008,#,reference,evt(device-header)
CH32V006,ADCPRE,32,59392,#,reference,evt(device-header)
CH32V006,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V006,ADCPRE,48,45056,#,reference,evt(device-header)
CH32V006,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V006,ADCPRE,64,61440,#,reference,evt(device-header)
CH32V006,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V006,ADCPRE,96,47104,#,reference,evt(device-header)
CH32V006,HPRE,1,0,#,reference,evt(device-header)
CH32V006,HPRE,128,224,#,reference,evt(device-header)
CH32V006,HPRE,16,176,#,reference,evt(device-header)
CH32V006,HPRE,2,16,#,reference,evt(device-header)
CH32V006,HPRE,256,240,#,reference,evt(device-header)
CH32V006,HPRE,3,32,#,reference,evt(device-header)
CH32V006,HPRE,32,192,#,reference,evt(device-header)
CH32V006,HPRE,4,48,#,reference,evt(device-header)
CH32V006,HPRE,5,64,#,reference,evt(device-header)
CH32V006,HPRE,6,80,#,reference,evt(device-header)
CH32V006,HPRE,64,208,#,reference,evt(device-header)
CH32V006,HPRE,7,96,#,reference,evt(device-header)
CH32V006,HPRE,8,112,#,reference,evt(device-header)
CH32V103,ADCPRE,2,0,#,reference,evt(device-header)
CH32V103,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V103,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V103,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V103,HPRE,1,0,#,reference,evt(device-header)
CH32V103,HPRE,128,208,#,reference,evt(device-header)
CH32V103,HPRE,16,176,#,reference,evt(device-header)
CH32V103,HPRE,2,128,#,reference,evt(device-header)
CH32V103,HPRE,256,224,#,reference,evt(device-header)
CH32V103,HPRE,4,144,#,reference,evt(device-header)
CH32V103,HPRE,512,240,#,reference,evt(device-header)
CH32V103,HPRE,64,192,#,reference,evt(device-header)
CH32V103,HPRE,8,160,#,reference,evt(device-header)
CH32V103,PPRE1,1,0,#,reference,evt(device-header)
CH32V103,PPRE1,16,1792,#,reference,evt(device-header)
CH32V103,PPRE1,2,1024,#,reference,evt(device-header)
CH32V103,PPRE1,4,1280,#,reference,evt(device-header)
CH32V103,PPRE1,8,1536,#,reference,evt(device-header)
CH32V103,PPRE2,1,0,#,reference,evt(device-header)
CH32V103,PPRE2,16,14336,#,reference,evt(device-header)
CH32V103,PPRE2,2,8192,#,reference,evt(device-header)
CH32V103,PPRE2,4,10240,#,reference,evt(device-header)
CH32V103,PPRE2,8,12288,#,reference,evt(device-header)
CH32V205,ADCPRE,2,0,#,reference,evt(device-header)
CH32V205,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V205,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V205,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V205,HPRE,1,0,#,reference,evt(device-header)
CH32V205,HPRE,128,208,#,reference,evt(device-header)
CH32V205,HPRE,16,176,#,reference,evt(device-header)
CH32V205,HPRE,2,128,#,reference,evt(device-header)
CH32V205,HPRE,256,224,#,reference,evt(device-header)
CH32V205,HPRE,4,144,#,reference,evt(device-header)
CH32V205,HPRE,512,240,#,reference,evt(device-header)
CH32V205,HPRE,64,192,#,reference,evt(device-header)
CH32V205,HPRE,8,160,#,reference,evt(device-header)
CH32V205,PPRE1,1,0,#,reference,evt(device-header)
CH32V205,PPRE1,16,1792,#,reference,evt(device-header)
CH32V205,PPRE1,2,1024,#,reference,evt(device-header)
CH32V205,PPRE1,4,1280,#,reference,evt(device-header)
CH32V205,PPRE1,8,1536,#,reference,evt(device-header)
CH32V205,PPRE2,1,0,#,reference,evt(device-header)
CH32V205,PPRE2,16,14336,#,reference,evt(device-header)
CH32V205,PPRE2,2,8192,#,reference,evt(device-header)
CH32V205,PPRE2,4,10240,#,reference,evt(device-header)
CH32V205,PPRE2,8,12288,#,reference,evt(device-header)
CH32V20x,ADCPRE,2,0,#,reference,evt(device-header)
CH32V20x,ADCPRE,4,16384,#,reference,evt(device-header)
CH32V20x,ADCPRE,6,32768,#,reference,evt(device-header)
CH32V20x,ADCPRE,8,49152,#,reference,evt(device-header)
CH32V20x,HPRE,1,0,#,reference,evt(device-header)
CH32V20x,HPRE,128,208,#,reference,evt(device-header)
CH32V20x,HPRE,16,176,#,reference,evt(device-header)
CH32V20x,HPRE,2,128,#,reference,evt(device-header)
CH32V20x,HPRE,256,224,#,reference,evt(device-header)
CH32V20x,HPRE,4,144,#,reference,evt(device-header)
CH32V20x,HPRE,512,240,#,reference,evt(device-header)
CH32V20x,HPRE,64,192,#,reference,evt(device-header)
CH32V20x,HPRE,8,160,#,reference,evt(device-header)
CH32V20x,PPRE1,1,0,#,reference,evt(device-header)
CH32V20x,PPRE1,16,1792,#,reference,evt(device-header)
CH32V20x,PPRE1,2,1024,#,reference,evt(device-header)
CH32V20x,PPRE1,4,1280,#,reference,evt(device-header)
CH32V20x,PPRE1,8,1536,#,reference,evt(device-header)
CH32V20x,PPRE2,1,0,#,reference,evt(device-header)
CH32V20x,PPRE2,16,14336,#,reference,evt(device-header)
CH32V20x,PPRE2,2,8192,#,reference,evt(device-header)
CH32V20x,PPRE2,4,10240,#,reference,evt(device-header)
CH32V20x,PPRE2,8,12288,#,reference,evt(device-header)
CH32V307,ADCPRE,2,0,#,reference,evt(device-header)
CH32V307,ADCPRE,4,16384,#,reference,evt(device-header)
