family,consumer,option,value,register,shift,condition,#,confidence,basis
CH32H417,ADC,HCLK,0,CFGR0,31,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,ADC,USBHSPLL,1,CFGR0,31,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,I2S2,PLLCLK,1,CFGR2,24,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,I2S2,SYSCLK,0,CFGR2,24,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,I2S3,PLLCLK,1,CFGR2,25,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,I2S3,SYSCLK,0,CFGR2,25,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,RNG,PLLCLK,1,CFGR2,23,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,RNG,SYSCLK,0,CFGR2,23,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,RTC,HSE_Div512,192,BDCTLR,0,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,RTC,LSE,64,BDCTLR,0,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,RTC,LSI,128,BDCTLR,0,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,SYS,HSE,1,CFGR0,0,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,SYS,HSI,0,CFGR0,0,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,SYS,PLLCLK,2,CFGR0,0,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,USBFS,PLL,0,CFGR2,20,,#,reference,evt(rcc-header+rcc-driver)
CH32H417,USBFS,USBHSPLL,1,CFGR2,20,,#,reference,evt(rcc-header+rcc-driver)
CH32L103,RTC,HSE_Div128,768,BDCTLR,0,,#,reference,evt(rcc-header+rcc-driver)
CH32L103,RTC,LSE,256,BDCTLR,0,,#,reference,evt(rcc-header+rcc-driver)
CH32L103,RTC,LSI,512,BDCTLR,0,,#,reference,evt(rcc-header+rcc-driver)
CH32L103,SYS,HSE,1,CFGR0,0,,#,reference,evt(rcc-header+rcc-driver)
CH32L103,SYS,HSI,0,CFGR0,0,,#,reference,evt(rcc-header+rcc-driver)
