family,symbol,role,register,address,value,#,confidence,basis
CH32H417,FLASH_ACTLR_LATENCY_HCLK_DIV2,value,FLASH->ACTLR,0x40022000,1,#,reference,evt(device-header+system_ch32*.c)
CH32H417,FLASH_ACTLR_SCK_CFG,mask,FLASH->ACTLR,0x40022000,3,#,reference,evt(device-header)
CH32H417,RCC_ADCPRE,mask,RCC->CFGR0,0x40021004,49152,#,reference,evt(device-header)
CH32H417,RCC_CFGR0_MCO,mask,RCC->CFGR0,0x40021004,251658240,#,reference,evt(device-header)
CH32H417,RCC_ETH1GSRC,mask,RCC->CFGR2,0x40021030,3221225472,#,reference,evt(device-header)
CH32H417,RCC_FPRE,mask,RCC->CFGR0,0x40021004,196608,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_FPRE_DIV2,value,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_FPRE_DIV4,value,RCC->CFGR0,0x40021004,131072,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_HPRE,mask,RCC->CFGR0,0x40021004,240,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_HPRE_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_HPRE_DIV2,value,RCC->CFGR0,0x40021004,128,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_HSADCSRC,mask,RCC->CFGR2,0x40021030,805306368,#,reference,evt(device-header)
CH32H417,RCC_HSEON,value,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_I2S2SRC,mask,RCC->CFGR2,0x40021030,16777216,#,reference,evt(device-header)
CH32H417,RCC_I2S3SRC,mask,RCC->CFGR2,0x40021030,33554432,#,reference,evt(device-header)
CH32H417,RCC_LTDCDIV,mask,RCC->CFGR2,0x40021030,16128,#,reference,evt(device-header)
CH32H417,RCC_LTDCSRC,mask,RCC->CFGR2,0x40021030,49152,#,reference,evt(device-header)
CH32H417,RCC_PLLMUL,mask,RCC->PLLCFGR,0x40021008,31,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLMUL16,value,RCC->PLLCFGR,0x40021008,16,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLMUL24,value,RCC->PLLCFGR,0x40021008,22,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLMUL59,value,RCC->PLLCFGR,0x40021008,31,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLON,value,RCC->CTLR,0x40021000,16777216,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLRDY,poll,RCC->CTLR,0x40021000,33554432,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLSRC,mask,RCC->PLLCFGR,0x40021008,224,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLSRC,poll,RCC->PLLCFGR,0x40021008,224,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLSRC_HSE,poll,RCC->PLLCFGR,0x40021008,32,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLSRC_HSE,value,RCC->PLLCFGR,0x40021008,32,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLSRC_HSI,poll,RCC->PLLCFGR,0x40021008,0,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLSRC_HSI,value,RCC->PLLCFGR,0x40021008,0,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLL_SRC_DIV,mask,RCC->PLLCFGR,0x40021008,16128,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLL_SRC_DIV1,value,RCC->PLLCFGR,0x40021008,0,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLL_SRC_DIV5,value,RCC->PLLCFGR,0x40021008,1024,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PPRE2,mask,RCC->CFGR0,0x40021004,14336,#,reference,evt(device-header)
CH32H417,RCC_RNGSRC,mask,RCC->CFGR2,0x40021030,8388608,#,reference,evt(device-header)
CH32H417,RCC_RTCSEL,mask,RCC->BDCTLR,0x40021024,192,#,reference,evt(device-header)
CH32H417,RCC_SERDESPLL_MUL,mask,RCC->PLLCFGR2,0x40021034,983040,#,reference,evt(device-header)
CH32H417,RCC_SW,mask,RCC->CFGR0,0x40021004,3,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_SWS,poll,RCC->CFGR0,0x40021004,12,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_SW_PLL,value,RCC->CFGR0,0x40021004,2,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_SYSPLL_GATE,mask,RCC->PLLCFGR,0x40021008,2147483648,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_SYSPLL_GATE,value,RCC->PLLCFGR,0x40021008,2147483648,#,reference,evt(device-header+system_ch32*.c)
