family,address,#,confidence,basis
CH32H417,0x1ffff704,#,reference,evt(ch32h417_dbgmcu.c)
CH32L103,0x1ffff704,#,reference,evt(ch32l103_dbgmcu.c)+evt(ch32l103.h)
CH32M030,0x1ffff384,#,reference,evt(ch32m030_dbgmcu.c)
CH32V003,0x1ffff7c4,#,reference,evt(ch32v00x_dbgmcu.c)
CH32V006,0x1ffff704,#,reference,evt(ch32v00X_dbgmcu.c)
CH32V103,0x1ffff884,#,reference,evt(ch32v10x_dbgmcu.c)
CH32V205,0x1ffff704,#,reference,evt(ch32v205_dbgmcu.c)+evt(ch32v205.h)
CH32V20x,0x1ffff704,#,reference,evt(ch32v20x_dbgmcu.c)
CH32V307,0x1ffff704,#,reference,evt(ch32v30x_dbgmcu.c)
CH32V407,0x1ffff704,#,reference,evt(ch32v4x7_dbgmcu.c)
CH32X035,0x1ffff704,#,reference,evt(ch32x035_dbgmcu.c)
CH32X315,0x1ffff704,#,reference,evt(ch32x3x5_dbgmcu.c)
