part_number,device_id,id_addr,dont_care_bits,id_source,note,#,confidence,basis
CH32H415REU6,0x4150050D,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32H415REU6.yaml)"
CH32H416RDU6,0x4160050D,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32H416RDU6.yaml)"
CH32H417MEU6,0x4171050D,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32H417MEU6.yaml)"
CH32H417QEU6,0x4170050D,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32H417QEU6.yaml)"
CH32H417WEU6,0x4172050D,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32H417WEU6.yaml)"
CH32L103C8T6,0x10310700,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32L103C8T6.yaml)"
CH32L103F8P6,0x103A0700,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32L103F8P6.yaml)"
CH32L103F8U6,0x103D0700,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32L103F8U6.yaml)"
CH32L103G8R6,0x103B0700,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32L103G8R6.yaml)"
CH32L103K8U6,0x10320700,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32L103K8U6.yaml)"
CH32M007E8R6,0x00730800,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32M007x8x6.yaml)"
CH32M007G8R6,0x00700800,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32M007x8x6.yaml)"
CH32V002A4M6,0x00220600,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32V002x4x6.yaml)"
CH32V002D4U6,0x00230600,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32V002x4x6.yaml)"
CH32V002F4P6,0x00200600,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32V002x4x6.yaml)"
CH32V002F4U6,0x00210600,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32V002x4x6.yaml)"
CH32V002J4M6,0x00240600,0x1ffff704,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32V002x4x6.yaml)"
CH32V003A4M6,0x00320500,0x1ffff7c4,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32V003A4M6.yaml)"
CH32V003A4M6,0x00320500,0x1ffff7c4,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32V003x4x6.yaml)"
CH32V003F4P6,0x00300500,0x1ffff7c4,[7:4],,,#,reference,"ch32-data(673fb0f,data/chips/CH32V003F4P6.yaml)"
