family,variant,dma,channel,request_id,request,request_en,note,#,confidence,basis
CH32H417,,,,1,TIM1_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,2,TIM1_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,3,TIM1_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,4,TIM1_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,5,TIM1_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,6,TIM1_COM,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,7,TIM1_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,8,TIM2_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,9,TIM2_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,10,TIM2_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,11,TIM2_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,12,TIM2_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,13,TIM2_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,14,TIM3_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,15,TIM3_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,16,TIM3_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,17,TIM3_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,18,TIM3_UP,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,19,TIM3_TRIG,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,20,TIM4_CH1,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,21,TIM4_CH2,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,22,TIM4_CH3,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,23,TIM4_CH4,,,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
