series,part_number,kind,document,page_zh,page_en,#,confidence,basis
CH32H415,CH32H415REU6,pinout,CH32H417DS0.PDF,26,33,#,confirmed,CH32H417DS0.PDF:zh(p.26)+CH32H417DS0.PDF:en(p.33)
CH32H416,CH32H416RDU6,pinout,CH32H417DS0.PDF,26,32,#,confirmed,CH32H417DS0.PDF:zh(p.26)+CH32H417DS0.PDF:en(p.32)
CH32H417,CH32H417MEU6,pinout,CH32H417DS0.PDF,25,30,#,confirmed,CH32H417DS0.PDF:zh(p.25)+CH32H417DS0.PDF:en(p.30)
CH32H417,CH32H417QEU6,pinout,CH32H417DS0.PDF,24,29,#,confirmed,CH32H417DS0.PDF:zh(p.24)+CH32H417DS0.PDF:en(p.29)
CH32H417,CH32H417WEU6,pinout,CH32H417DS0.PDF,25,31,#,confirmed,CH32H417DS0.PDF:zh(p.25)+CH32H417DS0.PDF:en(p.31)
CH32L103,CH32L103C8T6,pinout,CH32L103DS0.PDF,13,18,#,confirmed,CH32L103DS0.PDF:zh(p.13)+CH32L103DS0.PDF:en(p.18)
CH32L103,CH32L103F8P6,pinout,CH32L103DS0.PDF,14,19,#,confirmed,CH32L103DS0.PDF:zh(p.14)+CH32L103DS0.PDF:en(p.19)
CH32L103,CH32L103F8U6,pinout,CH32L103DS0.PDF,14,19,#,confirmed,CH32L103DS0.PDF:zh(p.14)+CH32L103DS0.PDF:en(p.19)
CH32L103,CH32L103G8R6,pinout,CH32L103DS0.PDF,14,19,#,confirmed,CH32L103DS0.PDF:zh(p.14)+CH32L103DS0.PDF:en(p.19)
CH32L103,CH32L103K8U6,pinout,CH32L103DS0.PDF,13,18,#,confirmed,CH32L103DS0.PDF:zh(p.13)+CH32L103DS0.PDF:en(p.18)
CH32L103,CH32L103K8U7,pinout,CH32L103DS0.PDF,13,18,#,confirmed,CH32L103DS0.PDF:zh(p.13)+CH32L103DS0.PDF:en(p.18)
