family,program_method,program_commit,erase_method,ctlr_bit_names,undocumented_note,#,confidence,basis
CH32H417,"fast page (FTPG, then STRT)",STRT (bit6),BER + STRT (block only; no per-page fast erase),PAGE_BER32;PAGE_PG;PG_STRT;STRT,,#,conflict,"rm(CH32H417RM.PDF)+evt(ch32h417_flash.c)+!rm-vs-evt:program_method(fast page, direct writes (PAGE_PG, then PG_STRT))+evt-erase"
CH32L103,"fast page, 32-bit buffer writes (FTPG + BUFRST/BUFLOAD, then STRT)",STRT (bit6),FTER + STRT,BER32;BUFLOAD;BUFRST;FTER;FTPG;STRT,,#,confirmed,rm(CH32L103RM.PDF)+evt(ch32l103_flash.c)
CH32M030,"fast page, 32-bit buffer writes (FTPG + BUFRST/BUFLOAD, then STRT)",STRT (bit6),FTER + STRT,BUF_LOAD;BUF_RST;PAGE_ER;PAGE_PG;STRT,"the driver writes 0x40022034 after every erase and program (`= *(uint32_t*)((addr & ~3) ^ 0x00000100)`); the RM does not mention it, and ch32rv reports that CH32V103 needs it for erase and program to have any effect",#,confirmed,rm(CH32M030RM.PDF)+evt(ch32m030_flash.c)
CH32V003,"fast page, 32-bit buffer writes (FTPG + BUFRST/BUFLOAD, then STRT)",STRT (bit6),FTER + STRT,BUF_LOAD;BUF_RST;PAGE_ER;PAGE_PG;STRT,,#,confirmed,rm(CH32V003RM.PDF)+evt(ch32v00x_flash.c)
CH32V006,"fast page, 32-bit buffer writes (FTPG + BUFRST/BUFLOAD, then STRT)",STRT (bit6),FTER + STRT,BER32;BUF_LOAD;BUF_RST;PAGE_ER;PAGE_PG;STRT,,#,confirmed,rm(CH32V00XRM.PDF)+evt(ch32v00X_flash.c)
CH32V103,"fast page, 32-bit buffer writes (FTPG + BUFRST/BUFLOAD, then STRT)",STRT (bit6),PAGE_ER + STRT,BUF_LOAD;BUF_RST;PAGE_ER;PAGE_PG;STRT,"the driver writes 0x40022034 after every erase and program (`= *(uint32_t*)((addr & ~3) ^ 0x00001000)`); the RM does not mention it, and ch32rv reports that CH32V103 needs it for erase and program to have any effect",#,confirmed,rm(CH32xRM.PDF)+evt(ch32v10x_flash.c)+evt-erase
CH32V205,"fast page, 32-bit buffer writes (FTPG + BUFRST/BUFLOAD, then STRT)",STRT (bit6),FTER + STRT,BER64;BUFLOAD;BUFRST;FTER;FTPG;STRT,,#,confirmed,rm(CH32V205RM.PDF)+evt(ch32v205_flash.c)
CH32V20x,"fast page, direct writes (FTPG, then PG_STRT)",PG_STRT (bit21),FTER + STRT,PAGE_BER32;PAGE_ER;PAGE_PG;PG_STRT;STRT,,#,confirmed,rm(CH32FV2x_V3xRM.PDF)+evt(ch32v20x_flash.c)
CH32V307,"fast page, direct writes (FTPG, then PG_STRT)",PG_STRT (bit21),FTER + STRT,PAGE_BER32;PAGE_BER64;PAGE_ER;PAGE_PG;PG_STRT;STRT,,#,confirmed,rm(CH32FV2x_V3xRM.PDF)+evt(ch32v30x_flash.c)
CH32V407,"fast page, direct writes (FTPG, then PG_STRT)",PG_STRT (bit21),BER32 + STRT (block only; no per-page fast erase),PAGE_BER32;PAGE_PG;PG_STRT;STRT,,#,confirmed,rm(CH32V407RM.PDF)+evt(ch32v4x7_flash.c)
CH32X035,"fast page, 32-bit buffer writes (FTPG + BUFRST/BUFLOAD, then STRT)",STRT (bit6),FTER + STRT,BER32;BUFLOAD;BUFRST;FTER;FTPG;STRT,,#,confirmed,rm(CH32X035RM.PDF)+evt(ch32x035_flash.c)
CH32X315,"fast page, direct writes (FTPG, then PG_STRT)",PG_STRT (bit21),BER32 + STRT (block only; no per-page fast erase),PAGE_BER32;PAGE_ER;PAGE_PG;PG_STRT;STRT,,#,confirmed,rm(CH32X315RM.PDF)+evt(ch32x3x5_flash.c)
