device,mcu,mode,role,file,size,sha256,wcfg_version,reported_version,measured_version,set_version,#,confidence,basis
WCH-DAPLink,CH32V203,,iap,WCH-DAPLink_APP_IAP.bin,36292,9f15875eb4ec27b738b33164e5c49b57dd7f88646fa956886a12c567247426da,32,2.12,,v43,#,reference,wch(local-dir(default))
WCH-DAPLink,CH32V203,,offline,FIRMWARE_CH32V203.bin,28100,422c7f2913189e46276b0d08b7dba58017d303b474c877913b76ba1bce2cfa9a,32,2.12,,v43,#,reference,wch(local-dir(default))
WCH-Link,CH549,ARM,iap,WCH-Link_APP_IAP_ARM.bin,27734,3cf143a3b6061e8f6a4ca7ee809fffe007219cad062adca259d245f996662284,31,2.11,,v43,#,reference,wch(local-dir(default))
WCH-Link,CH549,ARM,offline,FIRMWARE_DAP_CH549.bin,24662,b6a789840353b30115f9f6f63b7213efa066d1a78be4d224337e50090fe428a6,31,2.11,,v43,#,reference,wch(local-dir(default))
WCH-Link,CH549,RISC-V,iap,WCH-Link_APP_IAP_RV.bin,45784,eee8b4709ad5080a84ac2da80fbdbea868a64bb280f2ed80943f005c50463cba,32,2.12,2.12,v43,#,reference,wch(local-dir(default))
WCH-Link,CH549,RISC-V,offline,FIRMWARE_CH549.bin,42712,2f198a4512f9c43dfd7381e0e50ca1c5a52e4022abbdd5ccf1e234185fda81d9,32,2.12,2.12,v43,#,reference,wch(local-dir(default))
WCH-LinkE,CH32V305,,iap,WCH-LinkE-APP-IAP.bin,117736,62e2e3a3854dbafdfea4ed73f5a070314f5ff8174c797016ac7f91685ad3de72,42,2.22,2.22,v43,#,reference,wch(local-dir(default))
WCH-LinkE,CH32V305,,offline,FIRMWARE_CH32V305.bin,109544,9c1cd70565ee339409f8bf1f9e466ed0495e0e903fab4fd1044ac55ceb5d6695,42,2.22,2.22,v43,#,reference,wch(local-dir(default))
WCH-LinkW,CH32V208,,iap,WCH-LinkW-APP-IAP.bin,122456,458a037fcc4cde92a7dbca620cd4f45692711a09166249f82298ddf90c426f9b,34,2.14,,v43,#,reference,wch(local-dir(default))
WCH-LinkW,CH32V208,,offline,FIRMWARE_CH32V208.bin,114264,5c59f42e7d14b4681de89e35860a36915a89a099fdafedba236c622d84152bc8,34,2.14,,v43,#,reference,wch(local-dir(default))
