part_number,value,code_bytes,sram_bytes,datasheet_value,option_byte_bits,obr_bits,condition,#,confidence,basis
CH32V203RBT6,00x,131072,65536,1,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V203RBT6,01x,147456,49152,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V203RBT6,1xx,163840,32768,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208CBU6,00x,131072,65536,1,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208CBU6,01x,147456,49152,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208CBU6,1xx,163840,32768,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208GBU6,00x,131072,65536,1,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208GBU6,01x,147456,49152,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208GBU6,1xx,163840,32768,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208RBT6,00x,131072,65536,1,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208RBT6,01x,147456,49152,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208RBT6,1xx,163840,32768,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208WBU6,00x,131072,65536,1,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208WBU6,01x,147456,49152,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V208WBU6,1xx,163840,32768,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT6,00x,196608,131072,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT6,01x,229376,98304,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT6,10x,262144,65536,1,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT6,110,131072,196608,,[7:5],[9:7],products where the penultimate sixth digit of the lot number is not zero.,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT6,111,294912,32768,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT7,00x,196608,131072,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT7,01x,229376,98304,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT7,10x,262144,65536,1,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT7,110,131072,196608,,[7:5],[9:7],products where the penultimate sixth digit of the lot number is not zero.,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303RCT7,111,294912,32768,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303VCT6,00x,196608,131072,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303VCT6,01x,229376,98304,,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303VCT6,10x,262144,65536,1,[7:5],[9:7],,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
CH32V303VCT6,110,131072,196608,,[7:5],[9:7],products where the penultimate sixth digit of the lot number is not zero.,#,conflict,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
