family,region,base_address,kind,condition,#,confidence,basis
CH32H417,HBPERIPH,0x40000000,bus,,#,reference,evt(ch32h417.h)
CH32H417,PERIPH,0x40000000,bus,,#,reference,evt(ch32h417.h)
CH32H417,FLASH,0x00000000,link-origin,V3F,#,reference,evt(Link.ld)
CH32H417,FLASH,0x00010000,link-origin,V5F,#,reference,evt(Link.ld)
CH32H417,RAM,0x200c0300,link-origin,V5F,#,reference,evt(Link.ld)
CH32H417,RAM,0x20110100,link-origin,V3F,#,reference,evt(Link.ld)
CH32H417,FLASH,0x08000000,memory,,#,reference,evt(ch32h417.h)
CH32H417,OB,0x1ffff800,memory,,#,reference,evt(ch32h417.h)
CH32H417,SRAM,0x20100000,memory,,#,reference,evt(ch32h417.h)
CH32H417,ITCM,0x200a0000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DTCM,0x200c0000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM2,0x40000000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM3,0x40000400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM4,0x40000800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM5,0x40000c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM6,0x40001000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM7,0x40001400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,USART6,0x40001800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,USART7,0x40001c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,USART8,0x40002000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,LPTIM1,0x40002400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,RTC,0x40002800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,WWDG,0x40002c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,IWDG,0x40003000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,LPTIM2,0x40003400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SPI2,0x40003800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SPI3,0x40003c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SPI4,0x40004000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,USART2,0x40004400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,USART3,0x40004800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,USART4,0x40004c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,USART5,0x40005000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,I2C1,0x40005400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,I2C2,0x40005800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,I2C3,0x40005c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,CAN1,0x40006400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,CAN2,0x40006800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,PWR,0x40007000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DAC,0x40007400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,CAN3,0x40007800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SWPMI,0x40008400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,AFIO,0x40010000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,EXTI,0x40010400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,GPIOA,0x40010800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,GPIOB,0x40010c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,GPIOC,0x40011000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,GPIOD,0x40011400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,GPIOE,0x40011800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,GPIOF,0x40011c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,ADC1,0x40012400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,ADC2,0x40012800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM1,0x40012c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SPI1,0x40013000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM8,0x40013400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,USART1,0x40013800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM12,0x40013c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,I2C4,0x40014000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,I3C,0x40014400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,LTDC,0x40014800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,LTDC_L1,0x40014834,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,LTDC_L2,0x40014864,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM9,0x40014c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM10,0x40015000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,TIM11,0x40015400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SAI,0x40015800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SAI_Block_A,0x40015804,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SAI_Block_B,0x40015824,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,GPHA,0x40016800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,ECDC,0x40016c00,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DFSDM,0x40017000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_Channel0,0x40017000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_Channel1,0x40017004,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_FLT0,0x40017028,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_FLT1,0x4001702c,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,HSADC,0x40017400,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,OPA,0x40017800,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,SDIO,0x40018000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DMA1,0x40020000,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DMA1_Channel1,0x40020008,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DMA1_Channel2,0x4002001c,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DMA1_Channel3,0x40020030,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DMA1_Channel4,0x40020044,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DMA1_Channel5,0x40020058,peripheral,,#,reference,evt(ch32h417.h)
CH32H417,DMA1_Channel6,0x4002006c,peripheral,,#,reference,evt(ch32h417.h)
