family,byte,bits,field,default,#,confidence,basis
CH32H417,RDPR,,,0xA5,#,confirmed,CH32H417RM.PDF:zh(p.876)+CH32H417RM.PDF:en(p.1039)
CH32H417,USER,7,USARTDLEN,1,#,confirmed,CH32H417RM.PDF:zh(p.876)+CH32H417RM.PDF:en(p.1039)
CH32H417,USER,6,USBFSDLEN,1,#,confirmed,CH32H417RM.PDF:zh(p.876)+CH32H417RM.PDF:en(p.1039)
CH32H417,USER,[5:1],Reserved,0x1F,#,confirmed,CH32H417RM.PDF:zh(p.876)+CH32H417RM.PDF:en(p.1039)
CH32H417,USER,0,IWDGSW,1,#,confirmed,CH32H417RM.PDF:zh(p.876)+CH32H417RM.PDF:en(p.1039)
CH32H417,Data0-Data1,,,X,#,confirmed,CH32H417RM.PDF:zh(p.876)+CH32H417RM.PDF:en(p.1039)
CH32H417,WRPR0-WRPR3,,,0xFFFFFFFF,#,confirmed,CH32H417RM.PDF:zh(p.876)+CH32H417RM.PDF:en(p.1040)
CH32L103,RDPR,,,0xA5,#,confirmed,CH32L103RM.PDF:zh(p.306)+CH32L103RM.PDF:en(p.361)
CH32L103,USER,[7:6],Reserved,X,#,confirmed,CH32L103RM.PDF:zh(p.306)+CH32L103RM.PDF:en(p.361)
CH32L103,USER,5,CFGCANM,1,#,confirmed,CH32L103RM.PDF:zh(p.306)+CH32L103RM.PDF:en(p.361)
CH32L103,USER,[4:3],Reserved,X,#,confirmed,CH32L103RM.PDF:zh(p.306)+CH32L103RM.PDF:en(p.361)
CH32L103,USER,2,STANDYRST,1,#,confirmed,CH32L103RM.PDF:zh(p.306)+CH32L103RM.PDF:en(p.361)
CH32L103,USER,1,STOPRST,1,#,confirmed,CH32L103RM.PDF:zh(p.307)+CH32L103RM.PDF:en(p.361)
CH32L103,USER,0,IWDGSW,1,#,confirmed,CH32L103RM.PDF:zh(p.307)+CH32L103RM.PDF:en(p.361)
CH32L103,Data0-Data1,,,X,#,confirmed,CH32L103RM.PDF:zh(p.307)+CH32L103RM.PDF:en(p.361)
CH32L103,WRPR0-WRPR3,,,FFFFh,#,confirmed,CH32L103RM.PDF:zh(p.307)+CH32L103RM.PDF:en(p.361)
CH32M030,RDPR,,,0xA5,#,confirmed,CH32M030RM.PDF:zh(p.240)+CH32M030RM.PDF:en(p.261)
CH32M030,USER,7,OV_CFG,1,#,confirmed,CH32M030RM.PDF:zh(p.240)+CH32M030RM.PDF:en(p.261)
CH32M030,USER,6,Reserved,x,#,confirmed,CH32M030RM.PDF:zh(p.241)+CH32M030RM.PDF:en(p.261)
CH32M030,USER,5,RST_PIN_SEL,1,#,confirmed,CH32M030RM.PDF:zh(p.241)+CH32M030RM.PDF:en(p.261)
CH32M030,USER,[4:3],RST_MODE,11b,#,conflict,CH32M030RM.PDF:en(p.261)+!CH32M030RM.PDF:zh(field=RST_MODE[1:0])
CH32M030,USER,2,STANDYRST,1,#,confirmed,CH32M030RM.PDF:zh(p.241)+CH32M030RM.PDF:en(p.261)
CH32M030,USER,1,STOPRST,1,#,confirmed,CH32M030RM.PDF:zh(p.241)+CH32M030RM.PDF:en(p.262)
CH32M030,USER,0,Reserved,1,#,confirmed,CH32M030RM.PDF:zh(p.241)+CH32M030RM.PDF:en(p.262)
CH32M030,Data0-Data1,,,0xFFFF,#,confirmed,CH32M030RM.PDF:zh(p.241)+CH32M030RM.PDF:en(p.262)
CH32M030,WRPR0-WRPR3,,,0xFFFFFFFF,#,reference,CH32M030RM.PDF:en(p.262)
CH32M030,WRPR0-WRPR1,,,0xFFFFFFFF,#,reference,CH32M030RM.PDF:zh(p.241)
CH32V003,RDPR,,,0xA5,#,confirmed,CH32V003RM.PDF:zh(p.188)+CH32V003RM.PDF:en(p.182)
CH32V003,USER,[7:6],Reserved,11b,#,confirmed,CH32V003RM.PDF:zh(p.188)+CH32V003RM.PDF:en(p.182)
CH32V003,USER,5,START_MODE,1,#,confirmed,CH32V003RM.PDF:zh(p.188)+CH32V003RM.PDF:en(p.182)
CH32V003,USER,[4:3],RST_MODE,10b,#,confirmed,CH32V003RM.PDF:zh(p.188)+CH32V003RM.PDF:en(p.182)
CH32V003,USER,2,STANDYRST,1,#,confirmed,CH32V003RM.PDF:zh(p.188)+CH32V003RM.PDF:en(p.183)
CH32V003,USER,1,Reserved,1,#,confirmed,CH32V003RM.PDF:zh(p.188)+CH32V003RM.PDF:en(p.183)
CH32V003,USER,0,IWDGSW,1,#,conflict,CH32V003RM.PDF:en(p.183)+!CH32V003RM.PDF:zh(field=IWDG_SW)
CH32V003,Data0-Data1,,,FFFFh,#,confirmed,CH32V003RM.PDF:zh(p.188)+CH32V003RM.PDF:en(p.183)
CH32V003,WRPR0-WRPR3,,,FFFFh,#,confirmed,CH32V003RM.PDF:zh(p.188)+CH32V003RM.PDF:en(p.183)
CH32V006,RDPR,,,0xA5,#,confirmed,CH32V00XRM.PDF:zh(p.222)+CH32V00XRM.PDF:en(p.260)
CH32V006,USER,[7:6],Reserved,11b,#,confirmed,CH32V00XRM.PDF:zh(p.222)+CH32V00XRM.PDF:en(p.260)
CH32V006,USER,5,START_MODE,1,#,confirmed,CH32V00XRM.PDF:zh(p.222)+CH32V00XRM.PDF:en(p.260)
CH32V006,USER,[4:3],RST_MODE[1:0],CH32V007/CH32M007chipresetvalue:11b;Otherchipresetvalue:10b,#,confirmed,CH32V00XRM.PDF:zh(p.222)+CH32V00XRM.PDF:en(p.261)
CH32V006,USER,2,STANDYRST,1,#,confirmed,CH32V00XRM.PDF:zh(p.223)+CH32V00XRM.PDF:en(p.261)
CH32V006,USER,1,Reserved,1,#,confirmed,CH32V00XRM.PDF:zh(p.223)+CH32V00XRM.PDF:en(p.261)
CH32V006,USER,0,IWDG_SW,1,#,confirmed,CH32V00XRM.PDF:zh(p.223)+CH32V00XRM.PDF:en(p.261)
CH32V006,Data0-Data1,,,X,#,confirmed,CH32V00XRM.PDF:zh(p.223)+CH32V00XRM.PDF:en(p.261)
CH32V006,WRPR0-WRPR3,,,0xFFFFFFFF,#,confirmed,CH32V00XRM.PDF:zh(p.223)+CH32V00XRM.PDF:en(p.261)
CH32V103,RDPR,,,0,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.334)
CH32V103,USER,[7:6],Reserved,11b,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.334)
CH32V103,USER,5,PORCTR,1,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.334)
CH32V103,USER,[4:3],Reserved,1,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.334)
CH32V103,USER,2,STANDYRST,1,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.334)
CH32V103,USER,1,STOPRST,1,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.334)
CH32V103,USER,0,IWDGSW,1,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.334)
CH32V103,Data0-Data1,,,FFFFh,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.335)
CH32V103,WRPR0-WRPR3,,,FFFFFFFFh,#,confirmed,CH32xRM.PDF:zh(p.279)+CH32xRM.PDF:en(p.335)
CH32V205,RDPR,,,0xA5,#,confirmed,CH32V205RM.PDF:zh(p.380)+CH32V205RM.PDF:en(p.450)
CH32V205,USER,[7:6],Reserved,X,#,confirmed,CH32V205RM.PDF:zh(p.380)+CH32V205RM.PDF:en(p.450)
CH32V205,USER,5,CFGCANM,1,#,confirmed,CH32V205RM.PDF:zh(p.380)+CH32V205RM.PDF:en(p.450)
CH32V205,USER,[4:3],Reserved,11b,#,confirmed,CH32V205RM.PDF:zh(p.380)+CH32V205RM.PDF:en(p.450)
CH32V205,USER,2,STANDYRST,1,#,confirmed,CH32V205RM.PDF:zh(p.380)+CH32V205RM.PDF:en(p.450)
CH32V205,USER,1,STOPRST,1,#,confirmed,CH32V205RM.PDF:zh(p.381)+CH32V205RM.PDF:en(p.451)
CH32V205,USER,0,IWDG_SW,1,#,conflict,CH32V205RM.PDF:en(p.451)+!CH32V205RM.PDF:zh(field=IWDGSW)
CH32V205,Data0-Data1,,,X,#,confirmed,CH32V205RM.PDF:zh(p.381)+CH32V205RM.PDF:en(p.451)
CH32V205,WRPR0-WRPR3,,,FFFFFFFFh,#,confirmed,CH32V205RM.PDF:zh(p.381)+CH32V205RM.PDF:en(p.451)
CH32V20x,RDPR,,,0xA5,#,confirmed,CH32FV2x_V3xRM.PDF:zh(p.542)+CH32FV2x_V3xRM.PDF:en(p.614)
CH32V20x,USER,[7:5],xx1b,x,#,conflict,CH32FV2x_V3xRM.PDF:en(p.614)+!CH32FV2x_V3xRM.PDF:zh(field=RAM_CODE_MOD)
CH32V20x,USER,[4:3],Reserved,11b,#,confirmed,CH32FV2x_V3xRM.PDF:zh(p.543)+CH32FV2x_V3xRM.PDF:en(p.615)
CH32V20x,USER,2,STANDYRST,1,#,confirmed,CH32FV2x_V3xRM.PDF:zh(p.543)+CH32FV2x_V3xRM.PDF:en(p.615)
CH32V20x,USER,1,STOPRST,1,#,confirmed,CH32FV2x_V3xRM.PDF:zh(p.543)+CH32FV2x_V3xRM.PDF:en(p.615)
