family,address,offset,byte,complement_address,write_unit,#,confidence,basis
CH32H417,0x1FFFF800,0x00,RDPR,0x1FFFF801,half-word (OBPG); complement auto-computed,#,confirmed,"CH32H417RM.PDF:zh(p.876,p.877)+CH32H417RM.PDF:en(p.1039,p.1040)"
CH32H417,0x1FFFF802,0x02,USER,0x1FFFF803,half-word (OBPG); complement auto-computed,#,confirmed,"CH32H417RM.PDF:zh(p.876,p.877)+CH32H417RM.PDF:en(p.1039,p.1040)"
CH32H417,0x1FFFF804,0x04,Data0,0x1FFFF805,half-word (OBPG); complement auto-computed,#,confirmed,"CH32H417RM.PDF:zh(p.876,p.877)+CH32H417RM.PDF:en(p.1039,p.1040)"
CH32H417,0x1FFFF806,0x06,Data1,0x1FFFF807,half-word (OBPG); complement auto-computed,#,confirmed,"CH32H417RM.PDF:zh(p.876,p.877)+CH32H417RM.PDF:en(p.1039,p.1040)"
CH32H417,0x1FFFF808,0x08,WRPR0,0x1FFFF809,half-word (OBPG); complement auto-computed,#,confirmed,"CH32H417RM.PDF:zh(p.876,p.877)+CH32H417RM.PDF:en(p.1039,p.1040)"
CH32H417,0x1FFFF80A,0x0A,WRPR1,0x1FFFF80B,half-word (OBPG); complement auto-computed,#,confirmed,"CH32H417RM.PDF:zh(p.876,p.877)+CH32H417RM.PDF:en(p.1039,p.1040)"
CH32H417,0x1FFFF80C,0x0C,WRPR2,0x1FFFF80D,half-word (OBPG); complement auto-computed,#,confirmed,"CH32H417RM.PDF:zh(p.876,p.877)+CH32H417RM.PDF:en(p.1039,p.1040)"
CH32H417,0x1FFFF80E,0x0E,WRPR3,0x1FFFF80F,half-word (OBPG); complement auto-computed,#,confirmed,"CH32H417RM.PDF:zh(p.876,p.877)+CH32H417RM.PDF:en(p.1039,p.1040)"
CH32L103,0x1FFFF800,0x00,RDPR,0x1FFFF801,"fast page, 32-bit buffer writes (FTPG)",#,confirmed,"CH32L103RM.PDF:zh(p.306,p.307)+CH32L103RM.PDF:en(p.361,p.362)"
CH32L103,0x1FFFF802,0x02,USER,0x1FFFF803,"fast page, 32-bit buffer writes (FTPG)",#,confirmed,"CH32L103RM.PDF:zh(p.306,p.307)+CH32L103RM.PDF:en(p.361,p.362)"
CH32L103,0x1FFFF804,0x04,Data0,0x1FFFF805,"fast page, 32-bit buffer writes (FTPG)",#,confirmed,"CH32L103RM.PDF:zh(p.306,p.307)+CH32L103RM.PDF:en(p.361,p.362)"
CH32L103,0x1FFFF806,0x06,Data1,0x1FFFF807,"fast page, 32-bit buffer writes (FTPG)",#,confirmed,"CH32L103RM.PDF:zh(p.306,p.307)+CH32L103RM.PDF:en(p.361,p.362)"
CH32L103,0x1FFFF808,0x08,WRPR0,0x1FFFF809,"fast page, 32-bit buffer writes (FTPG)",#,confirmed,"CH32L103RM.PDF:zh(p.306,p.307)+CH32L103RM.PDF:en(p.361,p.362)"
