series,signal,condition,pad,#,confidence,basis
CH32V303,DVP_D5,DVPEN=1,PB6,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,DVP_D5,DVPEN=1&USBHSEN=1&RB_UC_RST_SIE=0,PB3,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,FSMC_NADV,FSMCEN=1,PB7,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.142)
CH32V303,FSMC_NADV,FSMCEN=1&USBHSEN=1&RB_UC_RST_SIE=0,PD2,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.142)
CH32V303,I2S3_MCK,SPI3EN=1,PC7,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V303,I2S3_MCK,I2SMOD=1&ETH10M=1,PA8,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V303,I2S3_SD,SPI3EN=1,PB5,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V303,I2S3_SD,I2SMOD=1&ETH10M=1,PA9,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V303,SDIO_D0,SDIOEN=1,PC8,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,SDIO_D0,SDIOEN=1&ETHMACEN=1,PB14,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,SDIO_D1,SDIOEN=1,PC9,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,SDIO_D1,SDIOEN=1&ETHMACEN=1,PB15,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,SPI3_MOSI,SPI3EN=1,PB5,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,SPI3_MOSI,SPI3EN=1&ETHMACEN=1,PA15,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,SPI3_NSS,SPI3EN=1,PA15,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V303,SPI3_NSS,SPI3EN=1&ETHMACEN=1,,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,DVP_D5,DVPEN=1,PB6,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,DVP_D5,DVPEN=1&USBHSEN=1&RB_UC_RST_SIE=0,PB3,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,FSMC_NADV,FSMCEN=1,PB7,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.142)
CH32V305,FSMC_NADV,FSMCEN=1&USBHSEN=1&RB_UC_RST_SIE=0,PD2,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.142)
CH32V305,I2S3_MCK,SPI3EN=1,PC7,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V305,I2S3_MCK,I2SMOD=1&ETH10M=1,PA8,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V305,I2S3_SD,SPI3EN=1,PB5,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V305,I2S3_SD,I2SMOD=1&ETH10M=1,PA9,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V305,SDIO_D0,SDIOEN=1,PC8,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,SDIO_D0,SDIOEN=1&ETHMACEN=1,PB14,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,SDIO_D1,SDIOEN=1,PC9,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,SDIO_D1,SDIOEN=1&ETHMACEN=1,PB15,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,SPI3_MOSI,SPI3EN=1,PB5,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,SPI3_MOSI,SPI3EN=1&ETHMACEN=1,PA15,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,SPI3_NSS,SPI3EN=1,PA15,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V305,SPI3_NSS,SPI3EN=1&ETHMACEN=1,,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,DVP_D5,DVPEN=1,PB6,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,DVP_D5,DVPEN=1&USBHSEN=1&RB_UC_RST_SIE=0,PB3,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,FSMC_NADV,FSMCEN=1,PB7,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.142)
CH32V307,FSMC_NADV,FSMCEN=1&USBHSEN=1&RB_UC_RST_SIE=0,PD2,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.142)
CH32V307,I2S3_MCK,SPI3EN=1,PC7,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V307,I2S3_MCK,I2SMOD=1&ETH10M=1,PA8,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V307,I2S3_SD,SPI3EN=1,PB5,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V307,I2S3_SD,I2SMOD=1&ETH10M=1,PA9,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.131)+rm:en(CH32FV2x_V3xRM.PDF p.144)
CH32V307,SDIO_D0,SDIOEN=1,PC8,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,SDIO_D0,SDIOEN=1&ETHMACEN=1,PB14,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,SDIO_D1,SDIOEN=1,PC9,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,SDIO_D1,SDIOEN=1&ETHMACEN=1,PB15,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,SPI3_MOSI,SPI3EN=1,PB5,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,SPI3_MOSI,SPI3EN=1&ETHMACEN=1,PA15,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,SPI3_NSS,SPI3EN=1,PA15,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V307,SPI3_NSS,SPI3EN=1&ETHMACEN=1,,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V317,DVP_D5,DVPEN=1,PB6,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V317,DVP_D5,DVPEN=1&USBHSEN=1&RB_UC_RST_SIE=0,PB3,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V317,SDIO_D0,SDIOEN=1,PC8,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V317,SDIO_D0,SDIOEN=1&ETHMACEN=1,PB14,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V317,SDIO_D1,SDIOEN=1,PC9,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V317,SDIO_D1,SDIOEN=1&ETHMACEN=1,PB15,#,confirmed,rm:zh(CH32FV2x_V3xRM.PDF p.130)+rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V317,SPI3_NSS,SPI3EN=1,PA15,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V317,SPI3_NSS,SPI3EN=1&ETHMACEN=1,,#,reference,rm:en(CH32FV2x_V3xRM.PDF p.143)
CH32V407,DVP_D10,DVP_RM=1,PB5,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D10,DVPEN=1&DVP_RM=0,PD6,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D10,DVPEN=1&USBHS1EN=1&RB_UD_RST_SIE=0,PD6,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D2,DVP_RM=1,PA8,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D2,DVPEN=1&DVP_RM=0,PC8,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D2,DVPEN=1&USBHS1EN=1&RB_UD_RST_SIE=0,PC8,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D3,DVP_RM=1,PB4,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D3,DVPEN=1&DVP_RM=0,PC9,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D3,DVPEN=1&USBHS1EN=1&RB_UD_RST_SIE=0,PC9,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D5,DVP_RM=1,PB3,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D5,DVPEN=1&DVP_RM=0,PB6,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,DVP_D5,DVPEN=1&USBHS1EN=1&RB_UD_RST_SIE=0,PB3,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.127)
CH32V407,FSMC_D4,FSMCEN=0,PE7,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.126)
CH32V407,FSMC_D4,FSMCEN=1,PC4,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.126)
CH32V407,FSMC_NADV,FSMCEN=1,PB7,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.126)
CH32V407,FSMC_NADV,FSMCEN=1&USBHS2EN=1&RB_UD_RST_SIE=0,PD2,#,confirmed,rm:zh(CH32V407RM.PDF p.114)+rm:en(CH32V407RM.PDF p.126)
CH32V407,SDIO_D0,SDIO_RM=0,PC8,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D0,SDIO_RM=1,PB14,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D0,SDIOEN=1&ETHMACEN=1,PB14,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D1,SDIO_RM=0,PC9,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D1,SDIO_RM=1,PB15,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D1,SDIOEN=1&ETHMACEN=1,PB15,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D6,SDIO_RM=0,PC6,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D6,SDIO_RM=1,PA9,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D6,SDIOEN=1&ETHMACEN=1,PC6,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D7,SDIO_RM=0,PC7,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D7,SDIO_RM=1,PA10,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
CH32V407,SDIO_D7,SDIOEN=1&ETHMACEN=1,PC7,#,confirmed,rm:zh(CH32V407RM.PDF p.115)+rm:en(CH32V407RM.PDF p.127)
