family,block,type,layout,base_address,#,confidence,basis
CH32H417,OB,OB,4e4eca95,0x1ffff800,#,reference,evt(ch32h417.h)
CH32H417,TIM2,TIM,38b76ada,0x40000000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM3,TIM,38b76ada,0x40000400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM4,TIM,38b76ada,0x40000800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM5,TIM,38b76ada,0x40000c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM6,TIM,38b76ada,0x40001000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM7,TIM,38b76ada,0x40001400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,USART6,USART,c15fecac,0x40001800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,USART7,USART,c15fecac,0x40001c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,USART8,USART,c15fecac,0x40002000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,LPTIM1,LPTIM,319e2950,0x40002400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,RTC,RTC,3c4fe669,0x40002800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,WWDG,WWDG,86a61c3e,0x40002c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,IWDG,IWDG,f3da205e,0x40003000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,LPTIM2,LPTIM,319e2950,0x40003400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,SPI2,SPI,25a7e497,0x40003800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,SPI3,SPI,25a7e497,0x40003c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,SPI4,SPI,25a7e497,0x40004000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,USART2,USART,c15fecac,0x40004400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,USART3,USART,c15fecac,0x40004800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,USART4,USART,c15fecac,0x40004c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,USART5,USART,c15fecac,0x40005000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,I2C1,I2C,0aa4d341,0x40005400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,I2C2,I2C,0aa4d341,0x40005800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,I2C3,I2C,0aa4d341,0x40005c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN1,CAN,6bc97e44,0x40006400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN2,CAN,6bc97e44,0x40006800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,PWR,PWR,bf3e6f7c,0x40007000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,DAC,DAC,60d5cc90,0x40007400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN3,CAN,6bc97e44,0x40007800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,SWPMI,SWPMI,f6e81e46,0x40008400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,AFIO,3563d495,0x40010000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,EXTI,EXTI,4b329825,0x40010400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,GPIOA,GPIO,6be53563,0x40010800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,GPIOB,GPIO,6be53563,0x40010c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,GPIOC,GPIO,6be53563,0x40011000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,GPIOD,GPIO,6be53563,0x40011400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,GPIOE,GPIO,6be53563,0x40011800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,GPIOF,GPIO,6be53563,0x40011c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC1,ADC,ae7593bd,0x40012400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TKey1,ADC,ae7593bd,0x40012400,#,reference,evt(ch32h417.h)
CH32H417,ADC2,ADC,ae7593bd,0x40012800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TKey2,ADC,ae7593bd,0x40012800,#,reference,evt(ch32h417.h)
CH32H417,TIM1,TIM,38b76ada,0x40012c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,SPI1,SPI,25a7e497,0x40013000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM8,TIM,38b76ada,0x40013400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,USART1,USART,c15fecac,0x40013800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM12,TIM,38b76ada,0x40013c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,I2C4,I2C,0aa4d341,0x40014000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,I3C,I3C,bba7b246,0x40014400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,LTDC,LTDC,a72bfc50,0x40014800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,LTDC_Layer1,LTDC_Layer,b702c635,0x40014834,#,reference,evt(ch32h417.h)
CH32H417,LTDC_Layer2,LTDC_Layer,b702c635,0x40014864,#,reference,evt(ch32h417.h)
CH32H417,TIM9,TIM,38b76ada,0x40014c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM10,TIM,38b76ada,0x40015000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,TIM11,TIM,38b76ada,0x40015400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,SAI_Block_A,SAI_Block,9aaf51ff,0x40015804,#,reference,evt(ch32h417.h)
CH32H417,SAI_Block_B,SAI_Block,9aaf51ff,0x40015824,#,reference,evt(ch32h417.h)
CH32H417,GPHA,GPHA,d4af3a08,0x40016800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ECDC,ECDC,6f0d00e7,0x40016c00,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,DFSDM_Channel0,DFSDM_Channel,819724eb,0x40017000,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_Channel1,DFSDM_Channel,819724eb,0x40017004,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_FLT0,DFSDM_FLT,69db11fe,0x40017028,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_FLT1,DFSDM_FLT,69db11fe,0x4001702c,#,reference,evt(ch32h417.h)
CH32H417,HSADC,HSADC,7272b5d9,0x40017400,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,OPA,OPA,8c02bdba,0x40017800,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,SDIO,SDIO,ed03b2b3,0x40018000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,DMA1,DMA,7e7bb69a,0x40020000,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,DMA1_Channel1,DMA_Channel,fed9e4b0,0x40020008,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
