family,register,type,member,field,define,kind,of_field,bits,mask,value,description,rm_access,rm_reset,#,confidence,basis
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_0,ADC_SMP_SEL_0,field,,0,0x1,,channel_0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_1,ADC_SMP_SEL_1,field,,1,0x2,,channel_1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_2,ADC_SMP_SEL_2,field,,2,0x4,,channel_2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_3,ADC_SMP_SEL_3,field,,3,0x8,,channel_3,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_4,ADC_SMP_SEL_4,field,,4,0x10,,channel_4,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_5,ADC_SMP_SEL_5,field,,5,0x20,,channel_5,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_6,ADC_SMP_SEL_6,field,,6,0x40,,channel_6,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_7,ADC_SMP_SEL_7,field,,7,0x80,,channel_7,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_8,ADC_SMP_SEL_8,field,,8,0x100,,channel_8,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_9,ADC_SMP_SEL_9,field,,9,0x200,,channel_9,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_10,ADC_SMP_SEL_10,field,,10,0x400,,channel_10,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_11,ADC_SMP_SEL_11,field,,11,0x800,,channel_11,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_12,ADC_SMP_SEL_12,field,,12,0x1000,,channel_12,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_13,ADC_SMP_SEL_13,field,,13,0x2000,,channel_13,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_14,ADC_SMP_SEL_14,field,,14,0x4000,,channel_14,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_15,ADC_SMP_SEL_15,field,,15,0x8000,,channel_15,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_16,ADC_SMP_SEL_16,field,,16,0x10000,,channel_16,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,SMP_SEL_17,ADC_SMP_SEL_17,field,,17,0x20000,,channel_17,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_AUX,ADC,ADC.AUX,TO_DFSDM,ADC_TO_DFSDM,field,,31,0x80000000,,,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_0,ADC_AWDCH_0,value,AWDCH,0,0x1,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_1,ADC_AWDCH_1,value,AWDCH,1,0x2,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_2,ADC_AWDCH_2,value,AWDCH,2,0x4,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_3,ADC_AWDCH_3,value,AWDCH,3,0x8,8,Bit 3,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_4,ADC_AWDCH_4,value,AWDCH,4,0x10,16,Bit 4,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH,ADC_AWDCH,field,,4:0,0x1f,,AWDCH[4:0] bits (Analog watchdog channel select bits),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,EOCIE,ADC_EOCIE,field,,5,0x20,,Interrupt enable for EOC,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDIE,ADC_AWDIE,field,,6,0x40,,Analog Watchdog interrupt enable,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,JEOCIE,ADC_JEOCIE,field,,7,0x80,,Interrupt enable for injected channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,SCAN,ADC_SCAN,field,,8,0x100,,Scan mode,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDSGL,ADC_AWDSGL,field,,9,0x200,,Enable the watchdog on a single channel in scan mode,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,JAUTO,ADC_JAUTO,field,,10,0x400,,Automatic injected group conversion,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DISCEN,ADC_DISCEN,field,,11,0x800,,Discontinuous mode on regular channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,JDISCEN,ADC_JDISCEN,field,,12,0x1000,,Discontinuous mode on injected channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DISCNUM_0,ADC_DISCNUM_0,value,DISCNUM,13,0x2000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DISCNUM_1,ADC_DISCNUM_1,value,DISCNUM,14,0x4000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DISCNUM_2,ADC_DISCNUM_2,value,DISCNUM,15,0x8000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DISCNUM,ADC_DISCNUM,field,,15:13,0xe000,,DISCNUM[2:0] bits (Discontinuous mode channel count),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DUALMOD_0,ADC_DUALMOD_0,value,DUALMOD,16,0x10000,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DUALMOD_1,ADC_DUALMOD_1,value,DUALMOD,17,0x20000,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DUALMOD_2,ADC_DUALMOD_2,value,DUALMOD,18,0x40000,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DUALMOD_3,ADC_DUALMOD_3,value,DUALMOD,19,0x80000,8,Bit 3,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,DUALMOD,ADC_DUALMOD,field,,19:16,0xf0000,,DUALMOD[3:0] bits (Dual mode selection),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,JAWDEN,ADC_JAWDEN,field,,22,0x400000,,Analog watchdog enable on injected channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,AWDEN,ADC_AWDEN,field,,23,0x800000,,Analog watchdog enable on regular channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,TKENABLE,ADC_TKENABLE,field,,24,0x1000000,,TKEY enable,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,TKITUNE,ADC_TKITUNE,field,,25,0x2000000,,,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,BUFEN,ADC_BUFEN,field,,26,0x4000000,,,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,PGA_0,ADC_PGA_0,value,PGA,27,0x8000000,1,,,,#,reference,evt(ch32h417.h)
CH32H417,ADC_CTLR1,ADC,ADC.CTLR1,PGA_1,ADC_PGA_1,value,PGA,28,0x10000000,2,,,,#,reference,evt(ch32h417.h)
