series,selector,value,signal,pad,#,confidence,basis
CH32H416,afio-sdmmc-remap,0,SDMMC_CMD,PD2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D0,PC8,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D1,PC9,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D2,PC10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D3,PC11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D4,PA14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D5,PA15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D6,PC6,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D7,PC7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_SDCK,PC12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_SLVCK,PC12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_STR,PD3,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_STS,PD2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D1,PC9,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D4,PA14,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D5,PA15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D6,PC6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D7,PC7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_STR,PD10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_CMD,PC10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_D2,PD2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_D3,PD3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_SDCK,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_SLVCK,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_STR,PC11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_STS,PC10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_CMD,PC10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_D2,PD2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_D3,PD3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_SDCK,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_SLVCK,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_STR,PC11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
