family,block,register,offset,address,width_bits,write_bits,purpose,note,#,confidence,basis
CH32H417,SysTick0,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32H417,SysTick0,ISR,0x04,0xe000f004,32,32,status,only for SysTick0,#,reference,evt(core_riscv.h)
CH32H417,SysTick0,CNT,0x08,0xe000f008,32,32,counter,,#,reference,evt(core_riscv.h)
CH32H417,SysTick0,CMP,0x10,0xe000f010,32,32,compare,,#,reference,evt(core_riscv.h)
CH32H417,SysTick1,CTLR,0x00,0xe000f080,32,32,control,,#,reference,evt(core_riscv.h)
CH32H417,SysTick1,ISR,0x04,0xe000f084,32,32,status,only for SysTick0,#,reference,evt(core_riscv.h)
CH32H417,SysTick1,CNT,0x08,0xe000f088,32,32,counter,,#,reference,evt(core_riscv.h)
CH32H417,SysTick1,CMP,0x10,0xe000f090,32,32,compare,,#,reference,evt(core_riscv.h)
CH32L103,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32L103,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32L103,SysTick,CNT,0x08,0xe000f008,64,64,counter,,#,reference,evt(core_riscv.h)
CH32L103,SysTick,CMP,0x10,0xe000f010,64,64,compare,,#,reference,evt(core_riscv.h)
CH32M030,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32M030,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32M030,SysTick,CNT,0x08,0xe000f008,32,32,counter,,#,reference,evt(core_riscv.h)
CH32M030,SysTick,CMP,0x10,0xe000f010,32,32,compare,,#,reference,evt(core_riscv.h)
CH32V003,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32V003,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32V003,SysTick,CNT,0x08,0xe000f008,32,32,counter,,#,reference,evt(core_riscv.h)
CH32V003,SysTick,CMP,0x10,0xe000f010,32,32,compare,,#,reference,evt(core_riscv.h)
CH32V006,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32V006,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32V006,SysTick,CNT,0x08,0xe000f008,32,32,counter,,#,reference,evt(core_riscv.h)
CH32V006,SysTick,CMP,0x10,0xe000f010,32,32,compare,,#,reference,evt(core_riscv.h)
CH32V103,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32V103,SysTick,CNTL,0x04,0xe000f004,32,8,counter_low,,#,reference,evt(core_riscv.h)
CH32V103,SysTick,CNTH,0x08,0xe000f008,32,8,counter_high,,#,reference,evt(core_riscv.h)
CH32V103,SysTick,CMPLR,0x0c,0xe000f00c,32,8,compare_low,,#,reference,evt(core_riscv.h)
CH32V103,SysTick,CMPHR,0x10,0xe000f010,32,8,compare_high,,#,reference,evt(core_riscv.h)
CH32V205,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32V205,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32V205,SysTick,CNT,0x08,0xe000f008,32,32,counter,,#,reference,evt(core_riscv.h)
CH32V205,SysTick,CMP,0x10,0xe000f010,32,32,compare,,#,reference,evt(core_riscv.h)
CH32V20x,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32V20x,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32V20x,SysTick,CNT,0x08,0xe000f008,64,64,counter,,#,reference,evt(core_riscv.h)
CH32V20x,SysTick,CMP,0x10,0xe000f010,64,64,compare,,#,reference,evt(core_riscv.h)
CH32V307,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32V307,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32V307,SysTick,CNT,0x08,0xe000f008,64,64,counter,,#,reference,evt(core_riscv.h)
CH32V307,SysTick,CMP,0x10,0xe000f010,64,64,compare,,#,reference,evt(core_riscv.h)
CH32V407,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32V407,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32V407,SysTick,CNT,0x08,0xe000f008,32,32,counter,,#,reference,evt(core_riscv.h)
CH32V407,SysTick,CMP,0x10,0xe000f010,32,32,compare,,#,reference,evt(core_riscv.h)
CH32X035,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32X035,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32X035,SysTick,CNT,0x08,0xe000f008,64,64,counter,,#,reference,evt(core_riscv.h)
CH32X035,SysTick,CMP,0x10,0xe000f010,64,64,compare,,#,reference,evt(core_riscv.h)
CH32X315,SysTick,CTLR,0x00,0xe000f000,32,32,control,,#,reference,evt(core_riscv.h)
CH32X315,SysTick,SR,0x04,0xe000f004,32,32,status,,#,reference,evt(core_riscv.h)
CH32X315,SysTick,CNT,0x08,0xe000f008,32,32,counter,,#,reference,evt(core_riscv.h)
CH32X315,SysTick,CMP,0x10,0xe000f010,32,32,compare,,#,reference,evt(core_riscv.h)
