family,peripheral,rcc_register,rcc_bit,rcc_address,phy_block,phy_register,phy_field,phy_bits,phy_mask,phy_address,#,confidence,basis
CH32H417,USBPD,HBPCENR,19,0x40021018,AFIO,PCFR1,USBPD_CC_HVT,20,0x100000,0x40010000,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32L103,USBPD,HBPCENR,17,0x40021014,AFIO,CR,USBPD_IN_HVT,9,0x200,0x40010018,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32M030,USBPD0,HBPCENR,4,0x40021014,EXTEN,EXTEN_CTLR0,USBPD0_CC_REF,16,0x10000,0x40023800,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,USBPD0,HBPCENR,4,0x40021014,EXTEN,EXTEN_CTLR0,USBPD0_CC_HVT,18,0x40000,0x40023800,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,USBPD0,HBPCENR,4,0x40021014,EXTEN,EXTEN_CTLR0,USBPD0_LVE_T,21:20,0x300000,0x40023800,#,reference,evt(ch32m030.h)
CH32M030,USBPD1,HBPCENR,5,0x40021014,EXTEN,EXTEN_CTLR0,USBPD1_CC_REF,17,0x20000,0x40023800,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,USBPD1,HBPCENR,5,0x40021014,EXTEN,EXTEN_CTLR0,USBPD1_CC_HVT,19,0x80000,0x40023800,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,USBPD1,HBPCENR,5,0x40021014,EXTEN,EXTEN_CTLR0,USBPD1_LVE_T,23:22,0xc00000,0x40023800,#,reference,evt(ch32m030.h)
CH32V205,USBPD,HBPCENR,17,0x40021014,AFIO,CR,USBPD_IN_HVT,9,0x200,0x40010018,#,confirmed,evt(ch32v205.h)+rm(CH32V205RM.PDF)
CH32X035,USBPD,AHBPCENR,17,0x40021014,AFIO,CTLR,USBPD_PHY_V33,8,0x100,0x40010018,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X035,USBPD,AHBPCENR,17,0x40021014,AFIO,CTLR,USBPD_IN_HVT,9,0x200,0x40010018,#,confirmed,evt(ch32x035.h)+rm(CH32X035RM.PDF)
CH32X315,USBPD,HBPCENR,12,0x40021014,AFIO,CR,USBPDHVT,0,0x1,0x40010018,#,confirmed,evt(ch32x3x5.h)+rm(CH32X315RM.PDF)
CH32X315,USBPD,HBPCENR,12,0x40021014,AFIO,CR,USBPDRISE,2:1,0x6,0x40010018,#,confirmed,evt(ch32x3x5.h)+rm(CH32X315RM.PDF)
