part_number,series,family,capability,qualifier,stated,count,value,attribute,#,confidence,basis
CH32H415REU6,CH32H415,CH32H417,adc,with-tkey,count,2,2,adc_tkey_units,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,adc-channel,with-tkey,text,,15+2,adc_tkey_channels,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,can,,count,3,3,can,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,cmp,,count,1,1,cmp,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,dac,,count,2,2,dac_unit,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,dfsdm,,count,1,1,dfsdm,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,dvp,,count,1,1,dvp,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,gpha,,count,1,1,gpha,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,hsadc,,count,1,1,hsadc_units,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,hsadc-channel,,count,4,4,hsadc_channels,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,i2c,,count,4,4,i2c,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,i3c,,count,1,1,i3c,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,ltdc,,count,1,1,ltdc,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,opa,,text,,2 (OPA1/3),opa,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,pioc,,count,1,1,pioc,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,rng,,count,1,1,rng,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,rtc,,marker,,√,rtc,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,sai,,count,1,1,sai,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,sdio,,count,1,1,sdio,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,spi-i2s,,text,,4/2,spi_i2s,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,sram,core1-hs-dtcm,text,,256KB,sram_core_1_hs_dtcm,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,sram,core1-hs-itcm,text,,128KB,sram_core_1_hs_itcm,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,sram,shared,text,,512KB,sram_shared_code_and_data_area,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,swpmi,,count,1,1,swpmi,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,systick,32bit,count,2,2,timer_systick_32_bit,#,confirmed,products:zh+products:en
CH32H415REU6,CH32H415,CH32H417,timer-advanced,16bit,count,2,2,timer_adtm_16_bit,#,confirmed,products:zh+products:en
