table,family,series,part_number,subject,field,kept,dissenting,alternative,#,basis
adc_internal,CH32V20x,,,family=CH32V20x source=temperature_sensor channel=16,,,CH32V203DS0.PDF:en,,#,CH32V203DS0.PDF:zh(p.48)+!CH32V203DS0.PDF:en
adc_internal,CH32V307,,,family=CH32V307 source=temperature_sensor channel=16,,,CH32V20x_30xDS0.PDF:en,,#,CH32V20x_30xDS0.PDF:zh(p.80)+!CH32V20x_30xDS0.PDF:en
clock_symbols,CH32V003,,,family=CH32V003 symbol=FLASH_ACTLR_LATENCY role=mask,,,evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0]),,#,evt(device-header+system_ch32*.c)+!evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0])
clock_symbols,CH32V006,,,family=CH32V006 symbol=FLASH_ACTLR_LATENCY role=mask,,,evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0]),,#,evt(device-header)+!evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0])
clock_symbols,CH32V103,,,family=CH32V103 symbol=FLASH_ACTLR_LATENCY role=mask,,,evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0]),,#,evt(device-header+system_ch32*.c)+!evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0])
clock_symbols,CH32V407,,,family=CH32V407 symbol=RCC_PLLMULL role=mask,,,evt(device-header-comment:RCC_PLLMULL[3:0]),,#,evt(device-header)+!evt(device-header-comment:RCC_PLLMULL[3:0])
clock_symbols,CH32X035,,,family=CH32X035 symbol=FLASH_ACTLR_LATENCY role=mask,,,evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0]),,#,evt(device-header+system_ch32*.c)+!evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0])
flash_geometry,CH32V103,,,family=CH32V103,fast_program_bytes,128,evt-comment:fast_program_bytes,256,#,evt(ch32v10x_flash.c)+rm(CH32xRM.PDF)+!evt-comment:fast_program_bytes(=256)
memory_configs,,,CH32V203RBT6,part_number=CH32V203RBT6 value=00x,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V203RBT6,part_number=CH32V203RBT6 value=01x,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V203RBT6,part_number=CH32V203RBT6 value=1xx,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V208CBU6,part_number=CH32V208CBU6 value=00x,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V208CBU6,part_number=CH32V208CBU6 value=01x,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V208CBU6,part_number=CH32V208CBU6 value=1xx,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V208GBU6,part_number=CH32V208GBU6 value=00x,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V208GBU6,part_number=CH32V208GBU6 value=01x,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V208GBU6,part_number=CH32V208GBU6 value=1xx,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
memory_configs,,,CH32V208RBT6,part_number=CH32V208RBT6 value=00x,,,,,#,rm(CH32FV2x_V3xRM.PDF:en(p.608))+rm(CH32FV2x_V3xRM.PDF:zh(p.537))+evt(CH32V307)+evt(Link.ld)
