family,variant,dma,channel,request_id,peripheral,request,remap,spelled,note,#,confidence,basis
CH32H417,,,,1,TIM1,TIM1_CH1,,TIM1_CH1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,2,TIM1,TIM1_CH2,,TIM1_CH2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,3,TIM1,TIM1_CH3,,TIM1_CH3,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,4,TIM1,TIM1_CH4,,TIM1_CH4,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,5,TIM1,TIM1_UP,,TIM1_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,6,TIM1,TIM1_COM,,TIM1_COM,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,7,TIM1,TIM1_TRIG,,TIM1_TRIG,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,8,TIM2,TIM2_CH1,,TIM2_CH1,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,9,TIM2,TIM2_CH2,,TIM2_CH2,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,10,TIM2,TIM2_CH3,,TIM2_CH3,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,11,TIM2,TIM2_CH4,,TIM2_CH4,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
CH32H417,,,,12,TIM2,TIM2_UP,,TIM2_UP,DMAMUX: any channel can take this request,#,confirmed,rm:zh(CH32H417RM.PDF p.154)+rm:en(CH32H417RM.PDF p.182)
