part_number,series,family,package,pins,flash_bytes,sram_bytes,gpio_count,clock_max,vdd_min,vdd_max,temperature,usart,spi,i2c,can,usb,adc,dac,opa,cmp,timers_advanced,timers_general,rtc,ethernet,#,confidence
CH32H415REU6,CH32H415,CH32H417,QFN60X6,60,983040,917504,54,160/200 MHz,,,-40..85C,8,4/2,4,3,1,15+2,2,2 (OPA1/3),1,2,4,√,,#,reference
CH32H416RDU6,CH32H416,CH32H417,QFN60X6,60,491520,917504,48,160/200 MHz,,,-40..85C,7,3/2,4,3,1,16+2,2,3,1,2,4,√,,#,reference
CH32H417MEU6,CH32H417,CH32H417,QFN88,88,983040,917504,65,160/200 MHz,,,-40..85C,8,4/2,4,3,1,9+2,2,2 (OPA1/3),1,2,4,√,MAC+10/100M PHY,#,reference
CH32H417QEU6,CH32H417,CH32H417,QFN128,128,983040,917504,95,160/200 MHz,,,-40..85C,8,4/2,4,3,1,16+2,2,3,1,2,4,√,MAC+10/100M PHY,#,reference
CH32H417WEU6,CH32H417,CH32H417,QFN68,68,983040,917504,50,160/200 MHz,,,-40..85C,7,3/2,4,3,1,7+2,1 (DAC2),2 (OPA1/3),1,2,4,√,MAC+10/100M PHY,#,reference
CH32L103C8T6,CH32L103,CH32L103,LQFP48,48,65536,20480,37,96 MHz,1.8,3.6,-40..85C,4,2,2,1;√,Host Device,10+3,,1,3,1,2;1,√,,#,confirmed
CH32L103F8P6,CH32L103,CH32L103,TSSOP20,20,65536,20480,16,96 MHz,1.8,3.6,-40..85C,4,SPI1,I2C1,1,Device,9+3,,1,CMP1 CMP2,1,2;1,√,,#,confirmed
CH32L103F8U6,CH32L103,CH32L103,QFN20,20,65536,20480,19,96 MHz,1.8,3.6,-40..85C,4,2,2,1,Host Device,10+3,,1,3,1,2;1,√,,#,confirmed
CH32L103G8R6,CH32L103,CH32L103,QSOP28,28,65536,20480,26,96 MHz,1.8,3.6,-40..85C,4,2,2,1,Host Device,10+3,,1,3,1,2;1,√,,#,confirmed
CH32L103K8U6,CH32L103,CH32L103,QFN32,32,65536,20480,31,96 MHz,1.8,3.6,-40..85C,4,SPI1,I2C1,1;√,Host Device,10+3,,1,3,1,2;1,√,,#,confirmed
CH32L103K8U7,CH32L103,CH32L103,QFN32,32,65536,20480,31,96 MHz,1.8,3.6,-40..105C,4,SPI1,I2C1,1,Host Device,10+3,,1,3,1,2;1,√,,#,confirmed
