family,type,layout,registers,fields,size_bytes,#,confidence,basis
CH32H417,ADC,ae7593bd,22,291,92,#,reference,evt(ch32h417.h)
CH32H417,AFIO,3563d495,15,231,68,#,reference,evt(ch32h417.h)
CH32H417,CAN,6bc97e44,23,3028,912,#,reference,evt(ch32h417.h)
CH32H417,CAN_FIFOMailBox,1d81c4c2,4,0,16,#,reference,evt(ch32h417.h)
CH32H417,CAN_FilterRegister,6de71eee,2,0,8,#,reference,evt(ch32h417.h)
CH32H417,CAN_TxMailBox,b5d4a539,4,0,16,#,reference,evt(ch32h417.h)
CH32H417,CRC,9197c827,3,3,12,#,reference,evt(ch32h417.h)
CH32H417,DAC,60d5cc90,13,48,52,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_Channel,819724eb,7,0,40,#,reference,evt(ch32h417.h)
CH32H417,DFSDM_FLT,69db11fe,15,0,120,#,reference,evt(ch32h417.h)
CH32H417,DMA,7e7bb69a,2,272,8,#,reference,evt(ch32h417.h)
CH32H417,DMAMUX,46b3c95a,4,0,16,#,reference,evt(ch32h417.h)
CH32H417,DMA_Channel,fed9e4b0,5,0,20,#,reference,evt(ch32h417.h)
CH32H417,DVP,f2bbd1cd,15,11,36,#,reference,evt(ch32h417.h)
CH32H417,ECDC,6f0d00e7,25,39,108,#,reference,evt(ch32h417.h)
CH32H417,ETH,858d60f2,56,0,4184,#,reference,evt(ch32h417.h)
CH32H417,EXTI,4b329825,6,156,24,#,reference,evt(ch32h417.h)
CH32H417,FLASH,289ed831,10,65,44,#,reference,evt(ch32h417.h)
CH32H417,FMC_Bank1,1e621401,1,0,32,#,reference,evt(ch32h417.h)
CH32H417,FMC_Bank1E,75ce6129,1,0,28,#,reference,evt(ch32h417.h)
CH32H417,FMC_Bank3,21cbb8a3,5,0,24,#,reference,evt(ch32h417.h)
CH32H417,FMC_Bank5_6,c5e491ea,6,0,68,#,reference,evt(ch32h417.h)
CH32H417,GPHA,d4af3a08,24,116,96,#,reference,evt(ch32h417.h)
CH32H417,GPIO,6be53563,8,197,32,#,reference,evt(ch32h417.h)
CH32H417,HSADC,7272b5d9,7,39,28,#,reference,evt(ch32h417.h)
CH32H417,I2C,0aa4d341,9,68,36,#,reference,evt(ch32h417.h)
CH32H417,I3C,bba7b246,31,201,216,#,reference,evt(ch32h417.h)
CH32H417,IWDG,f3da205e,4,8,16,#,reference,evt(ch32h417.h)
CH32H417,LPTIM,319e2950,8,44,32,#,reference,evt(ch32h417.h)
CH32H417,LTDC,a72bfc50,13,89,52,#,reference,evt(ch32h417.h)
CH32H417,LTDC_Layer,b702c635,12,0,48,#,reference,evt(ch32h417.h)
CH32H417,OB,4e4eca95,8,0,16,#,reference,evt(ch32h417.h)
CH32H417,OPA,8c02bdba,5,36,20,#,reference,evt(ch32h417.h)
CH32H417,PWR,bf3e6f7c,2,32,8,#,reference,evt(ch32h417.h)
CH32H417,QSPI,4c7f7185,13,103,52,#,reference,evt(ch32h417.h)
CH32H417,RCC,adb1f42a,14,728,56,#,reference,evt(ch32h417.h)
CH32H417,RNG,432df57b,3,7,12,#,reference,evt(ch32h417.h)
CH32H417,RTC,3c4fe669,10,17,40,#,reference,evt(ch32h417.h)
CH32H417,SAI_Block,9aaf51ff,7,0,32,#,reference,evt(ch32h417.h)
CH32H417,SDIO,ed03b2b3,19,0,132,#,reference,evt(ch32h417.h)
CH32H417,SDMMC,faa9a91d,20,81,76,#,reference,evt(ch32h417.h)
CH32H417,SDS,99212584,10,0,40,#,reference,evt(ch32h417.h)
CH32H417,SPI,25a7e497,10,54,40,#,reference,evt(ch32h417.h)
CH32H417,SWPMI,f6e81e46,9,45,40,#,reference,evt(ch32h417.h)
CH32H417,TIM,38b76ada,27,222,84,#,reference,evt(ch32h417.h)
CH32H417,USART,c15fecac,8,75,32,#,reference,evt(ch32h417.h)
CH32H417,USBFSD,bad33d32,46,0,92,#,reference,evt(ch32h417.h)
CH32H417,USBFSH,f54fb6a9,18,0,92,#,reference,evt(ch32h417.h)
CH32H417,USBHSD,62bd91e7,99,0,248,#,reference,evt(ch32h417.h)
CH32H417,USBHSH,cf8325ec,22,0,64,#,reference,evt(ch32h417.h)
CH32H417,USBPD,5bcded72,17,0,20,#,reference,evt(ch32h417.h)
CH32H417,USBSSD,6640fa63,47,0,416,#,reference,evt(ch32h417.h)
CH32H417,USBSSH,d4f90e70,39,0,180,#,reference,evt(ch32h417.h)
CH32H417,USBSS_EP_RX,5d5aca76,11,0,16,#,reference,evt(ch32h417.h)
CH32H417,USBSS_EP_TX,7f9a8ccc,11,0,16,#,reference,evt(ch32h417.h)
CH32H417,WWDG,86a61c3e,3,22,12,#,reference,evt(ch32h417.h)
CH32L103,ADC,488f7e38,21,276,84,#,reference,evt(ch32l103.h)
CH32L103,AFIO,1f050197,5,150,32,#,reference,evt(ch32l103.h)
CH32L103,BKP,d16522a5,13,21,56,#,reference,evt(ch32l103.h)
CH32L103,CAN,1e0a80fb,18,148,448,#,reference,evt(ch32l103.h)
CH32L103,CAN_FIFOMailBox,1d81c4c2,4,0,16,#,reference,evt(ch32l103.h)
CH32L103,CAN_TxMailBox,b5d4a539,4,0,16,#,reference,evt(ch32l103.h)
CH32L103,CRC,9197c827,3,3,12,#,reference,evt(ch32l103.h)
CH32L103,DMA,b287840c,2,214,8,#,reference,evt(ch32l103.h)
CH32L103,DMA_Channel,e9e3c3dd,4,0,16,#,reference,evt(ch32l103.h)
CH32L103,EXTEN,e897340c,1,0,4,#,reference,evt(ch32l103.h)
CH32L103,EXTI,5c35eda1,6,138,24,#,reference,evt(ch32l103.h)
CH32L103,FLASH,66f827ae,9,50,40,#,reference,evt(ch32l103.h)
CH32L103,GPIO,4b3fb060,7,197,28,#,reference,evt(ch32l103.h)
CH32L103,I2C,0aa4d341,9,68,36,#,reference,evt(ch32l103.h)
CH32L103,IWDG,f3da205e,4,8,16,#,reference,evt(ch32l103.h)
CH32L103,LPTIM,93245b6d,8,44,32,#,reference,evt(ch32l103.h)
CH32L103,OB,4e4eca95,8,0,16,#,reference,evt(ch32l103.h)
CH32L103,OPA,39ca595c,5,43,24,#,reference,evt(ch32l103.h)
CH32L103,PWR,26d7c53b,2,33,8,#,reference,evt(ch32l103.h)
CH32L103,RCC,57be0beb,11,192,44,#,reference,evt(ch32l103.h)
CH32L103,RTC,26876c35,10,17,40,#,reference,evt(ch32l103.h)
CH32L103,SPI,1671f236,8,34,40,#,reference,evt(ch32l103.h)
CH32L103,TIM,6ea69efb,26,214,80,#,reference,evt(ch32l103.h)
CH32L103,USART,1b3db3f2,7,59,28,#,reference,evt(ch32l103.h)
CH32L103,USBFSD,e9592c2e,56,0,108,#,reference,evt(ch32l103.h)
CH32L103,USBFSH,d86c1afb,38,0,92,#,reference,evt(ch32l103.h)
CH32L103,USBPD,ebc31998,18,0,20,#,reference,evt(ch32l103.h)
CH32L103,WWDG,46e06223,3,32,12,#,reference,evt(ch32l103.h)
CH32M030,ADC,9c3fdb47,29,288,116,#,reference,evt(ch32m030.h)
CH32M030,AFIO,b6f0fdbf,2,97,12,#,reference,evt(ch32m030.h)
CH32M030,DBGMCU,28057375,2,0,8,#,reference,evt(ch32m030.h)
CH32M030,DMA,c541fd6a,2,203,8,#,reference,evt(ch32m030.h)
CH32M030,DMA_Channel,e9e3c3dd,4,0,16,#,reference,evt(ch32m030.h)
CH32M030,EXTEN,fc19ed0c,6,90,16,#,reference,evt(ch32m030.h)
CH32M030,EXTI,aa6f826f,6,120,24,#,reference,evt(ch32m030.h)
CH32M030,FLASH,42373519,10,59,48,#,reference,evt(ch32m030.h)
CH32M030,GPIO,4b3fb060,7,197,28,#,reference,evt(ch32m030.h)
CH32M030,I2C,49cb8e61,8,60,32,#,reference,evt(ch32m030.h)
CH32M030,OB,4e4eca95,8,0,16,#,reference,evt(ch32m030.h)
CH32M030,OPA,902eda09,6,0,24,#,reference,evt(ch32m030.h)
CH32M030,PWR,18d7d39a,3,8,16,#,reference,evt(ch32m030.h)
CH32M030,RCC,0c2759a2,10,127,44,#,reference,evt(ch32m030.h)
CH32M030,SPI,6846d9a8,8,34,40,#,reference,evt(ch32m030.h)
CH32M030,TIM,d30b7f77,27,278,104,#,reference,evt(ch32m030.h)
CH32M030,USART,099ce4d2,7,0,28,#,reference,evt(ch32m030.h)
CH32M030,USBFSD,e9592c2e,56,0,108,#,reference,evt(ch32m030.h)
