family,block,type,register,address,offset,width_bits,count,#,confidence,basis
CH32H417,OB,OB,RDPR,0x1ffff800,0x000,16,1,#,reference,evt(ch32h417.h)
CH32H417,OB,OB,USER,0x1ffff802,0x002,16,1,#,reference,evt(ch32h417.h)
CH32H417,OB,OB,Data0,0x1ffff804,0x004,16,1,#,reference,evt(ch32h417.h)
CH32H417,OB,OB,Data1,0x1ffff806,0x006,16,1,#,reference,evt(ch32h417.h)
CH32H417,OB,OB,WRPR0,0x1ffff808,0x008,16,1,#,reference,evt(ch32h417.h)
CH32H417,OB,OB,WRPR1,0x1ffff80a,0x00a,16,1,#,reference,evt(ch32h417.h)
CH32H417,OB,OB,WRPR2,0x1ffff80c,0x00c,16,1,#,reference,evt(ch32h417.h)
CH32H417,OB,OB,WRPR3,0x1ffff80e,0x00e,16,1,#,reference,evt(ch32h417.h)
CH32H417,TIM2,TIM,CTLR1,0x40000000,0x000,16,1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,TIM2,TIM,CTLR2,0x40000004,0x004,16,1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,TIM2,TIM,SMCFGR,0x40000008,0x008,16,1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,TIM2,TIM,DMAINTENR,0x4000000c,0x00c,16,1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,TIM2,TIM,INTFR,0x40000010,0x010,16,1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,TIM2,TIM,SWEVGR,0x40000014,0x014,16,1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,TIM2,TIM,CHCTLR1,0x40000018,0x018,16,1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,TIM2,TIM,CHCTLR2,0x4000001c,0x01c,16,1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
