family,type,register,offset,width_bits,count,field,define,kind,of_field,bits,mask,value,description,access,reset,#,confidence,basis
CH32H417,ADC,STATR,0x000,32,1,AWD,ADC_AWD,field,,0,0x1,,Analog watchdog flag,RW0,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,STATR,0x000,32,1,EOC,ADC_EOC,field,,1,0x2,,End of conversion,RW0,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,STATR,0x000,32,1,JEOC,ADC_JEOC,field,,2,0x4,,Injected channel end of conversion,RW0,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,STATR,0x000,32,1,JSTRT,ADC_JSTRT,field,,3,0x8,,Injected channel Start flag,RW0,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,STATR,0x000,32,1,STRT,ADC_STRT,field,,4,0x10,,Regular channel Start flag,RW0,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,STATR,0x000,32,1,RSTF,ADC_RSTF,field,,15,0x8000,,Reset flag,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,AWDCH_0,ADC_AWDCH_0,value,AWDCH,0,0x1,1,Bit 0,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,AWDCH_1,ADC_AWDCH_1,value,AWDCH,1,0x2,2,Bit 1,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,AWDCH_2,ADC_AWDCH_2,value,AWDCH,2,0x4,4,Bit 2,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,AWDCH_3,ADC_AWDCH_3,value,AWDCH,3,0x8,8,Bit 3,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,AWDCH_4,ADC_AWDCH_4,value,AWDCH,4,0x10,16,Bit 4,,,#,reference,evt(ch32h417.h)
CH32H417,ADC,CTLR1,0x004,32,1,AWDCH,ADC_AWDCH,field,,4:0,0x1f,,AWDCH[4:0] bits (Analog watchdog channel select bits),RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,EOCIE,ADC_EOCIE,field,,5,0x20,,Interrupt enable for EOC,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,AWDIE,ADC_AWDIE,field,,6,0x40,,Analog Watchdog interrupt enable,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,JEOCIE,ADC_JEOCIE,field,,7,0x80,,Interrupt enable for injected channels,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,SCAN,ADC_SCAN,field,,8,0x100,,Scan mode,RW,0,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)
