series,selector,register,bits,value,peripheral,role,signal,pad,port,gpio,#,confidence,basis
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,CMD,SDMMC_CMD,PD2,D,2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,D0,SDMMC_D0,PC8,C,8,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,D1,SDMMC_D1,PC9,C,9,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,D2,SDMMC_D2,PC10,C,10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,D3,SDMMC_D3,PC11,C,11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,D4,SDMMC_D4,PA14,A,14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,D5,SDMMC_D5,PA15,A,15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,D6,SDMMC_D6,PC6,C,6,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,D7,SDMMC_D7,PC7,C,7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,SDCK,SDMMC_SDCK,PC12,C,12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,SLVCK,SDMMC_SLVCK,PC12,C,12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,STR,SDMMC_STR,PD3,D,3,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,PCFR1,PCFR1:10;PCFR1:11,0,SDMMC,STS,SDMMC_STS,PD2,D,2,#,reference,candidates(datasheet-pin-table-default:en)
