family,source,channel,sample_time,sample_time_unit,sample_clock_mhz,v25_mv,v25_mv_min,v25_mv_max,avg_slope_uv_c,avg_slope_uv_c_min,avg_slope_uv_c_max,vrefint_mv,vrefint_mv_min,vrefint_mv_max,temp_range_c,temp_error_c,#,confidence,basis
CH32H417,temperature_sensor,16,17.1,us,14,1400,1340,1460,4300,3800,4800,,,,-40..85,12,#,confirmed,CH32H417DS0.PDF:zh(p.126)+CH32H417DS0.PDF:en
CH32H417,vrefint,17,,,,,,,,,,1210,1170,1240,,,#,reference,CH32H417DS0.PDF:zh(p.83)
CH32L103,temperature_sensor,16,20,us,14,1450,1400,1500,4200,3700,4700,,,,-40..85,12,#,confirmed,CH32L103DS0.PDF:zh(p.50)+CH32L103DS0.PDF:en
CH32L103,vdd_half,18,,,,,,,,,,,,,,,#,reference,CH32L103DS0.PDF:zh(p.10)
CH32L103,vrefint,17,20,us,,,,,,,,1200,1170,1230,,,#,confirmed,CH32L103DS0.PDF:zh(p.33)+CH32L103DS0.PDF:en
CH32V003,vrefint,8,,,,,,,,,,1200,1170,1230,,,#,confirmed,CH32V003DS0.PDF:zh(p.16)+CH32V003DS0.PDF:en+rm(CH32V003RM.PDF:p.75)
CH32V006,vrefint,8,240,adc_cycles,,,,,,,,1200,1180,1220,,,#,confirmed,CH32V002DS0.PDF:zh(p.19)+CH32V002DS0.PDF:en
CH32V103,temperature_sensor,16,17.1,us,14,1340,1100,1600,4300,3300,5300,,,,,,#,confirmed,CH32V103DS0.PDF:zh(p.32)+CH32V103DS0.PDF:en
CH32V205,temperature_sensor,16,20,us,8,1430,1350,1500,4300,3800,4800,,,,-40..85,12,#,confirmed,CH32V205DS0.PDF:zh(p.56)+CH32V205DS0.PDF:en
CH32V205,vdd_half,18,,,,,,,,,,,,,,,#,reference,CH32V205DS0.PDF:zh(p.10)
CH32V205,vrefint,17,20,us,,,,,,,,1220,1190,1250,,,#,confirmed,CH32V205DS0.PDF:zh(p.41)+CH32V205DS0.PDF:en
CH32V20x,temperature_sensor,16,17.1,us,14,1400,1340,1460,4300,3800,4800,,,,-40..85,12,#,conflict,CH32V203DS0.PDF:zh(p.48)+!CH32V203DS0.PDF:en
CH32V20x,vrefint,17,,,,,,,,,,1200,1170,1230,,,#,reference,CH32V203DS0.PDF:zh(p.34)+rm(CH32FV2x_V3xRM.PDF:p.166)
CH32V307,temperature_sensor,16,17.1,us,14,1400,1340,1460,4300,3800,4800,,,,-40..85,12,#,conflict,CH32V20x_30xDS0.PDF:zh(p.80)+!CH32V20x_30xDS0.PDF:en
CH32V307,vrefint,17,,,,,,,,,,1200,1170,1230,,,#,confirmed,CH32V20x_30xDS0.PDF:zh(p.54)+CH32V20x_30xDS0.PDF:en+rm(CH32FV2x_V3xRM.PDF:p.166)
CH32V407,temperature_sensor,16,17.1,us,14,1400,1340,1460,4300,3800,4800,,,,-40..85,12,#,confirmed,CH32V407DS0.PDF:zh(p.66)+CH32V407DS0.PDF:en
CH32V407,vrefint,17,,,,,,,,,,1200,1170,1230,,,#,confirmed,CH32V407DS0.PDF:zh(p.46)+CH32V407DS0.PDF:en
CH32X035,vrefint,15,11,adc_cycles,,,,,,,,1200,1160,1240,,,#,confirmed,CH32X035DS0.PDF:zh(p.24)+CH32X035DS0.PDF:en+rm(CH32X035RM.PDF:p.85)
CH32X315,vrefint,12,,,,,,,,,,1200,1170,1230,,,#,confirmed,CH32X315DS0.PDF:zh(p.31)+CH32X315DS0.PDF:en
