series,field,divider,value,#,confidence,basis
CH32H415,ADCPRE,10,10240,#,reference,evt(device-header)
CH32H415,ADCPRE,11,12288,#,reference,evt(device-header)
CH32H415,ADCPRE,12,14336,#,reference,evt(device-header)
CH32H415,ADCPRE,13,16384,#,reference,evt(device-header)
CH32H415,ADCPRE,14,18432,#,reference,evt(device-header)
CH32H415,ADCPRE,15,20480,#,reference,evt(device-header)
CH32H415,ADCPRE,16,22528,#,reference,evt(device-header)
CH32H415,ADCPRE,17,24576,#,reference,evt(device-header)
CH32H415,ADCPRE,18,26624,#,reference,evt(device-header)
CH32H415,ADCPRE,19,28672,#,reference,evt(device-header)
CH32H415,ADCPRE,20,30720,#,reference,evt(device-header)
CH32H415,ADCPRE,21,32768,#,reference,evt(device-header)
CH32H415,ADCPRE,22,34816,#,reference,evt(device-header)
CH32H415,ADCPRE,23,36864,#,reference,evt(device-header)
CH32H415,ADCPRE,24,38912,#,reference,evt(device-header)
CH32H415,ADCPRE,25,40960,#,reference,evt(device-header)
CH32H415,ADCPRE,26,43008,#,reference,evt(device-header)
CH32H415,ADCPRE,27,45056,#,reference,evt(device-header)
CH32H415,ADCPRE,28,47104,#,reference,evt(device-header)
CH32H415,ADCPRE,29,49152,#,reference,evt(device-header)
CH32H415,ADCPRE,30,51200,#,reference,evt(device-header)
CH32H415,ADCPRE,31,53248,#,reference,evt(device-header)
CH32H415,ADCPRE,32,55296,#,reference,evt(device-header)
CH32H415,ADCPRE,33,57344,#,reference,evt(device-header)
CH32H415,ADCPRE,34,59392,#,reference,evt(device-header)
CH32H415,ADCPRE,35,61440,#,reference,evt(device-header)
CH32H415,ADCPRE,36,63488,#,reference,evt(device-header)
CH32H415,ADCPRE,5,0,#,reference,evt(device-header)
CH32H415,ADCPRE,6,2048,#,reference,evt(device-header)
CH32H415,ADCPRE,7,4096,#,reference,evt(device-header)
CH32H415,ADCPRE,8,6144,#,reference,evt(device-header)
CH32H415,ADCPRE,9,8192,#,reference,evt(device-header)
CH32H415,HPRE,1,0,#,reference,evt(device-header)
CH32H415,HPRE,128,208,#,reference,evt(device-header)
CH32H415,HPRE,16,176,#,reference,evt(device-header)
CH32H415,HPRE,2,128,#,reference,evt(device-header)
CH32H415,HPRE,256,224,#,reference,evt(device-header)
CH32H415,HPRE,4,144,#,reference,evt(device-header)
CH32H415,HPRE,512,240,#,reference,evt(device-header)
CH32H415,HPRE,64,192,#,reference,evt(device-header)
CH32H415,HPRE,8,160,#,reference,evt(device-header)
CH32H416,ADCPRE,10,10240,#,reference,evt(device-header)
CH32H416,ADCPRE,11,12288,#,reference,evt(device-header)
CH32H416,ADCPRE,12,14336,#,reference,evt(device-header)
CH32H416,ADCPRE,13,16384,#,reference,evt(device-header)
CH32H416,ADCPRE,14,18432,#,reference,evt(device-header)
CH32H416,ADCPRE,15,20480,#,reference,evt(device-header)
CH32H416,ADCPRE,16,22528,#,reference,evt(device-header)
CH32H416,ADCPRE,17,24576,#,reference,evt(device-header)
CH32H416,ADCPRE,18,26624,#,reference,evt(device-header)
CH32H416,ADCPRE,19,28672,#,reference,evt(device-header)
CH32H416,ADCPRE,20,30720,#,reference,evt(device-header)
CH32H416,ADCPRE,21,32768,#,reference,evt(device-header)
CH32H416,ADCPRE,22,34816,#,reference,evt(device-header)
CH32H416,ADCPRE,23,36864,#,reference,evt(device-header)
CH32H416,ADCPRE,24,38912,#,reference,evt(device-header)
CH32H416,ADCPRE,25,40960,#,reference,evt(device-header)
CH32H416,ADCPRE,26,43008,#,reference,evt(device-header)
CH32H416,ADCPRE,27,45056,#,reference,evt(device-header)
CH32H416,ADCPRE,28,47104,#,reference,evt(device-header)
CH32H416,ADCPRE,29,49152,#,reference,evt(device-header)
CH32H416,ADCPRE,30,51200,#,reference,evt(device-header)
CH32H416,ADCPRE,31,53248,#,reference,evt(device-header)
CH32H416,ADCPRE,32,55296,#,reference,evt(device-header)
CH32H416,ADCPRE,33,57344,#,reference,evt(device-header)
CH32H416,ADCPRE,34,59392,#,reference,evt(device-header)
CH32H416,ADCPRE,35,61440,#,reference,evt(device-header)
CH32H416,ADCPRE,36,63488,#,reference,evt(device-header)
CH32H416,ADCPRE,5,0,#,reference,evt(device-header)
CH32H416,ADCPRE,6,2048,#,reference,evt(device-header)
CH32H416,ADCPRE,7,4096,#,reference,evt(device-header)
CH32H416,ADCPRE,8,6144,#,reference,evt(device-header)
CH32H416,ADCPRE,9,8192,#,reference,evt(device-header)
CH32H416,HPRE,1,0,#,reference,evt(device-header)
CH32H416,HPRE,128,208,#,reference,evt(device-header)
CH32H416,HPRE,16,176,#,reference,evt(device-header)
CH32H416,HPRE,2,128,#,reference,evt(device-header)
CH32H416,HPRE,256,224,#,reference,evt(device-header)
CH32H416,HPRE,4,144,#,reference,evt(device-header)
CH32H416,HPRE,512,240,#,reference,evt(device-header)
CH32H416,HPRE,64,192,#,reference,evt(device-header)
CH32H416,HPRE,8,160,#,reference,evt(device-header)
CH32H417,ADCPRE,10,10240,#,reference,evt(device-header)
CH32H417,ADCPRE,11,12288,#,reference,evt(device-header)
CH32H417,ADCPRE,12,14336,#,reference,evt(device-header)
CH32H417,ADCPRE,13,16384,#,reference,evt(device-header)
CH32H417,ADCPRE,14,18432,#,reference,evt(device-header)
CH32H417,ADCPRE,15,20480,#,reference,evt(device-header)
CH32H417,ADCPRE,16,22528,#,reference,evt(device-header)
CH32H417,ADCPRE,17,24576,#,reference,evt(device-header)
CH32H417,ADCPRE,18,26624,#,reference,evt(device-header)
CH32H417,ADCPRE,19,28672,#,reference,evt(device-header)
