family,symbol,register,address,value,#,confidence,basis
CH32H417,RCC_PLLSRC_HSE,RCC->PLLCFGR,0x40021008,32,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLLSRC_HSI,RCC->PLLCFGR,0x40021008,0,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLL_SRC_DIV1,RCC->PLLCFGR,0x40021008,0,#,reference,evt(device-header+system_ch32*.c)
CH32H417,RCC_PLL_SRC_DIV5,RCC->PLLCFGR,0x40021008,1024,#,reference,evt(device-header+system_ch32*.c)
CH32L103,EXTEN_PLL_HSI_PRE,EXTEN->EXTEN_CTR,0x40023800,16,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLMULL12,RCC->CFGR0,0x40021004,2621440,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLMULL6,RCC->CFGR0,0x40021004,1048576,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLMULL7,RCC->CFGR0,0x40021004,1310720,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLMULL9,RCC->CFGR0,0x40021004,1835008,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLSRC_HSE,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLSRC_HSI_Div2,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32L103,RCC_PLLXTPRE_HSE,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_PLLSRC_HSE,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_PLLSRC_HSI,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_PLLSRC_HSE_Mul2,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_PLLSRC_HSI_Mul2,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
