document,kind,status,repositories,version_zh,version_en,page_url_zh,page_url_en,download_url_zh,download_url_en,mirror_url_zh,mirror_url_en
BLEDebug.ZIP,other,excluded,,1.2,,https://www.wch.cn/downloads/BLEDebug_ZIP.html,,https://file.wch.cn/download/file?id=528,,,
BLEToNet_Android.ZIP,other,excluded,,1.1,,https://www.wch.cn/downloads/BLEToNet_Android_ZIP.html,,https://file.wch.cn/download/file?id=534,,,
BLE_OTA_Android.ZIP,other,excluded,,1.2,,https://www.wch.cn/downloads/BLE_OTA_Android_ZIP.html,,https://file.wch.cn/download/file?id=402,,,
BLE_OTA_iOS.ZIP,other,excluded,,1.1,,https://www.wch.cn/downloads/BLE_OTA_iOS_ZIP.html,,https://file.wch.cn/download/file?id=404,,,
CH32F103DS0.PDF,datasheet,excluded,,1.3,1.3,https://www.wch.cn/downloads/CH32F103DS0_PDF.html,https://www.wch-ic.com/downloads/CH32F103DS0_PDF.html,https://file.wch.cn/download/file?id=298,https://www.wch-ic.com/download/file?id=337,,
CH32F103DS1.PDF,datasheet,excluded,,1.0,,https://www.wch.cn/downloads/CH32F103DS1_PDF.html,,https://file.wch.cn/download/file?id=304,,,
CH32F103EVT.ZIP,evt,excluded,,2.5,,https://www.wch.cn/downloads/CH32F103EVT_ZIP.html,,https://file.wch.cn/download/file?id=299,,,
CH32F203DS0.PDF,datasheet,excluded,,2.5,2.5,https://www.wch.cn/downloads/CH32F203DS0_PDF.html,https://www.wch-ic.com/downloads/CH32F203DS0_PDF.html,https://file.wch.cn/download/file?id=354,https://www.wch-ic.com/download/file?id=361,,
CH32F207DS0.PDF,datasheet,excluded,,2.5,2.5,https://www.wch.cn/downloads/CH32F207DS0_PDF.html,https://www.wch-ic.com/downloads/CH32F207DS0_PDF.html,https://file.wch.cn/download/file?id=419,https://www.wch-ic.com/download/file?id=362,,
CH32F208DS0.PDF,datasheet,excluded,,2.6,2.6,https://www.wch.cn/downloads/CH32F208DS0_PDF.html,https://www.wch-ic.com/downloads/CH32F208DS0_PDF.html,https://file.wch.cn/download/file?id=420,https://www.wch-ic.com/download/file?id=360,,
CH32F20xDS0.PDF,datasheet,excluded,,,2.3,,https://www.wch-ic.com/downloads/CH32F20xDS0_PDF.html,,https://www.wch-ic.com/download/file?id=323,,
CH32F20xEVT.ZIP,evt,excluded,,2.6,,https://www.wch.cn/downloads/CH32F20xEVT_ZIP.html,,https://file.wch.cn/download/file?id=364,,,
CH32FV2x_V3xRM.PDF,reference-manual,assigned,CH32V20x;CH32V307,2.5,2.5,https://www.wch.cn/downloads/CH32FV2x_V3xRM_PDF.html,https://www.wch-ic.com/downloads/CH32FV2x_V3xRM_PDF.html,https://file.wch.cn/download/file?id=371,https://www.wch-ic.com/download/file?id=324,https://ch32-riscv-ug.github.io/CH32V20x/datasheet_zh/CH32FV2x_V3xRM.PDF,https://ch32-riscv-ug.github.io/CH32V20x/datasheet_en/CH32FV2x_V3xRM.PDF
CH32H417DS0.PDF,datasheet,assigned,CH32H417,1.8,1.8,https://www.wch.cn/downloads/CH32H417DS0_PDF.html,https://www.wch-ic.com/downloads/CH32H417DS0_PDF.html,https://file.wch.cn/download/file?id=529,https://www.wch-ic.com/download/file?id=423,https://ch32-riscv-ug.github.io/CH32H417/datasheet_zh/CH32H417DS0.PDF,https://ch32-riscv-ug.github.io/CH32H417/datasheet_en/CH32H417DS0.PDF
CH32H417EVT.ZIP,evt,assigned,CH32H417,1.5,1.3,https://www.wch.cn/downloads/CH32H417EVT_ZIP.html,https://www.wch-ic.com/downloads/CH32H417EVT_ZIP.html,https://file.wch.cn/download/file?id=530,https://www.wch-ic.com/download/file?id=433,https://github.com/ch32-riscv-ug/CH32H417/tree/main/EVT,https://github.com/ch32-riscv-ug/CH32H417/tree/main/EVT
CH32H417RM.PDF,reference-manual,assigned,CH32H417,1.7,1.7,https://www.wch.cn/downloads/CH32H417RM_PDF.html,https://www.wch-ic.com/downloads/CH32H417RM_PDF.html,https://file.wch.cn/download/file?id=532,https://www.wch-ic.com/download/file?id=435,https://ch32-riscv-ug.github.io/CH32H417/datasheet_zh/CH32H417RM.PDF,https://ch32-riscv-ug.github.io/CH32H417/datasheet_en/CH32H417RM.PDF
CH32L103DS0.PDF,datasheet,assigned,CH32L103,2.1,2.1,https://www.wch.cn/downloads/CH32L103DS0_PDF.html,https://www.wch-ic.com/downloads/CH32L103DS0_PDF.html,https://file.wch.cn/download/file?id=452,https://www.wch-ic.com/download/file?id=386,https://ch32-riscv-ug.github.io/CH32L103/datasheet_zh/CH32L103DS0.PDF,https://ch32-riscv-ug.github.io/CH32L103/datasheet_en/CH32L103DS0.PDF
CH32L103EVT.ZIP,evt,assigned,CH32L103,1.9,,https://www.wch.cn/downloads/CH32L103EVT_ZIP.html,,https://file.wch.cn/download/file?id=455,,https://github.com/ch32-riscv-ug/CH32L103/tree/main/EVT,
CH32L103RM.PDF,reference-manual,assigned,CH32L103,2.2,2.2,https://www.wch.cn/downloads/CH32L103RM_PDF.html,https://www.wch-ic.com/downloads/CH32L103RM_PDF.html,https://file.wch.cn/download/file?id=453,https://www.wch-ic.com/download/file?id=387,https://ch32-riscv-ug.github.io/CH32L103/datasheet_zh/CH32L103RM.PDF,https://ch32-riscv-ug.github.io/CH32L103/datasheet_en/CH32L103RM.PDF
CH32M030DS0.PDF,datasheet,assigned,CH32M030,1.3,1.2,https://www.wch.cn/downloads/CH32M030DS0_PDF.html,https://www.wch-ic.com/downloads/CH32M030DS0_PDF.html,https://file.wch.cn/download/file?id=506,https://www.wch-ic.com/download/file?id=408,https://ch32-riscv-ug.github.io/CH32M030/datasheet_zh/CH32M030DS0.PDF,https://ch32-riscv-ug.github.io/CH32M030/datasheet_en/CH32M030DS0.PDF
CH32M030DS2.PDF,datasheet,assigned,CH32M030,1.2,,https://www.wch.cn/downloads/CH32M030DS2_PDF.html,,https://file.wch.cn/download/file?id=543,,https://ch32-riscv-ug.github.io/CH32M030/datasheet_zh/CH32M030DS2.PDF,
CH32M030EVT.ZIP,evt,assigned,CH32M030,1.5,,https://www.wch.cn/downloads/CH32M030EVT_ZIP.html,,https://file.wch.cn/download/file?id=505,,https://github.com/ch32-riscv-ug/CH32M030/tree/main/EVT,
CH32M030RM.PDF,reference-manual,assigned,CH32M030,1.2,1.2,https://www.wch.cn/downloads/CH32M030RM_PDF.html,https://www.wch-ic.com/downloads/CH32M030RM_PDF.html,https://file.wch.cn/download/file?id=507,https://www.wch-ic.com/download/file?id=420,https://ch32-riscv-ug.github.io/CH32M030/datasheet_zh/CH32M030RM.PDF,https://ch32-riscv-ug.github.io/CH32M030/datasheet_en/CH32M030RM.PDF
CH32V002DS0.PDF,datasheet,assigned,CH32V006,1.7,1.7,https://www.wch.cn/downloads/CH32V002DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V002DS0_PDF.html,https://file.wch.cn/download/file?id=473,https://www.wch-ic.com/download/file?id=397,https://ch32-riscv-ug.github.io/CH32V006/datasheet_zh/CH32V002DS0.PDF,https://ch32-riscv-ug.github.io/CH32V006/datasheet_en/CH32V002DS0.PDF
CH32V003DS0.PDF,datasheet,assigned,CH32V003,1.8,1.8,https://www.wch.cn/downloads/CH32V003DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V003DS0_PDF.html,https://file.wch.cn/download/file?id=408,https://www.wch-ic.com/download/file?id=359,https://ch32-riscv-ug.github.io/CH32V003/datasheet_zh/CH32V003DS0.PDF,https://ch32-riscv-ug.github.io/CH32V003/datasheet_en/CH32V003DS0.PDF
CH32V003EVT.ZIP,evt,assigned,CH32V003,2.1,,https://www.wch.cn/downloads/CH32V003EVT_ZIP.html,,https://file.wch.cn/download/file?id=409,,https://github.com/ch32-riscv-ug/CH32V003/tree/main/EVT,
CH32V003RM.PDF,reference-manual,assigned,CH32V003,1.9,1.9,https://www.wch.cn/downloads/CH32V003RM_PDF.html,https://www.wch-ic.com/downloads/CH32V003RM_PDF.html,https://file.wch.cn/download/file?id=411,https://www.wch-ic.com/download/file?id=358,https://ch32-riscv-ug.github.io/CH32V003/datasheet_zh/CH32V003RM.PDF,https://ch32-riscv-ug.github.io/CH32V003/datasheet_en/CH32V003RM.PDF
CH32V004DS0.PDF,datasheet,assigned,CH32V006,1.9,1.9,https://www.wch.cn/downloads/CH32V004DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V004DS0_PDF.html,https://file.wch.cn/download/file?id=474,https://www.wch-ic.com/download/file?id=398,https://ch32-riscv-ug.github.io/CH32V006/datasheet_zh/CH32V004DS0.PDF,https://ch32-riscv-ug.github.io/CH32V006/datasheet_en/CH32V004DS0.PDF
CH32V006DS0.PDF,datasheet,assigned,CH32V006,2.0,2.0,https://www.wch.cn/downloads/CH32V006DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V006DS0_PDF.html,https://file.wch.cn/download/file?id=475,https://www.wch-ic.com/download/file?id=396,https://ch32-riscv-ug.github.io/CH32V006/datasheet_zh/CH32V006DS0.PDF,https://ch32-riscv-ug.github.io/CH32V006/datasheet_en/CH32V006DS0.PDF
CH32V006DS2.PDF,datasheet,assigned,CH32V006,1.1,,https://www.wch.cn/downloads/CH32V006DS2_PDF.html,,https://file.wch.cn/download/file?id=540,,https://ch32-riscv-ug.github.io/CH32V006/datasheet_zh/CH32V006DS2.PDF,
CH32V006EVT.ZIP,evt,assigned,CH32V006,1.4,,https://www.wch.cn/downloads/CH32V006EVT_ZIP.html,,https://file.wch.cn/download/file?id=477,,https://github.com/ch32-riscv-ug/CH32V006/tree/main/EVT,
CH32V007DS0.PDF,datasheet,assigned,CH32V006,1.8,1.8,https://www.wch.cn/downloads/CH32V007DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V007DS0_PDF.html,https://file.wch.cn/download/file?id=476,https://www.wch-ic.com/download/file?id=405,https://ch32-riscv-ug.github.io/CH32V006/datasheet_zh/CH32V007DS0.PDF,https://ch32-riscv-ug.github.io/CH32V006/datasheet_en/CH32V007DS0.PDF
CH32V00XRM.PDF,reference-manual,assigned,CH32V006,1.5,1.5,https://www.wch.cn/downloads/CH32V00XRM_PDF.html,https://www.wch-ic.com/downloads/CH32V00XRM_PDF.html,https://file.wch.cn/download/file?id=472,https://www.wch-ic.com/download/file?id=399,https://ch32-riscv-ug.github.io/CH32V006/datasheet_zh/CH32V00XRM.PDF,https://ch32-riscv-ug.github.io/CH32V006/datasheet_en/CH32V00XRM.PDF
CH32V103DS0.PDF,datasheet,assigned,CH32V103,1.2,1.2,https://www.wch.cn/downloads/CH32V103DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V103DS0_PDF.html,https://file.wch.cn/download/file?id=311,https://www.wch-ic.com/download/file?id=312,https://ch32-riscv-ug.github.io/CH32V103/datasheet_zh/CH32V103DS0.PDF,https://ch32-riscv-ug.github.io/CH32V103/datasheet_en/CH32V103DS0.PDF
CH32V103EVT.ZIP,evt,assigned,CH32V103,2.7,,https://www.wch.cn/downloads/CH32V103EVT_ZIP.html,,https://file.wch.cn/download/file?id=326,,https://github.com/ch32-riscv-ug/CH32V103/tree/main/EVT,
CH32V203DS0.PDF,datasheet,assigned,CH32V20x,3.0,3.0,https://www.wch.cn/downloads/CH32V203DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V203DS0_PDF.html,https://file.wch.cn/download/file?id=414,https://www.wch-ic.com/download/file?id=354,https://ch32-riscv-ug.github.io/CH32V20x/datasheet_zh/CH32V203DS0.PDF,https://ch32-riscv-ug.github.io/CH32V20x/datasheet_en/CH32V203DS0.PDF
CH32V205DS0.PDF,datasheet,assigned,CH32V205,1.3,1.3,https://www.wch.cn/downloads/CH32V205DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V205DS0_PDF.html,https://file.wch.cn/download/file?id=531,https://www.wch-ic.com/download/file?id=431,https://ch32-riscv-ug.github.io/CH32V205/datasheet_zh/CH32V205DS0.PDF,https://ch32-riscv-ug.github.io/CH32V205/datasheet_en/CH32V205DS0.PDF
CH32V205EVT.ZIP,evt,assigned,CH32V205,1.1,,https://www.wch.cn/downloads/CH32V205EVT_ZIP.html,,https://file.wch.cn/download/file?id=538,,https://github.com/ch32-riscv-ug/CH32V205/tree/main/EVT,
CH32V205RM.PDF,reference-manual,assigned,CH32V205,1.2,1.2,https://www.wch.cn/downloads/CH32V205RM_PDF.html,https://www.wch-ic.com/downloads/CH32V205RM_PDF.html,https://file.wch.cn/download/file?id=537,https://www.wch-ic.com/download/file?id=440,https://ch32-riscv-ug.github.io/CH32V205/datasheet_zh/CH32V205RM.PDF,https://ch32-riscv-ug.github.io/CH32V205/datasheet_en/CH32V205RM.PDF
CH32V208DS0.PDF,datasheet,assigned,CH32V20x,2.7,2.7,https://www.wch.cn/downloads/CH32V208DS0_PDF.html,https://www.wch-ic.com/downloads/CH32V208DS0_PDF.html,https://file.wch.cn/download/file?id=415,https://www.wch-ic.com/download/file?id=355,https://ch32-riscv-ug.github.io/CH32V20x/datasheet_zh/CH32V208DS0.PDF,https://ch32-riscv-ug.github.io/CH32V20x/datasheet_en/CH32V208DS0.PDF
CH32V20xEVT.ZIP,evt,assigned,CH32V20x,2.4,,https://www.wch.cn/downloads/CH32V20xEVT_ZIP.html,,https://file.wch.cn/download/file?id=385,,https://github.com/ch32-riscv-ug/CH32V20x/tree/main/EVT,
CH32V20x_30xDS0.PDF,datasheet,assigned,CH32V307,3.5,3.5,https://www.wch.cn/downloads/CH32V20x_30xDS0_PDF.html,https://www.wch-ic.com/downloads/CH32V20x_30xDS0_PDF.html,https://file.wch.cn/download/file?id=355,https://www.wch-ic.com/download/file?id=325,https://ch32-riscv-ug.github.io/CH32V307/datasheet_zh/CH32V20x_30xDS0.PDF,https://ch32-riscv-ug.github.io/CH32V307/datasheet_en/CH32V20x_30xDS0.PDF
