id,series,condition,description,#,description_confidence,description_basis
h41x-clock-tree-lot5,CH32H415;CH32H416;CH32H417,5th digit of lot number = 0,The blue-marked sections of the clock tree diagram in the datasheet are not applicable (they only apply to chips whose 5th lot-number digit is greater than 0).,#,confirmed,CH32H417DS0.PDF:zh(p.9)+CH32H417DS0.PDF:en(p.10)
h41x-lot5-features,CH32H415;CH32H416;CH32H417,5th digit of lot number = 0,"GPHA, Ethernet, SerDes and CAN functions are not provided.",#,confirmed,CH32H417DS0.PDF:zh(p.4)+CH32H417DS0.PDF:en(p.4)
l103-standby-pulldown,CH32L103,5th-to-last digit of lot number = 1 (CH32L103K8U/F8U6),CH32L103K8U and CH32L103F8U6 have a built-in 5.1kΩ pull-down resistor that is forced on in standby mode; standby current increases by about 5uA and the pull-down configuration note in the datasheet is not needed.,#,confirmed,CH32L103DS0.PDF:zh(p.38)+CH32L103DS0.PDF:en(p.45)
v203rb-clock-tree-lot5,CH32V203,5th-to-last digit of lot number = 0 (CH32V203RB),The blue-dashed sections of the clock tree (Figure 2-4) are not applicable to these CH32V203RB lots (they only apply when the 5th-to-last lot digit is greater than 0).,#,confirmed,CH32V203DS0.PDF:zh(p.8)+CH32V203DS0.PDF:en(p.12)
v203rb-hse-32m,CH32V203,CH32V203RB (all lots),CH32V203RB uses a 32MHz external crystal or clock (HSE); no load capacitors are needed with an external crystal as they are built in.,#,confirmed,CH32V203DS0.PDF:zh(p.8)+CH32V203DS0.PDF:en(p.12)
v205-can-usbpd,CH32V205,5th digit of lot number = 0,"CAN and USBPD functions are not provided (applies to the products listed in CH32V205DS0, including CH32V203CCT6).",#,confirmed,CH32V205DS0.PDF:zh(p.2)+CH32V205DS0.PDF:en(p.3)
v30x-dvp-d5-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 1, or 6th-to-last digit != 0","DVP_D5 is mapped to PB6 by default. For matching lots, the default mapping automatically changes to PB3 when bit[13]DVPEN=1 and bit[11]USBHSEN=1 in register RCC_AHBPCENR and bit[2]RB_UC_RST_SIE=0 in R8_USB_CTRL.",#,confirmed,"CH32V20x_30xDS0.PDF:zh(p.35,48)+CH32V20x_30xDS0.PDF:en(p.41,55)"
v30x-flash-sram-128k-192k,CH32V303;CH32V305;CH32V307,6th-to-last digit of lot number != 0 (256K FLASH + 64K SRAM products),"In addition to the user-selectable (192K+128K), (224K+96K), (256K+64K) and (288K+32K) FLASH/SRAM combinations, these lots add a (128K FLASH + 192K SRAM) combination.",#,confirmed,CH32V20x_30xDS0.PDF:zh(p.5)+CH32V20x_30xDS0.PDF:en(p.7)
v30x-fsmc-nadv-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 1, or 6th-to-last digit != 0","FSMC_NADV is mapped to PB7 by default. For matching lots, the default mapping automatically changes to PD2 when bit[8]FSMCEN=1 and bit[11]USBHSEN=1 in register RCC_AHBPCENR and bit[2]RB_UC_RST_SIE=0 in R8_USB_CTRL.",#,confirmed,"CH32V20x_30xDS0.PDF:zh(p.35,48)+CH32V20x_30xDS0.PDF:en(p.41,55)"
v30x-i2s3-mck-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 2, or 6th-to-last digit != 0","I2S3_MCK is mapped to PC7 by default. For matching lots, the default mapping automatically changes to PA8 if 10M Ethernet and I2S3 are used at the same time.",#,confirmed,"CH32V20x_30xDS0.PDF:zh(p.35,49)+CH32V20x_30xDS0.PDF:en(p.41,55)"
v30x-i2s3-sd-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 2, or 6th-to-last digit != 0","I2S3_SD is mapped to PB5 by default. For matching lots, the default mapping automatically changes to PA9 if 10M Ethernet and I2S3 are used at the same time.",#,confirmed,"CH32V20x_30xDS0.PDF:zh(p.35,48)+CH32V20x_30xDS0.PDF:en(p.41,55)"
v30x-sdio-d0d1-default-map,CH32V303;CH32V305;CH32V307,"5th-to-last digit of lot number > 1, or 6th-to-last digit != 0","SDIO_D0 and SDIO_D1 are mapped to PC8 and PC9 by default. For matching lots (except CH32V305GBU6), the default mapping automatically changes to PB14 and PB15 when bit[14]ETHMACEN=1 and bit[10]SDIOEN=1 in register RCC_AHBPCENR.",#,confirmed,"CH32V20x_30xDS0.PDF:zh(p.34,48)+CH32V20x_30xDS0.PDF:en(p.41,55)"
