family,group,example,description,#,confidence,basis,source
CH32H417,ADC,ADC_DMA,ADC DMA sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,AnalogWatchdog,analog watchdog routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,Auto_Injection,automatic injection mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,Discontinuous_mode,discontinuous mode routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_AlternateTrigger,dual ADC alternate trigger sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_Combined_RegInjectionSimul,dual ADC combined regular + injection + simultaneous sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_FastInterleaved,dual ADC fast interleaved sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_InjectionSimul,dual ADC injection simultaneous sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_RegSimul,dual ADC regular simultaneous sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualADC_SlowInterleaved,dual ADC slow interleaved sampling routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,DualDAC_Triangle,Dual DAC output triangular wave routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,Internal_Temperature,Internal temperature sensor routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,ADC,TIM_Trigger,TIM trigger ADC conversion routine,#,confirmed,evt:tree+evt:list-en,CH32H417_List_EN.txt
CH32H417,ADC,TIM_trigger,,#,confirmed,evt:tree+evt:list-zh,CH32H417_List_EN.txt
CH32H417,APPLICATION,FATFS_eMMC,Eight-line operation EMMC card porting file read-write system FATFS,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,APPLICATION,LTDC_LVGL,use LTDC driver to display some animations on the LCD,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,APPLICATION,SoftUART,I/O port simulation serial port routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CAN,Networking,"CAN routine: normal mode, standard frame and expanded frame data transceiver",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CAN,TestMode,"test mode, including silent mode, loopback mode and loopback silent mode",#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CAN,Time-triggered,time triggered communication mode,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,CoreMark,CoreMark routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,FPU,FPU hardware floating point operation routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM/HSEM_CoreNotification,HSEM CoreNotication routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM/HSEM_CoreSync,core synchronization routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM/HSEM_DataSharing,HSEM global variable Sharing routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,HSEM/HSEM_ResourceSharing,HSEM ResourceSharing routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,ICache,ICache routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,INT,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,INT/Interrupt_Permission,Custom interrupt permission routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,INT/Interrupt_VTF,VTF interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,IPC,IPC routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,OS,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,OS/FreeRTOS,FreeRTOS routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,PFIC,,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,PFIC/Interrupt_Nest,interrupt nested routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,PFIC/Interrupt_VTF,VTF IRQ interrupt routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,PMP,Physical memory protection routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CPU,SYSTICK_Interrupt,Systick timer routine,#,confirmed,evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,CRC,CRC_Calculation,CRC routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DAC_DMA,DAC DMA conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DAC_Exit_9_Trig,external trigger DAC conversion routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DAC_Noise_Generation,noise waveform generation routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DAC_Normal_OUT,normal output routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DualDAC_SineWave,dual DAC output sine wave routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
CH32H417,DAC,DualDAC_Triangle,dual DAC output triangular wave routine,#,confirmed,evt:tree+evt:list-en+evt:list-zh,CH32H417_List_EN.txt
