family,macro,part_number,default,#,confidence,basis
CH32V006,CH32V002,CH32V002A4M6,,#,reference,evt(device-header-comment)
CH32V006,CH32V002,CH32V002D4U6,,#,reference,evt(device-header-comment)
CH32V006,CH32V002,CH32V002F4P6,,#,reference,evt(device-header-comment)
CH32V006,CH32V002,CH32V002F4U6,,#,reference,evt(device-header-comment)
CH32V006,CH32V002,CH32V002J4M6,,#,reference,evt(device-header-comment)
CH32V006,CH32V004,CH32V004F6P1,,#,reference,evt(device-header-comment)
CH32V006,CH32V004,CH32V004F6U1,,#,reference,evt(device-header-comment)
CH32V006,CH32V005,CH32V005D6U6,,#,reference,evt(device-header-comment)
CH32V006,CH32V005,CH32V005E6R6,,#,reference,evt(device-header-comment)
CH32V006,CH32V005,CH32V005F6P6,,#,reference,evt(device-header-comment)
CH32V006,CH32V005,CH32V005F6U6,,#,reference,evt(device-header-comment)
CH32V006,CH32V006,CH32V006D8U7,yes,#,reference,evt(device-header-comment)
CH32V006,CH32V006,CH32V006E8R6,yes,#,reference,evt(device-header-comment)
CH32V006,CH32V006,CH32V006E8R7,yes,#,reference,evt(device-header-comment)
CH32V006,CH32V006,CH32V006F4U6,yes,#,reference,evt(device-header-comment)
CH32V006,CH32V006,CH32V006F8P7,yes,#,reference,evt(device-header-comment)
CH32V006,CH32V006,CH32V006F8U7,yes,#,reference,evt(device-header-comment)
CH32V006,CH32V006,CH32V006K8U7,yes,#,reference,evt(device-header-comment)
CH32V006,CH32V007_M007,CH32M007E8R6,,#,reference,evt(device-header-comment)
CH32V006,CH32V007_M007,CH32M007E8U7,,#,reference,evt(device-header-comment)
CH32V006,CH32V007_M007,CH32M007G8R6,,#,reference,evt(device-header-comment)
CH32V006,CH32V007_M007,CH32M007K8U7,,#,reference,evt(device-header-comment)
CH32V006,CH32V007_M007,CH32V007E8R6,,#,reference,evt(device-header-comment)
CH32V006,CH32V007_M007,CH32V007E8R7,,#,reference,evt(device-header-comment)
CH32V006,CH32V007_M007,CH32V007K8U6,,#,reference,evt(device-header-comment)
CH32V006,CH32V007_M007,CH32V007K8U7,,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203C6T6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203C6U6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203C8T6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203C8U6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203F6P6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203F8P6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203F8U6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203G6U6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203G8R6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203K8T6,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D6,CH32V203K8U7,yes,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D8,CH32V203RBT6,,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D8W,CH32V208CBU6,,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D8W,CH32V208GBU6,,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D8W,CH32V208RBT6,,#,reference,evt(device-header-comment)
CH32V20x,CH32V20x_D8W,CH32V208WBU6,,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8,CH32V303CBT6,,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8,CH32V303RBT6,,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8,CH32V303RCT6,,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8,CH32V303RCT7,,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8,CH32V303VCT6,,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V305CCT6,yes,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V305FBP6,yes,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V305GBU6,yes,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V305RBT6,yes,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V307RCT6,yes,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V307VCT6,yes,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V307WCU6,yes,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V317VCT6,yes,#,reference,evt(device-header-comment)
CH32V307,CH32V30x_D8C,CH32V317WCU6,yes,#,reference,evt(device-header-comment)
