family,repository,series,series_count,part_number_count,cores,datasheets,reference_manuals,evt
CH32H417,ch32-riscv-ug/CH32H417,CH32H415;CH32H416;CH32H417,3,5,QingKe V5F + QingKe V3F,CH32H417DS0.PDF,CH32H417RM.PDF,CH32H417EVT.ZIP
CH32L103,ch32-riscv-ug/CH32L103,CH32L103;CH32M103,2,7,QingKe V4C,CH32L103DS0.PDF,CH32L103RM.PDF,CH32L103EVT.ZIP
CH32M030,ch32-riscv-ug/CH32M030,CH32M030,1,5,QingKe V3B,CH32M030DS0.PDF;CH32M030DS2.PDF,CH32M030RM.PDF,CH32M030EVT.ZIP
CH32V003,ch32-riscv-ug/CH32V003,CH32V003,1,4,QingKe V2A,CH32V003DS0.PDF,CH32V003RM.PDF,CH32V003EVT.ZIP
CH32V006,ch32-riscv-ug/CH32V006,CH32M007;CH32V002;CH32V004;CH32V005;CH32V006;CH32V007,6,26,QingKe V2C,CH32V002DS0.PDF;CH32V004DS0.PDF;CH32V006DS0.PDF;CH32V006DS2.PDF;CH32V007DS0.PDF,CH32V00XRM.PDF,CH32V006EVT.ZIP
CH32V103,ch32-riscv-ug/CH32V103,CH32V103,1,4,QingKe V3A,CH32V103DS0.PDF,CH32xRM.PDF,CH32V103EVT.ZIP
CH32V20x,ch32-riscv-ug/CH32V20x,CH32V203;CH32V205;CH32V208,3,20,QingKe V3B;QingKe V4B;QingKe V4C,CH32V203DS0.PDF;CH32V205DS0.PDF;CH32V208DS0.PDF,CH32FV2x_V3xRM.PDF;CH32V205RM.PDF,CH32V205EVT.ZIP;CH32V20xEVT.ZIP
CH32V307,ch32-riscv-ug/CH32V307,CH32V303;CH32V305;CH32V307;CH32V317,4,14,QingKe V4F,CH32V20x_30xDS0.PDF,CH32FV2x_V3xRM.PDF,CH32V307EVT.ZIP
CH32V407,ch32-riscv-ug/CH32V407,CH32V407;CH32V467,2,6,QingKe V3V,CH32V407DS0.PDF,CH32V407RM.PDF,CH32V407EVT.ZIP
CH32X035,ch32-riscv-ug/CH32X035,CH32X033;CH32X035,2,8,QingKe V4C,CH32X035DS0.PDF,CH32X035RM.PDF,CH32X035EVT.ZIP
CH32X315,ch32-riscv-ug/CH32X315,CH32X305;CH32X315,2,4,QingKe V3F,CH32X315DS0.PDF,CH32X315RM.PDF,CH32X315EVT.ZIP
