tag,parent,series,family,precision,features,features_zh,sections,#,confidence,basis
ADC,,CH32H415,CH32H417,part,Analog-to-digital Converter (ADC) and Touch-key Capacitance Detection,ADC（模拟/数字转换器）和触摸按键电容检测（TouchKey）,1.4.13,#,confirmed,features(CH32H417DS0.PDF)
ADC,,CH32H416,CH32H417,part,Analog-to-digital Converter (ADC) and Touch-key Capacitance Detection,ADC（模拟/数字转换器）和触摸按键电容检测（TouchKey）,1.4.13,#,confirmed,features(CH32H417DS0.PDF)
ADC,,CH32H417,CH32H417,part,Analog-to-digital Converter (ADC) and Touch-key Capacitance Detection,ADC（模拟/数字转换器）和触摸按键电容检测（TouchKey）,1.4.13,#,confirmed,features(CH32H417DS0.PDF)
ADC,,CH32M007,CH32V006,part,Analog-to-digital Converter (ADC) and Touch-key,ADC（模拟/数字转换器）和触摸按键电容检测（TouchKey）,1.4.11,#,confirmed,features(CH32V007DS0.PDF)
ADC,,CH32M030,CH32M030,part,Analog-to-digital Converter (ADC),ADC（模拟/数字转换器）,1.4.11,#,confirmed,features(CH32M030DS0.PDF)
ADC,,CH32V002,CH32V006,part,Analog-to-digital Converter (ADC),ADC（模拟/数字转换器）,1.4.11,#,confirmed,features(CH32V002DS0.PDF)
ADC,,CH32V003,CH32V003,part,Analog-to-digital Converter (ADC),ADC（模拟/数字转换器）,1.4.11,#,confirmed,features(CH32V003DS0.PDF)
ADC,,CH32V004,CH32V006,part,Analog-to-digital Converter (ADC),ADC（模拟/数字转换器）,1.4.11,#,confirmed,features(CH32V004DS0.PDF)
ADC,,CH32V007,CH32V006,part,Analog-to-digital Converter (ADC) and Touch-key,ADC（模拟/数字转换器）和触摸按键电容检测（TouchKey）,1.4.11,#,confirmed,features(CH32V007DS0.PDF)
ADC,,CH32V203,CH32V20x,part,Analog-to-digital Converter (ADC) and Touchkey Capacitance Detection,ADC（模拟/数字转换器）和触摸按键电容检测（TouchKey）,1.4.14,#,confirmed,features(CH32V205DS0.PDF)
ADC,,CH32V205,CH32V205,part,Analog-to-digital Converter (ADC) and Touchkey Capacitance Detection,ADC（模拟/数字转换器）和触摸按键电容检测（TouchKey）,1.4.14,#,confirmed,features(CH32V205DS0.PDF)
ADC,,CH32V407,CH32V407,part,Analog-to-digital Converter (ADC),ADC（模拟/数字转换器）,1.4.13,#,confirmed,features(CH32V407DS0.PDF)
ADC,,CH32V467,CH32V407,part,Analog-to-digital Converter (ADC),ADC（模拟/数字转换器）,1.4.13,#,confirmed,features(CH32V407DS0.PDF)
ADC,,CH32X305,CH32X315,part,Analog-to-digital Converter (ADC),ADC（模拟/数字转换器）,1.4.12,#,confirmed,features(CH32X315DS0.PDF)
ADC,,CH32X315,CH32X315,part,Analog-to-digital Converter (ADC),ADC（模拟/数字转换器）,1.4.12,#,confirmed,features(CH32X315DS0.PDF)
ARGB,,CH32V407,CH32V407,part,Addressable RGB (ARGB),可寻址RGB（ARGB）,1.4.27,#,confirmed,features(CH32V407DS0.PDF)
ARGB,,CH32V467,CH32V407,part,Addressable RGB (ARGB),可寻址RGB（ARGB）,1.4.27,#,confirmed,features(CH32V407DS0.PDF)
