series,family,section,feature,feature_zh,granularity,#,confidence,basis,datasheet
CH32H415;CH32H416;CH32H417,CH32H417,1.4.1,Dual Core: RISC-V5F Processor and RISC-V3F Processor,双内核：RISC-V5F处理器和RISC-V3F处理器,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.2,On-chip Memory,片上存储器,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.3,Power Supply Scheme,供电方案,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.4,Power Supply Detector,供电监控器,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.5,System Voltage Regulator LDO,系统电压调节器LDO,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.6,Low-power Mode,低功耗模式,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.7,CRC Calculation Unit,CRC（循环冗余校验）计算单元,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.8,Programmable Fast Interrupt Controller (PFIC),快速可编程中断控制器（PFIC）,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.9,External Interrupt/Event Controller (EXTI),外部中断/事件控制器（EXTI）,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.10,General DMA Controller,通用DMA控制器,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.11,Clock and Boot,时钟和启动,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.12,RTC,RTC（实时时钟）,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.13,Analog-to-digital Converter (ADC) and Touch-key Capacitance Detection,ADC（模拟/数字转换器）和触摸按键电容检测（TouchKey）,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.14,HSADC (High-speed Analog/Digital Converter),HSADC（高速模拟/数字转换器）,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.15,DAC (Digital/Analog Converter),DAC（数字/模拟转换器）,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,CH32H417,1.4.16,Timer and Watchdog,定时器及看门狗,series,#,confirmed,CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4),CH32H417DS0.PDF
