family,number,name,kind,description,condition,#,confidence,basis
CH32H417,2,NonMaskableInt,exception,Non Maskable Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,3,HardFault,exception,HardFault Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,5,Ecall_M_Mode,exception,Ecall M Mode Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,8,Ecall_U_Mode,exception,Ecall U Mode Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,9,Break_Point,exception,Break Point Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,12,SysTick0,exception,System timer 0 Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,13,SysTick1,exception,System timer 1 Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,14,Software,exception,software Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,16,IPC_CH0,exception,IPC CH0 Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,17,IPC_CH1,exception,IPC CH1 Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,18,IPC_CH2,exception,IPC CH2 Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,19,IPC_CH3,exception,IPC CH3 Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,28,HSEM,exception,HSEM Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,32,WWDG,irq,Window WatchDog Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,33,EXTI15_8,irq,External Line[15:8] Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,34,FLASH,irq,FLASH global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,35,RCC,irq,RCC global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,36,EXTI7_0,irq,External Line[7:0] Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,37,SPI1,irq,SPI1 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,38,DMA1_Channel2,irq,DMA1 Channel 2 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,39,DMA1_Channel3,irq,DMA1 Channel 3 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,40,DMA1_Channel4,irq,DMA1 Channel 4 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,41,DMA1_Channel5,irq,DMA1 Channel 5 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,42,DMA1_Channel6,irq,DMA1 Channel 6 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,43,DMA1_Channel7,irq,DMA1 Channel 7 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,44,DMA1_Channel8,irq,DMA1 Channel 8 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,45,USART2,irq,USART2 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,46,I2C1_EV,irq,I2C1 Event Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,47,I2C1_ER,irq,I2C1 Error Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,48,USART1,irq,USART1 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,49,SPI2,irq,SPI2 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,50,SPI3,irq,SPI3 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,51,SPI4,irq,SPI4 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,52,I2C2_EV,irq,I2C2 Event Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,53,I2C2_ER,irq,I2C2 Error Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,54,USBPD,irq,USBPD Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,55,USBPDWakeUp,irq,USBPD WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,56,USBHS,irq,USBHS global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,57,DMA1_Channel1,irq,DMA1 Channel 1 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,58,CAN1_SCE,irq,CAN1 SCE Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,59,CAN1_TX,irq,CAN1 TX Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,60,CAN1_RX0,irq,CAN1 RX0 Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,61,CAN1_RX1,irq,CAN1 RX1 Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,62,USBSS,irq,USBSS Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,63,USBSS_LINK,irq,USBSS LINK Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,64,USBHSWakeup,irq,USBHS WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,65,USBSSWakeup,irq,USBSS WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,66,RTCAlarm,irq,RTC Alarm through EXTI Line Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,67,USBFS,irq,USBFS global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,68,USBFSWakeUp,irq,USBFS WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,69,ADC1_2,irq,ADC1 and ADC2 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,70,TIM1_BRK,irq,TIM1 Break Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,71,TIM1_UP,irq,TIM1 Update Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,72,TIM1_TRG_COM,irq,TIM1 Trigger and Commutation Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,73,TIM1_CC,irq,TIM1 Capture Compare Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,74,TIM2,irq,TIM2 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,75,TIM3,irq,TIM3 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,76,TIM4,irq,TIM4 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,77,TIM5,irq,TIM5 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,78,I2C3_EV,irq,I2C3 Event Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,79,I2C3_ER,irq,I2C3 Error Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,80,I2C4_EV,irq,I2C4 Event Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,81,I2C4_ER,irq,I2C4 Error Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,82,QSPI1,irq,QSPI1 Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,83,SERDES,irq,SERDES Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,84,USART3,irq,USART3 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,85,USART4,irq,USART4 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,86,TIM8_BRK,irq,TIM8 Break Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,87,TIM8_UP,irq,TIM8 Update Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,88,TIM8_TRG_COM,irq,TIM8 Trigger and Commutation Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,89,TIM8_CC,irq,TIM8 Capture Compare Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,90,TIM9,irq,TIM9 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,91,TIM10,irq,TIM10 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,92,TIM11,irq,TIM11 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,93,TIM12,irq,TIM12 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,94,FMC,irq,FMC global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,95,SDMMC,irq,SDMMC global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,96,LPTIM1,irq,LPTIM1 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,97,LPTIM2,irq,LPTIM2 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,98,USART5,irq,USART5 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,99,USART6,irq,USART6 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,100,TIM6,irq,TIM6 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,101,TIM7,irq,TIM7 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,102,DMA2_Channel1,irq,DMA2 Channel 1 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,103,DMA2_Channel2,irq,DMA2 Channel 2 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,104,DMA2_Channel3,irq,DMA2 Channel 3 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,105,DMA2_Channel4,irq,DMA2 Channel 4 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,106,DMA2_Channel5,irq,DMA2 Channel 5 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,107,DMA2_Channel6,irq,DMA2 Channel 6 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,108,DMA2_Channel7,irq,DMA2 Channel 7 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,109,DMA2_Channel8,irq,DMA2 Channel 8 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,110,ETH,irq,ETH global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,111,ETH_WKUP,irq,ETH WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,112,CAN2_SCE,irq,CAN2 SCE Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,113,CAN2_TX,irq,CAN2 TX Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,114,CAN2_RX0,irq,CAN2 RX0 Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,115,CAN2_RX1,irq,CAN2 RX1 Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,116,USART7,irq,USART7 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,117,USART8,irq,USART8 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,118,I3C_EV,irq,I3C Event Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,119,I3C_ER,irq,I3C Error Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,120,DVP,irq,DVP global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,121,ECDC,irq,ECDC global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,122,PIOC,irq,PIOC global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,123,SAI,irq,SAI global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,124,LTDC,irq,LTDC global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,125,GPHA,irq,GPHA global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,127,DFSDM0,irq,DFSDM0 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,128,DFSDM1,irq,DFSDM1 global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,131,SWPMI,irq,SWPMI global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,134,QSPI2,irq,QSPI2 Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,135,SWPMI_WKUP,irq,SWPMI WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,136,CAN3_SCE,irq,CAN3 SCE Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,137,CAN3_TX,irq,CAN3 TX Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,138,CAN3_RX0,irq,CAN3 RX0 Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,139,CAN3_RX1,irq,CAN3 RX1 Interrupts,,#,reference,evt(ch32h417.h)
CH32H417,140,LPTIM2_WKUP,irq,LPTIM2 WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,141,LPTIM1_WKUP,irq,LPTIM1 WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,142,I3C_WKUP,irq,I3C WakeUp Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,143,RTC,irq,RTC global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,144,HSADC,irq,HSADC global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,145,UHSIF,irq,UHSIF global Interrupt,,#,reference,evt(ch32h417.h)
CH32H417,146,RNG,irq,RNG global Interrupt,,#,reference,evt(ch32h417.h)
