family,block,register,unit,offset,address,field,bits,mask,purpose,#,confidence,basis
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,EN,8,0x100,enable,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,FILT_BASE,30:28,0x70000000,filter,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,FILT_CFG,24:16,0x1ff0000,filter,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,FILT_EN,13,0x2000,enable,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,HYPSEL,10:9,0x600,positive input select,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,MODE,7:4,0xf0,output mode,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,NSEL,3:2,0xc,negative input select,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,PSEL,1:0,0x3,positive input select,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_CTLR,CMP,0x0c,0x4001780c,VREF,12:11,0x1800,,#,reference,evt(ch32h417.h)
CH32H417,OPA,CMP_STATR,CMP,0x10,0x40017810,OUTFILT,0,0x1,output,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR1,,0x00,0x40017800,EN1,0,0x1,enable,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR1,,0x00,0x40017800,FBEN1,8,0x100,,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR1,,0x00,0x40017800,HS1,10,0x400,,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR1,,0x00,0x40017800,MODE1,2:1,0x6,output mode,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR1,,0x00,0x40017800,NSEL1,6:4,0x70,negative input select,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR1,,0x00,0x40017800,PGADIF1,9,0x200,gain,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR1,,0x00,0x40017800,PSEL1,3,0x8,positive input select,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR2,,0x04,0x40017804,EN2,0,0x1,enable,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR2,,0x04,0x40017804,FBEN2,8,0x100,,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR2,,0x04,0x40017804,HS2,10,0x400,,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR2,,0x04,0x40017804,MODE2,2:1,0x6,output mode,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR2,,0x04,0x40017804,NSEL2,6:4,0x70,negative input select,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR2,,0x04,0x40017804,PGADIF2,9,0x200,gain,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR2,,0x04,0x40017804,PSEL2,3,0x8,positive input select,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR3,,0x08,0x40017808,EN3,0,0x1,enable,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR3,,0x08,0x40017808,FBEN3,8,0x100,,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR3,,0x08,0x40017808,HS3,10,0x400,,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR3,,0x08,0x40017808,MODE3,2:1,0x6,output mode,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR3,,0x08,0x40017808,NSEL3,6:4,0x70,negative input select,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR3,,0x08,0x40017808,PGADIF3,9,0x200,gain,#,reference,evt(ch32h417.h)
CH32H417,OPA,CTLR3,,0x08,0x40017808,PSEL3,3,0x8,positive input select,#,reference,evt(ch32h417.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,BKINEN,2,0x4,break input,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,IECNT,10,0x400,,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,IEOUT,8,0x100,,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,IFCNT,14,0x4000,,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,IFOUT,12,0x1000,,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,NMIEN,11,0x800,nmi,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,OPCMLOCK,7,0x80,,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,POLLEN,0,0x1,polling,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR1,OPA,0x00,0x40026000,RSTEN,4,0x10,reset,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR2,OPA,0x02,0x40026002,POLL_CNT,14:12,0x7000,polling,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR2,OPA,0x02,0x40026002,POLL_NUM,11:9,0xe00,polling,#,reference,evt(ch32l103.h)
CH32L103,OPA,CFGR2,OPA,0x02,0x40026002,POLL_VLU,8:0,0x1ff,polling,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,EN1,0,0x1,enable,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,FBEN1,7,0x80,,#,reference,evt(ch32l103.h)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,INTRIMN,24,0x1000000,trim,#,reference,evt(ch32l103.h)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,INTRIMP,16,0x10000,trim,#,reference,evt(ch32l103.h)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,ITRIMN,29:25,0x3e000000,trim,#,conflict,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=29:24)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,ITRIMP,21:17,0x3e0000,trim,#,conflict,evt(ch32l103.h)+!rm(CH32L103RM.PDF)(=21:16)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,LP1,12,0x1000,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,MODE1,3:1,0xe,output mode,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,NSEL1,11:8,0xf00,negative input select,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR1,OPA,0x04,0x40026004,PSEL1,6:4,0x70,positive input select,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR2,OPA,0x08,0x40026008,EN1,0,0x1,enable,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR2,OPA,0x08,0x40026008,EN2,8,0x100,enable,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR2,OPA,0x08,0x40026008,EN3,16,0x10000,enable,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR2,OPA,0x08,0x40026008,HYEN1,5,0x20,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR2,OPA,0x08,0x40026008,HYEN2,13,0x2000,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR2,OPA,0x08,0x40026008,HYEN3,21,0x200000,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR2,OPA,0x08,0x40026008,LP1,6,0x40,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,OPA,CTLR2,OPA,0x08,0x40026008,LP2,14,0x4000,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
