series,symbol,parameter,condition,min,max,unit,#,confidence,basis,datasheet
CH32H415;CH32H416;CH32H417,F_CORE1,Core RISC-V5F frequency,LDO_VDDK = 011 (Default),,400,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32H415;CH32H416;CH32H417,F_CORE1,Core RISC-V5F frequency,LDO_VDDK = 101 (Performance mode),,500,MHz,#,confirmed,CH32H417DS0.PDF:zh(p.81)+CH32H417DS0.PDF:en(p.93),CH32H417DS0.PDF
CH32L103;CH32M103,F_HCLK,Internal HB clock frequency,,,96,MHz,#,confirmed,CH32L103DS0.PDF:zh(p.32)+CH32L103DS0.PDF:en(p.38),CH32L103DS0.PDF
CH32L103;CH32M103,F_PCLK1,Internal PB1 clock frequency,,,96,MHz,#,confirmed,CH32L103DS0.PDF:zh(p.32)+CH32L103DS0.PDF:en(p.38),CH32L103DS0.PDF
CH32L103;CH32M103,F_PCLK2,Internal PB2 clock frequency,,,96,MHz,#,confirmed,CH32L103DS0.PDF:zh(p.32)+CH32L103DS0.PDF:en(p.38),CH32L103DS0.PDF
CH32L103;CH32M103,V_DD,Standard operating voltage,,1.8,3.6,V,#,confirmed,CH32L103DS0.PDF:zh(p.32)+CH32L103DS0.PDF:en(p.38),CH32L103DS0.PDF
CH32L103;CH32M103,V_DD,Standard operating voltage,Use USB,3.0,3.6,V,#,confirmed,CH32L103DS0.PDF:zh(p.32)+CH32L103DS0.PDF:en(p.38),CH32L103DS0.PDF
CH32M007;CH32V007,F_HCLK,Internal system bus frequency Or microprocessor main frequency,,,48,MHz,#,confirmed,CH32V007DS0.PDF:zh(p.30)+CH32V007DS0.PDF:en(p.40),CH32V007DS0.PDF
CH32M007;CH32V007,V_DD,Standard operating voltage,ADC not used,2.0,5.5,V,#,confirmed,CH32V007DS0.PDF:zh(p.30)+CH32V007DS0.PDF:en(p.40),CH32V007DS0.PDF
CH32M007;CH32V007,V_DD,Standard operating voltage,ADC used,2.4,5.5,V,#,confirmed,CH32V007DS0.PDF:zh(p.30)+CH32V007DS0.PDF:en(p.40),CH32V007DS0.PDF
