package,pin_count,body_size,pin_pitch,product_count,families,#,pin_count_confidence,body_size_confidence,pin_pitch_confidence,pin_count_basis,body_size_basis,pin_pitch_basis
LQFP100,100,14*14mm,0.5mm,6,CH32V205;CH32V307;CH32V407,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+?pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en
LQFP32,32,7*7mm,0.8mm,1,CH32V20x,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en
LQFP48,48,7*7mm,0.5mm,11,CH32L103;CH32M030;CH32V103;CH32V205;CH32V20x;CH32V307;CH32X035,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+?pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en
LQFP64,64,7*7mm,0.4mm,4,CH32V205;CH32V407;CH32X315,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+?pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en
LQFP64M,64,10*10mm,0.5mm,9,CH32V103;CH32V20x;CH32V307;CH32X035,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+?pin-table,ordering:en+products:zh+products:en+ordering:zh+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en
QFN12,12,2*2mm,0.4mm,4,CH32V006;CH32X035,#,confirmed,confirmed,confirmed,rule:package-name+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN128,128,12.3*12.3mm,0.35mm,1,CH32H417,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN20,20,3*3mm,0.4mm,8,CH32L103;CH32V003;CH32V006;CH32V20x;CH32X035,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN20L,20,3*3mm,0.4mm,1,CH32V006,#,confirmed,confirmed,confirmed,rule:package-name+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN26C3,26,3*3mm,0.4mm,1,CH32V006,#,reference,confirmed,confirmed,rule:package-name+?pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN28,28,4*4mm,0.4mm,4,CH32V20x;CH32V307;CH32X035,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN32,32,4*4mm,0.4mm,8,CH32L103;CH32M030;CH32V006;CH32V20x,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+?pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN48,48,5*5mm,0.35mm,3,CH32M030;CH32V20x;CH32X315,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN48X7,48,7*7mm,0.5mm,3,CH32V103;CH32V20x,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:en+ordering:zh+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
QFN48X7_A,48,7*7mm,0.5mm,1,CH32M030,#,confirmed,confirmed,confirmed,rule:package-name+products:zh+products:en+pin-table,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en,ordering:zh+ordering:en+package-pdf:zh+package-pdf:en
