family,pad,port,pin,block,register,address,bits,width_bits,#,confidence,basis
CH32H417,PA0,A,0,AFIO,GPIOA_AFLR,0x40010004,GPIOA_AFLR:0;GPIOA_AFLR:1;GPIOA_AFLR:2;GPIOA_AFLR:3,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA1,A,1,AFIO,GPIOA_AFLR,0x40010004,GPIOA_AFLR:4;GPIOA_AFLR:5;GPIOA_AFLR:6;GPIOA_AFLR:7,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA2,A,2,AFIO,GPIOA_AFLR,0x40010004,GPIOA_AFLR:8;GPIOA_AFLR:9;GPIOA_AFLR:10;GPIOA_AFLR:11,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA3,A,3,AFIO,GPIOA_AFLR,0x40010004,GPIOA_AFLR:12;GPIOA_AFLR:13;GPIOA_AFLR:14;GPIOA_AFLR:15,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA4,A,4,AFIO,GPIOA_AFLR,0x40010004,GPIOA_AFLR:16;GPIOA_AFLR:17;GPIOA_AFLR:18;GPIOA_AFLR:19,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA5,A,5,AFIO,GPIOA_AFLR,0x40010004,GPIOA_AFLR:20;GPIOA_AFLR:21;GPIOA_AFLR:22;GPIOA_AFLR:23,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA6,A,6,AFIO,GPIOA_AFLR,0x40010004,GPIOA_AFLR:24;GPIOA_AFLR:25;GPIOA_AFLR:26;GPIOA_AFLR:27,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA7,A,7,AFIO,GPIOA_AFLR,0x40010004,GPIOA_AFLR:28;GPIOA_AFLR:29;GPIOA_AFLR:30;GPIOA_AFLR:31,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA8,A,8,AFIO,GPIOA_AFHR,0x40010008,GPIOA_AFHR:0;GPIOA_AFHR:1;GPIOA_AFHR:2;GPIOA_AFHR:3,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
CH32H417,PA9,A,9,AFIO,GPIOA_AFHR,0x40010008,GPIOA_AFHR:4;GPIOA_AFHR:5;GPIOA_AFHR:6;GPIOA_AFHR:7,4,#,reference,evt(ch32h417.h+ch32h417_gpio.c)
