body_size,datasheet,family_dir,flash_bytes,gpio_count,package,package_ordering,packing,part_number,pin_count,pin_pitch,sram_bytes,temperature,body_size_confidence,flash_bytes_confidence,gpio_count_confidence,package_confidence,package_ordering_confidence,packing_confidence,pin_count_confidence,pin_pitch_confidence,sram_bytes_confidence,temperature_confidence
6*6mm,CH32H417DS0.PDF,CH32H417,983040,54,QFN60X6,QFN60X6,,CH32H415REU6,60,0.35mm,131072,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
6*6mm,CH32H417DS0.PDF,CH32H417,491520,48,QFN60X6,QFN60X6,,CH32H416RDU6,60,0.35mm,131072,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
10*10mm,CH32H417DS0.PDF,CH32H417,983040,65,QFN88,QFN88,,CH32H417MEU6,88,0.4mm,131072,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
12.3*12.3mm,CH32H417DS0.PDF,CH32H417,983040,95,QFN128,QFN128,,CH32H417QEU6,128,0.35mm,131072,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
8*8mm,CH32H417DS0.PDF,CH32H417,983040,50,QFN68,QFN68,,CH32H417WEU6,68,0.4mm,131072,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
7*7mm,CH32L103DS0.PDF,CH32L103,65536,37,LQFP48,LQFP48,,CH32L103C8T6,48,0.5mm,20480,-40..85C,confirmed,confirmed,confirmed,zh-only,confirmed,,confirmed,confirmed,confirmed,zh-only
4.4*6.5mm,CH32L103DS0.PDF,CH32L103,65536,16,TSSOP20,TSSOP20,,CH32L103F8P6,20,0.65mm,20480,,confirmed,confirmed,confirmed,zh-only,confirmed,,confirmed,confirmed,confirmed,missing
3*3mm,CH32L103DS0.PDF,CH32L103,65536,19,QFN20,QFN20,,CH32L103F8U6,20,0.4mm,20480,,confirmed,confirmed,confirmed,zh-only,confirmed,,confirmed,confirmed,confirmed,missing
3.9*9.9mm,CH32L103DS0.PDF,CH32L103,65536,26,QSOP28,QSOP28,,CH32L103G8R6,28,0.635mm,20480,-40..85C,confirmed,confirmed,confirmed,zh-only,confirmed,,confirmed,confirmed,confirmed,zh-only
4*4mm,CH32L103DS0.PDF,CH32L103,65536,31,QFN32,QFN32,,CH32L103K8U6,32,0.4mm,20480,,confirmed,confirmed,confirmed,zh-only,confirmed,,confirmed,confirmed,confirmed,missing
4*4mm,CH32L103DS0.PDF,CH32L103,65536,31,QFN32,QFN32,,CH32L103K8U7,32,0.4mm,20480,-40..105C,confirmed,confirmed,confirmed,zh-only,confirmed,,confirmed,confirmed,confirmed,zh-only
