family,type,register,offset,width_bits,count,rm_register,rm_reset,rm_address_check,#,confidence,basis
CH32H417,ADC,STATR,0x000,32,1,ADCx_STATR,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,CTLR1,0x004,32,1,ADCx_CTLR1,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,CTLR2,0x008,32,1,ADCx_CTLR2,0x000000D0,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,SAMPTR1,0x00c,32,1,ADCx_SAMPTR1,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,SAMPTR2,0x010,32,1,ADCx_SAMPTR2,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,IOFR1,0x014,32,1,,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,IOFR2,0x018,32,1,,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,IOFR3,0x01c,32,1,,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,IOFR4,0x020,32,1,,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,WDHTR,0x024,32,1,ADCx_WDHTR,0x00000FFF,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,WDLTR,0x028,32,1,ADCx_WDLTR,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,RSQR1,0x02c,32,1,ADCx_RSQR1,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,RSQR2,0x030,32,1,ADCx_RSQR2,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,RSQR3,0x034,32,1,ADCx_RSQR3,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,ISQR,0x038,32,1,ADCx_ISQR,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,IDATAR1,0x03c,32,1,,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,IDATAR2,0x040,32,1,,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,IDATAR3,0x044,32,1,,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,IDATAR4,0x048,32,1,,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,RDATAR,0x04c,32,1,ADCx_RDATAR,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,AUX,0x054,32,1,ADCx_AUX,0x00000000,ok:2,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,ADC,DRV,0x058,32,1,ADCx_DRV,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,PCFR1,0x000,32,1,AFIO_PCFR1,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOA_AFLR,0x004,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOA_AFHR,0x008,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOB_AFLR,0x00c,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOB_AFHR,0x010,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOC_AFLR,0x014,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOC_AFHR,0x018,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOD_AFLR,0x01c,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOD_AFHR,0x020,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOE_AFLR,0x024,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOE_AFHR,0x028,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOF_AFLR,0x02c,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,GPIOF_AFHR,0x030,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,EXTICR1,0x03c,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,AFIO,EXTICR2,0x040,32,1,,0x00000000,ok:1,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,CTLR,0x000,32,1,CANx_CTLR,0x00010002,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,STATR,0x004,32,1,CANx_STATR,0x0000C002,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,TSTATR,0x008,32,1,CANx_TSTATR,0x1C000000,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,RFIFO0,0x00c,32,1,CANx_RFIFO0,0x00000000,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,RFIFO1,0x010,32,1,CANx_RFIFO1,0x00000000,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,INTENR,0x014,32,1,CANx_INTENR,0x00000000,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,ERRSR,0x018,32,1,CANx_ERRSR,0x00000000,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,BTIMR,0x01c,32,1,CANx_BTIMR,0x01230000,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,TTCTLR,0x020,32,1,CANx_TTCTLR,0x0000FFFF,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,TTCNT,0x024,32,1,CANx_TTCNT,0x00000000,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,TERR_CNT,0x028,32,1,CANx_TERR_CNT,0x00000000,ok:3,#,confirmed,evt(ch32h417.h)+rm(CH32H417RM.PDF)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[0].TXMIR,0x180,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[0].TXMDTR,0x184,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[0].TXMDLR,0x188,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[0].TXMDHR,0x18c,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[1].TXMIR,0x190,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[1].TXMDTR,0x194,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[1].TXMDLR,0x198,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[1].TXMDHR,0x19c,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[2].TXMIR,0x1a0,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[2].TXMDTR,0x1a4,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[2].TXMDLR,0x1a8,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sTxMailBox[2].TXMDHR,0x1ac,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sFIFOMailBox[0].RXMIR,0x1b0,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
CH32H417,CAN,sFIFOMailBox[0].RXMDTR,0x1b4,32,1,,X,ok:3,#,confirmed,evt(ch32h417.h)+rm-address(CH32H417RM.PDF)
