series,selector,controller,register,field,bits,valid_values,reset_value,#,confidence,basis
CH32H416,afio-sdmmc-remap,afio,PCFR1,SDMMC_REMAP,PCFR1:10;PCFR1:11,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,afio,PCFR1,SDMMC_REMAP,PCFR1:10;PCFR1:11,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32H417,afio-uhsif-clk-remap,afio,PCFR1,UHSIF_CLK_REMAP,PCFR1:6;PCFR1:7,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,afio,PCFR1,UHSIF_PORT_REMAP,PCFR1:8;PCFR1:9,0;1;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-can-rm,afio,PCFR1,CAN_RM,PCFR1:13;PCFR1:14,0;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-i2c1-rm,afio,PCFR1|PCFR2,I2C1_RM,PCFR1:1;PCFR2:23,0;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-lptim-rm,afio,PCFR2,LPTIM_RM,PCFR2:25,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-spi1-rm,afio,PCFR1|PCFR2,SPI1_RM,PCFR1:0;PCFR2:24,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-tim1-rm,afio,PCFR1|PCFR2,TIM1_RM,PCFR1:6;PCFR1:7;PCFR2:22,0;1;2;3;4;5;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-tim2-rm,afio,PCFR1|PCFR2,TIM2_RM,PCFR1:8;PCFR1:9;PCFR2:21,0;1;2;3;4;5;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-tim3-rm,afio,PCFR1,TIM3_RM,PCFR1:10,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-tim4-rm,afio,PCFR1,TIM4_RM,PCFR1:12,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-usart1-rm,afio,PCFR1|PCFR2,USART1_RM,PCFR1:2;PCFR2:19;PCFR2:20,0;1;2;3;4;5,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-usart2-rm,afio,PCFR1|PCFR2,USART2_RM,PCFR1:3;PCFR2:18,0;1;2;3,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-usart3-rm,afio,PCFR1,USART3_RM,PCFR1:4;PCFR1:5,0;2;3,,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32L103,afio-usart4-rm,afio,PCFR2,USART4_RM,PCFR2:16,0;1,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32M007,afio-i2c1-remap,afio,PCFR1,I2C1_REMAP,PCFR1:3;PCFR1:4;PCFR1:5,0;1;2;3;4;5;6;7,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
CH32M007,afio-spi1-remap,afio,PCFR1,SPI1_REMAP,PCFR1:0;PCFR1:1;PCFR1:2,0;1;2;3;4;5;6,0,#,reference,candidates(evt-header+rm-register-table+rm-remap-grid:en)
