series,selector,value,signal,pad,peripheral,role,#,confidence,basis
CH32H416,afio-sdmmc-remap,0,SDMMC_CMD,PD2,SDMMC,CMD,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D0,PC8,SDMMC,D0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D1,PC9,SDMMC,D1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D2,PC10,SDMMC,D2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D3,PC11,SDMMC,D3,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D4,PA14,SDMMC,D4,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D5,PA15,SDMMC,D5,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D6,PC6,SDMMC,D6,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_D7,PC7,SDMMC,D7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_SDCK,PC12,SDMMC,SDCK,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_SLVCK,PC12,SDMMC,SLVCK,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_STR,PD3,SDMMC,STR,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,0,SDMMC_STS,PD2,SDMMC,STS,#,reference,candidates(datasheet-pin-table-default:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D1,PC9,SDMMC,D1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D4,PA14,SDMMC,D4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D5,PA15,SDMMC,D5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D6,PC6,SDMMC,D6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_D7,PC7,SDMMC,D7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,1,SDMMC_STR,PD10,SDMMC,STR,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_CMD,PC10,SDMMC,CMD,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_D2,PD2,SDMMC,D2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_D3,PD3,SDMMC,D3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_SDCK,PC12,SDMMC,SDCK,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_SLVCK,PC12,SDMMC,SLVCK,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_STR,PC11,SDMMC,STR,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,2,SDMMC_STS,PC10,SDMMC,STS,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_CMD,PC10,SDMMC,CMD,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_D2,PD2,SDMMC,D2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_D3,PD3,SDMMC,D3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_SDCK,PC12,SDMMC,SDCK,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_SLVCK,PC12,SDMMC,SLVCK,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_STR,PC11,SDMMC,STR,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H416,afio-sdmmc-remap,3,SDMMC_STS,PC10,SDMMC,STS,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-sdmmc-remap,0,SDMMC_CMD,PD2,SDMMC,CMD,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-sdmmc-remap,0,SDMMC_D0,PC8,SDMMC,D0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-sdmmc-remap,0,SDMMC_D1,PC9,SDMMC,D1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-sdmmc-remap,0,SDMMC_D2,PC10,SDMMC,D2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-sdmmc-remap,0,SDMMC_D3,PC11,SDMMC,D3,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-sdmmc-remap,0,SDMMC_D4,PA14,SDMMC,D4,#,reference,candidates(datasheet-pin-table-default:en)
