datasheet,family_dir,flash_bytes,gpio_count,packages,part_numbers,pin_count,silicon,sram_bytes,temperature,flash_bytes_confidence,gpio_count_confidence,pin_count_confidence,sram_bytes_confidence,temperature_confidence
CH32H417DS0.PDF,CH32H417,983040,54,QFN60X6,1,60,CH32H415,131072,,confirmed,confirmed,confirmed,confirmed,missing
CH32H417DS0.PDF,CH32H417,491520,48,QFN60X6,1,60,CH32H416,131072,,confirmed,confirmed,confirmed,confirmed,missing
CH32H417DS0.PDF,CH32H417,983040,,"QFN128,QFN68,QFN88",3,,CH32H417,131072,,confirmed,varies-by-package,varies-by-package,confirmed,missing
CH32L103DS0.PDF,CH32L103,65536,,"LQFP48,QFN20,QFN32,QSOP28,TSSOP20",6,,CH32L103,20480,,confirmed,varies-by-package,varies-by-package,confirmed,varies-by-package
CH32V007DS0.PDF,CH32V006,63488,,"QFN26C3,QFN32,QSOP24,QSOP28",4,,CH32M007,8192,,confirmed,varies-by-package,missing,confirmed,varies-by-package
CH32M030DS0.PDF,CH32M030,65536,,"LQFP48,QFN32,QFN48,QFN48X7_A,QSOP28",5,,CH32M030,12288,,confirmed,varies-by-package,varies-by-package,confirmed,missing
CH32L103DS0.PDF,CH32L103,65536,18,QSOP28,1,28,CH32M103,20480,,confirmed,confirmed,confirmed,confirmed,missing
CH32V002DS0.PDF,CH32V006,16384,,"QFN12,QFN20,SOP16,SOP8,TSSOP20",5,,CH32V002,4096,,confirmed,varies-by-package,missing,confirmed,missing
CH32V003DS0.PDF,CH32V003,16384,,"QFN20,SOP16,SOP8,TSSOP20",4,,CH32V003,2048,,confirmed,varies-by-package,varies-by-package,confirmed,missing
CH32V004DS0.PDF,CH32V006,32768,18,"QFN20,TSSOP20",2,,CH32V004,6144,,confirmed,confirmed,missing,confirmed,missing
CH32V006DS0.PDF,CH32V006,32768,,"QFN12,QFN20,QSOP24,TSSOP20",4,,CH32V005,6144,85℃,confirmed,varies-by-package,missing,confirmed,confirmed
CH32V006DS0.PDF,CH32V006,,,"QFN12,QFN20,QFN32,QSOP24,TSSOP20",7,,CH32V006,,,varies-by-package,varies-by-package,missing,varies-by-package,varies-by-package
CH32V007DS0.PDF,CH32V006,63488,,"QFN32,QSOP24",4,,CH32V007,8192,,confirmed,varies-by-package,missing,confirmed,varies-by-package
CH32V103DS0.PDF,CH32V103,,,"LQFP48,LQFP64M(10*10),QFN48X7",4,,CH32V103,,-40..85C,varies-by-package,varies-by-package,varies-by-package,varies-by-package,confirmed
CH32V203DS0.PDF,CH32V20x,,,"LQFP32,LQFP48,LQFP64M,QFN28,QFN32,QSOP28,TSSOP20",7,,CH32V203,,,varies-by-package,varies-by-package,varies-by-package,varies-by-package,varies-by-package
CH32V205DS0.PDF,CH32V20x,262144,,"LQFP100,LQFP48,LQFP64",3,,CH32V205,32768,-40..85C,confirmed,varies-by-package,varies-by-package,confirmed,confirmed
CH32V208DS0.PDF,CH32V20x,128K(2),,"LQFP64M,QFN28,QFN48,QFN68",4,,CH32V208,64K(2),-40..85C,confirmed,varies-by-package,varies-by-package,confirmed,confirmed
CH32V20x_30xDS0.PDF,CH32V307,491520,,"LQFP100,LQFP48,LQFP64M",4,,CH32V303,,-40..85C,confirmed,varies-by-package,varies-by-package,varies-by-package,confirmed
CH32V20x_30xDS0.PDF,CH32V307,,,"LQFP48,LQFP64M,QFN28,TSSOP20",4,,CH32V305,,,varies-by-package,varies-by-package,varies-by-package,varies-by-package,missing
CH32V20x_30xDS0.PDF,CH32V307,491520,,"LQFP100,LQFP64M,QFN68",3,,CH32V307,65536,,confirmed,varies-by-package,varies-by-package,confirmed,missing
CH32V20x_30xDS0.PDF,CH32V307,491520,,"LQFP100,QFN68",2,,CH32V317,65536,-40..85C,partial,varies-by-package,varies-by-package,partial,confirmed
CH32V407DS0.PDF,CH32V407,524288,,"LQFP100,LQFP64,QFN68",3,,CH32V407,204800,-40..85C,confirmed,varies-by-package,varies-by-package,confirmed,confirmed
CH32V407DS0.PDF,CH32V407,524288,,"LQFP100,LQFP64,QFN68",3,,CH32V467,204800,-40..85C,confirmed,varies-by-package,varies-by-package,confirmed,confirmed
CH32X035DS0.PDF,CH32X035,63488,18,TSSOP20,1,,CH32X033,20480,,confirmed,confirmed,missing,confirmed,missing
CH32X035DS0.PDF,CH32X035,63488,,"LQFP48,LQFP64M,QFN12,QFN20,QFN28,QSOP28,TSSOP20",7,,CH32X035,20480,,confirmed,varies-by-package,missing,confirmed,missing
CH32X315DS0.PDF,CH32X315,491520,55,LQFP64,1,64,CH32X305,65536,,confirmed,confirmed,confirmed,confirmed,missing
CH32X315DS0.PDF,CH32X315,491520,,"QFN48,QFN68X7,QFN76",3,,CH32X315,65536,-40..85C,confirmed,varies-by-package,varies-by-package,confirmed,confirmed
