family,repository,commit,committed_at,dirty,#,confidence,basis
CH32H417,ch32-riscv-ug/CH32H417,9c9e3a27b32b0ade56a287f0e14d82629dab6923,2026-08-20T15:39:25+00:00,,#,confirmed,git(CH32H417)
CH32L103,ch32-riscv-ug/CH32L103,2753b45a69f930953596969243303fc9e735a279,2026-08-21T15:44:19+00:00,,#,confirmed,git(CH32L103)
CH32M030,ch32-riscv-ug/CH32M030,78d6dbccc4311742fa6bb95c41991a34d08d6244,2026-08-20T15:46:20+00:00,,#,confirmed,git(CH32M030)
CH32V003,ch32-riscv-ug/CH32V003,df98fa96cbea5855b8989f0103935f2501bc20b6,2026-08-20T15:45:34+00:00,,#,confirmed,git(CH32V003)
CH32V006,ch32-riscv-ug/CH32V006,d37733eeaeae3c296d213cdf92d806552beb699a,2026-08-20T15:42:06+00:00,,#,confirmed,git(CH32V006)
CH32V103,ch32-riscv-ug/CH32V103,eb3cb986238c510ad7f7b353752c56bf974bc40d,2026-08-21T15:43:44+00:00,,#,confirmed,git(CH32V103)
CH32V205,ch32-riscv-ug/CH32V205,13dae53eb528afc4221619fe1f6bf34cc56a38d7,2026-08-20T15:44:58+00:00,,#,confirmed,git(CH32V205)
CH32V20x,ch32-riscv-ug/CH32V20x,6b76c0dd83059b20f553e155bd7929c328d9a76a,2026-08-21T15:45:23+00:00,,#,confirmed,git(CH32V20x)
CH32V307,ch32-riscv-ug/CH32V307,671c726a474d66354bb4b78fd6a7e238939e7ba9,2026-08-21T15:39:09+00:00,,#,confirmed,git(CH32V307)
CH32V407,ch32-riscv-ug/CH32V407,06d3af27b3e89a91663a1a1d64166fa8ab26f8d0,2026-08-21T15:44:29+00:00,,#,confirmed,git(CH32V407)
CH32X035,ch32-riscv-ug/CH32X035,bc56db1cfe277c596aa6e790b1db0123b1cc7757,2026-08-21T15:44:27+00:00,,#,confirmed,git(CH32X035)
CH32X315,ch32-riscv-ug/CH32X315,628140e20eb1b3abd86a4f1fbab54474bd703ced,2026-08-20T15:46:16+00:00,,#,confirmed,git(CH32X315)
