family,timer,kind,counter_width_bits,channels,complementary,update_vector,condition,#,confidence,basis
CH32H417,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32H417RM.PDF:p219)
CH32H417,TIM2,general-purpose,16,4,,TIM2,,#,reference,rm(CH32H417RM.PDF:p248)
CH32H417,TIM3,general-purpose,16,4,,TIM3,,#,reference,rm(CH32H417RM.PDF:p248)
CH32H417,TIM4,general-purpose,16,4,,TIM4,,#,reference,rm(CH32H417RM.PDF:p248)
CH32H417,TIM5,general-purpose,16,4,,TIM5,,#,reference,rm(CH32H417RM.PDF:p248)
CH32H417,TIM6,general-purpose,16,,,TIM6,,#,reference,rm(CH32H417RM.PDF:p256)
CH32H417,TIM7,general-purpose,16,,,TIM7,,#,reference,rm(CH32H417RM.PDF:p256)
CH32H417,TIM8,advanced,16,4,1,TIM8_UP,,#,reference,rm(CH32H417RM.PDF:p219)
CH32H417,TIM9,general-purpose,32,4,,TIM9,,#,reference,rm(CH32H417RM.PDF:p248)
CH32H417,TIM10,general-purpose,32,4,,TIM10,,#,reference,rm(CH32H417RM.PDF:p248)
CH32H417,TIM11,general-purpose,32,4,,TIM11,,#,reference,rm(CH32H417RM.PDF:p248)
CH32H417,TIM12,general-purpose,32,4,,TIM12,,#,reference,rm(CH32H417RM.PDF:p248)
CH32L103,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32L103RM.PDF:p159)
CH32L103,TIM2,general-purpose,16,4,,TIM2,,#,reference,rm(CH32L103RM.PDF:p184)
CH32L103,TIM3,general-purpose,16,4,,TIM3,,#,reference,rm(CH32L103RM.PDF:p184)
CH32L103,TIM4,general-purpose,32,4,,TIM4,,#,reference,rm(CH32L103RM.PDF:p185)
CH32M030,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32M030RM.PDF:p114)
CH32M030,TIM2,general-purpose,16,4,1,TIM2,,#,reference,rm(CH32M030RM.PDF:p142)
CH32M030,TIM3,streamlined,16,2,1,TIM3,,#,reference,rm(CH32M030RM.PDF:p162)
CH32V003,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32V003RM.PDF:p111)
CH32V003,TIM2,general-purpose,16,4,,TIM2,,#,reference,rm(CH32V003RM.PDF:p136)
CH32V006,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32V00XRM.PDF:p127)
CH32V006,TIM2,general-purpose,16,4,,TIM2,,#,reference,rm(CH32V00XRM.PDF:p151)
CH32V006,TIM3,,16,,,,,#,reference,rm(CH32V00XRM.PDF:p161)
CH32V103,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32xRM.PDF:p139)
CH32V103,TIM2,general-purpose,16,4,,TIM2,,#,reference,rm(CH32xRM.PDF:p163)
CH32V103,TIM3,general-purpose,16,4,,TIM3,,#,reference,rm(CH32xRM.PDF:p163)
CH32V103,TIM4,general-purpose,16,4,,TIM4,,#,reference,rm(CH32xRM.PDF:p163)
CH32V205,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32V205RM.PDF:p163)
CH32V205,TIM2,general-purpose,16,4,,TIM2,,#,reference,rm(CH32V205RM.PDF:p189)
CH32V205,TIM3,general-purpose,16,4,,TIM3,,#,reference,rm(CH32V205RM.PDF:p189)
CH32V205,TIM4,general-purpose,32,4,,TIM4,,#,reference,rm(CH32V205RM.PDF:p189)
CH32V20x,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32FV2x_V3xRM.PDF:p215)
CH32V20x,TIM2,general-purpose,16,4,,TIM2,,#,reference,rm(CH32FV2x_V3xRM.PDF:p242)
CH32V20x,TIM3,general-purpose,16,4,,TIM3,,#,reference,rm(CH32FV2x_V3xRM.PDF:p242)
CH32V20x,TIM4,general-purpose,16,4,,TIM4,,#,reference,rm(CH32FV2x_V3xRM.PDF:p242)
CH32V20x,TIM5,general-purpose,32,4,,TIM5,CH32V20x_D8;CH32V20x_D8W,#,varies-by-package,rm(CH32FV2x_V3xRM.PDF:p242)
CH32V20x,TIM6,general-purpose,16,,,,,#,reference,rm(CH32FV2x_V3xRM.PDF:p251)
CH32V20x,TIM7,general-purpose,16,,,,,#,reference,rm(CH32FV2x_V3xRM.PDF:p251)
CH32V20x,TIM8,advanced,16,,,,,#,reference,rm(CH32FV2x_V3xRM.PDF:p215)
CH32V20x,TIM9,advanced,16,,,,,#,reference,rm(CH32FV2x_V3xRM.PDF:p215)
CH32V20x,TIM10,advanced,16,,,,,#,reference,rm(CH32FV2x_V3xRM.PDF:p215)
CH32V307,TIM1,advanced,16,4,1,TIM1_UP,,#,reference,rm(CH32FV2x_V3xRM.PDF:p215)
CH32V307,TIM2,general-purpose,16,4,,TIM2,,#,reference,rm(CH32FV2x_V3xRM.PDF:p242)
CH32V307,TIM3,general-purpose,16,4,,TIM3,,#,reference,rm(CH32FV2x_V3xRM.PDF:p242)
CH32V307,TIM4,general-purpose,16,4,,TIM4,,#,reference,rm(CH32FV2x_V3xRM.PDF:p242)
CH32V307,TIM5,general-purpose,32,4,,TIM5,,#,conflict,rm(CH32FV2x_V3xRM.PDF:p242)
CH32V307,TIM6,general-purpose,16,,,TIM6,,#,reference,rm(CH32FV2x_V3xRM.PDF:p251)
CH32V307,TIM7,general-purpose,16,,,TIM7,,#,reference,rm(CH32FV2x_V3xRM.PDF:p251)
CH32V307,TIM8,advanced,16,4,1,TIM8_UP,,#,reference,rm(CH32FV2x_V3xRM.PDF:p215)
